,class,prob alternative,farness,colors,model perf,class perf,n labels
0,0,0.9694104654465832,1.49493423453393,#446e9b,0.5682,0.0,2
1,0,0.894242052057374,1.1347047198574682,#446e9b,0.5682,0.0,2
2,0,0.24276624796118149,1.2101869377491656,#fd7e14,0.5682,0.0,2
3,0,0.893941501380087,1.3556177544339123,#446e9b,0.5682,0.0,2
4,0,0.8020669013794229,1.1665242115356715,#446e9b,0.5682,0.0,2
5,0,0.9585594475813954,1.423378941733159,#446e9b,0.5682,0.0,2
6,0,0.4038088670462233,1.1252148817375107,#fd7e14,0.5682,0.0,2
7,0,0.061311805662206745,1.0485421030699849,#fd7e14,0.5682,0.0,2
8,0,0.8089232700017419,1.3230523097321263,#446e9b,0.5682,0.0,2
9,0,0.9667343347775139,1.5711981115531224,#446e9b,0.5682,0.0,2
10,0,0.12830538204678646,0.88349884556631,#fd7e14,0.5682,0.0,2
11,0,0.26845851851574615,1.168505853391396,#fd7e14,0.5682,0.0,2
12,0,0.9488149260635457,1.441910044292829,#446e9b,0.5682,0.0,2
13,0,0.9736417991924015,1.591763311711133,#446e9b,0.5682,0.0,2
14,0,0.5342783934744336,1.3854225191879537,#446e9b,0.5682,0.0,2
15,0,0.913102529125106,1.1347047198574682,#446e9b,0.5682,0.0,2
16,0,0.8334102094746475,1.1330366285681805,#446e9b,0.5682,0.0,2
17,0,0.9379436815145006,1.322150914682867,#446e9b,0.5682,0.0,2
18,0,0.24333022657897185,0.9844775771545466,#fd7e14,0.5682,0.0,2
19,0,0.10986991301339255,1.2721683830524935,#fd7e14,0.5682,0.0,2
20,0,0.9580154255385599,1.404315788639284,#446e9b,0.5682,0.0,2
21,0,0.19653170262484057,1.4922583946117167,#fd7e14,0.5682,0.0,2
22,0,0.1993688737487135,1.4899732918505801,#fd7e14,0.5682,0.0,2
23,0,0.9634604284025189,1.5215039266697714,#446e9b,0.5682,0.0,2
24,0,0.7385190819923344,0.8304950178217507,#446e9b,0.5682,0.0,2
25,0,0.8448088221321424,1.0096061612918268,#446e9b,0.5682,0.0,2
26,0,0.1700785382027298,1.1980285277641052,#fd7e14,0.5682,0.0,2
27,0,0.9731668240687761,1.6331364331502234,#446e9b,0.5682,0.0,2
28,0,0.9577931012588483,1.4555076663974758,#446e9b,0.5682,0.0,2
29,0,0.12282142087449313,1.3254613006797258,#fd7e14,0.5682,0.0,2
30,0,0.9593983539893444,1.4771689728463253,#446e9b,0.5682,0.0,2
31,0,0.8816783730477031,1.1875650509806612,#446e9b,0.5682,0.0,2
32,0,0.9569799435471061,1.2162025178771603,#446e9b,0.5682,0.0,2
33,0,0.08334942833579763,1.206287209441147,#fd7e14,0.5682,0.0,2
34,0,0.9744741633472118,1.6047961532431603,#446e9b,0.5682,0.0,2
35,0,0.9569401629058646,1.1762284232424225,#446e9b,0.5682,0.0,2
36,0,0.6158815518533534,1.2590506423006986,#446e9b,0.5682,0.0,2
37,0,0.5549520956096141,1.072953710106502,#446e9b,0.5682,0.0,2
38,0,0.04328848082515386,0.8326196295349222,#fd7e14,0.5682,0.0,2
39,0,0.3438197660557084,0.8857224138512387,#fd7e14,0.5682,0.0,2
40,0,0.12397102700401993,1.3584496125336987,#fd7e14,0.5682,0.0,2
41,0,0.9694100198266398,1.2342504193565542,#446e9b,0.5682,0.0,2
42,0,0.13959938171613287,0.6606582536493941,#fd7e14,0.5682,0.0,2
43,0,0.06540055779465516,0.9783930826223244,#fd7e14,0.5682,0.0,2
44,0,0.9563292144480855,1.3933170020505825,#446e9b,0.5682,0.0,2
45,0,0.8357379157975157,1.013786681306514,#446e9b,0.5682,0.0,2
46,0,0.9638585220904092,1.3188549546048192,#446e9b,0.5682,0.0,2
47,0,0.5743670076394726,1.2590506423006986,#446e9b,0.5682,0.0,2
48,0,0.9580278232300543,1.0989383354682245,#446e9b,0.5682,0.0,2
49,0,0.8396602051250875,1.0455073615603157,#446e9b,0.5682,0.0,2
50,0,0.9486590011274391,1.4451064299671703,#446e9b,0.5682,0.0,2
51,0,0.9586350284416417,1.514366365771692,#446e9b,0.5682,0.0,2
52,0,0.9680336054282408,1.423378941733159,#446e9b,0.5682,0.0,2
53,0,0.150954657709307,1.159378861633518,#fd7e14,0.5682,0.0,2
54,0,0.9677088420784736,1.4185647152862548,#446e9b,0.5682,0.0,2
55,0,0.12554662137531158,1.3593959901769515,#fd7e14,0.5682,0.0,2
56,0,0.07910065816464137,0.998199674158573,#fd7e14,0.5682,0.0,2
57,0,0.9169487242497703,1.1954643840766361,#446e9b,0.5682,0.0,2
58,0,0.21467635706628413,1.367011236749052,#fd7e14,0.5682,0.0,2
59,0,0.055574739152031274,1.2006005725797646,#fd7e14,0.5682,0.0,2
60,0,0.955916026427843,1.1019226242758937,#446e9b,0.5682,0.0,2
61,0,0.8741923172166223,1.439081128534937,#446e9b,0.5682,0.0,2
62,0,0.01609960201199133,0.713170334001336,#fd7e14,0.5682,0.0,2
63,0,0.9711100306181087,1.3721324421455163,#446e9b,0.5682,0.0,2
64,0,0.4795233689925795,1.1026127012354325,#fd7e14,0.5682,0.0,2
65,0,0.9551283746197434,1.433457592111748,#446e9b,0.5682,0.0,2
66,0,0.7788793651494651,1.096878009346275,#446e9b,0.5682,0.0,2
67,0,0.9658895211728223,1.4584048540297696,#446e9b,0.5682,0.0,2
68,0,0.8762704057646514,1.1975150690328062,#446e9b,0.5682,0.0,2
