,0,1,2,3,4,5,6,7,8,9,10,11,12,13
69,0,1,,,,,,,,,,,,
26,2,3,,,,,,,,,,,,
32,4,29,209.0,,,,,,,,,,,
15,5,176,246.0,,,,,,,,,,,
65,6,13,161.0,184.0,196.0,210.0,221.0,241.0,,,,,,
60,7,177,178.0,,,,,,,,,,,
9,8,9,,,,,,,,,,,,
11,10,158,223.0,,,,,,,,,,,
20,11,217,220.0,,,,,,,,,,,
28,12,92,242.0,243.0,244.0,,,,,,,,,
33,14,15,16.0,,,,,,,,,,,
30,17,18,19.0,20.0,21.0,,,,,,,,,
35,22,23,24.0,27.0,28.0,42.0,43.0,44.0,,,,,,
34,25,26,52.0,68.0,,,,,,,,,,
29,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
31,38,39,,,,,,,,,,,,
43,40,67,99.0,100.0,143.0,,,,,,,,,
40,41,59,131.0,155.0,211.0,212.0,,,,,,,,
36,45,46,132.0,133.0,,,,,,,,,,
47,47,129,130.0,,,,,,,,,,,
54,48,49,50.0,51.0,,,,,,,,,,
55,53,54,55.0,,,,,,,,,,,
56,56,57,58.0,96.0,97.0,98.0,,,,,,,,
39,60,61,62.0,,,,,,,,,,,
19,63,64,,,,,,,,,,,,
38,65,66,183.0,,,,,,,,,,,
4,69,70,71.0,72.0,73.0,74.0,,,,,,,,
2,75,81,82.0,83.0,84.0,85.0,88.0,,,,,,,
1,76,77,78.0,79.0,80.0,93.0,,,,,,,,
22,86,147,,,,,,,,,,,,
21,87,226,,,,,,,,,,,,
24,89,190,,,,,,,,,,,,
7,90,91,94.0,95.0,,,,,,,,,,
51,101,119,121.0,122.0,123.0,124.0,125.0,,,,,,,
42,102,103,105.0,,,,,,,,,,,
8,104,106,107.0,,,,,,,,,,,
37,108,109,112.0,113.0,114.0,115.0,,,,,,,,
52,110,111,,,,,,,,,,,,
53,116,117,118.0,120.0,,,,,,,,,,
41,126,127,128.0,149.0,,,,,,,,,,
44,134,135,136.0,,,,,,,,,,,
50,137,140,141.0,142.0,,,,,,,,,,
45,138,139,,,,,,,,,,,,
46,144,145,146.0,,,,,,,,,,,
48,148,150,151.0,,,,,,,,,,,
49,152,153,156.0,,,,,,,,,,,
64,154,179,192.0,193.0,194.0,195.0,,,,,,,,
70,157,159,162.0,,,,,,,,,,,
68,160,163,165.0,174.0,,,,,,,,,,
57,164,166,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
66,168,169,,,,,,,,,,,,
67,172,173,175.0,180.0,,,,,,,,,,
13,181,208,218.0,,,,,,,,,,,
12,182,219,,,,,,,,,,,,
18,185,222,,,,,,,,,,,,
10,186,191,,,,,,,,,,,,
17,187,224,,,,,,,,,,,,
23,188,228,,,,,,,,,,,,
16,189,227,,,,,,,,,,,,
59,197,200,201.0,202.0,204.0,206.0,,,,,,,,
58,198,199,203.0,205.0,207.0,,,,,,,,,
61,233,234,237.0,238.0,,,,,,,,,,
63,235,236,,,,,,,,,,,,
62,239,240,,,,,,,,,,,,
6,245,250,254.0,255.0,259.0,265.0,,,,,,,,
5,247,252,256.0,262.0,263.0,,,,,,,,,
14,248,257,,,,,,,,,,,,
3,249,251,253.0,258.0,260.0,261.0,264.0,,,,,,,
25,266,269,,,,,,,,,,,,
27,267,268,270.0,271.0,,,,,,,,,,
