,0,1,2,3,4,5,6,7,8,9,10
32,0,1,,,,,,,,,
29,2,3,244.0,,,,,,,,
8,4,17,29.0,,,,,,,,
39,5,176,,,,,,,,,
4,6,13,161.0,184.0,192.0,210.0,221.0,241.0,,,
14,7,177,178.0,,,,,,,,
30,8,9,,,,,,,,,
38,10,217,,,,,,,,,
40,11,64,220.0,,,,,,,,
17,12,92,242.0,243.0,,,,,,,
20,14,15,16.0,,,,,,,,
6,18,19,20.0,21.0,,,,,,,
23,22,23,24.0,27.0,28.0,,,,,,
22,25,26,52.0,,,,,,,,
5,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
7,38,39,,,,,,,,,
73,40,43,99.0,131.0,,,,,,,
10,41,59,155.0,211.0,212.0,,,,,,
21,42,44,45.0,46.0,132.0,133.0,,,,,
69,47,129,130.0,,,,,,,,
18,48,49,50.0,51.0,,,,,,,
19,53,54,55.0,56.0,57.0,58.0,96.0,143.0,,,
12,60,61,62.0,,,,,,,,
44,63,83,218.0,,,,,,,,
9,65,66,183.0,,,,,,,,
72,67,68,72.0,,,,,,,,
49,69,71,74.0,,,,,,,,
35,70,156,,,,,,,,,
46,73,86,147.0,,,,,,,,
25,75,81,82.0,84.0,85.0,88.0,,,,,
24,76,77,78.0,79.0,80.0,93.0,,,,,
45,87,226,,,,,,,,,
48,89,190,,,,,,,,,
28,90,91,94.0,95.0,,,,,,,
71,97,144,145.0,146.0,,,,,,,
62,98,100,126.0,128.0,149.0,,,,,,
61,101,102,103.0,104.0,,,,,,,
65,105,106,107.0,,,,,,,,
64,108,112,113.0,114.0,,,,,,,
63,109,110,111.0,115.0,,,,,,,
58,116,117,119.0,120.0,,,,,,,
59,118,121,122.0,123.0,124.0,125.0,,,,,
70,127,251,253.0,263.0,,,,,,,
66,134,135,136.0,,,,,,,,
67,137,140,141.0,142.0,,,,,,,
60,138,139,,,,,,,,,
68,148,150,151.0,152.0,153.0,,,,,,
50,154,181,196.0,208.0,,,,,,,
2,157,160,163.0,165.0,174.0,175.0,,,,,
33,158,159,162.0,223.0,,,,,,,
1,164,166,167.0,170.0,171.0,213.0,216.0,225.0,229.0,230.0,232.0
51,168,169,,,,,,,,,
52,172,173,180.0,,,,,,,,
3,179,193,194.0,195.0,,,,,,,
43,182,219,,,,,,,,,
42,185,222,,,,,,,,,
31,186,191,,,,,,,,,
41,187,224,,,,,,,,,
47,188,228,,,,,,,,,
37,189,227,,,,,,,,,
27,197,199,200.0,201.0,202.0,203.0,205.0,207.0,,,
26,198,204,206.0,209.0,,,,,,,
15,214,215,231.0,,,,,,,,
13,233,234,237.0,238.0,,,,,,,
36,235,239,,,,,,,,,
11,236,240,,,,,,,,,
57,245,247,252.0,,,,,,,,
54,246,248,257.0,261.0,,,,,,,
53,249,258,260.0,264.0,,,,,,,
55,250,254,259.0,265.0,,,,,,,
56,255,256,262.0,,,,,,,,
34,266,269,,,,,,,,,
16,267,268,270.0,271.0,,,,,,,
