,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
35,0,1,,,,,,,,,,,,,,,,,,,,,,,
34,2,3,244.0,,,,,,,,,,,,,,,,,,,,,,
68,4,29,38.0,199.0,210.0,,,,,,,,,,,,,,,,,,,,
62,5,6,13.0,185.0,221.0,,,,,,,,,,,,,,,,,,,,
66,7,178,179.0,,,,,,,,,,,,,,,,,,,,,,
36,8,9,,,,,,,,,,,,,,,,,,,,,,,
37,10,159,,,,,,,,,,,,,,,,,,,,,,,
50,11,86,220.0,,,,,,,,,,,,,,,,,,,,,,
53,12,92,242.0,243.0,,,,,,,,,,,,,,,,,,,,,
56,14,15,16.0,,,,,,,,,,,,,,,,,,,,,,
67,17,19,20.0,21.0,,,,,,,,,,,,,,,,,,,,,
25,18,46,134.0,135.0,,,,,,,,,,,,,,,,,,,,,
57,22,23,24.0,28.0,42.0,43.0,44.0,45.0,133.0,,,,,,,,,,,,,,,,
23,25,26,27.0,,,,,,,,,,,,,,,,,,,,,,
65,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,,,,,,,,,,
3,39,70,71.0,158.0,160.0,161.0,163.0,165.0,167.0,168.0,171.0,172.0,173.0,174.0,196.0,197.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0,240.0
18,40,47,52.0,151.0,,,,,,,,,,,,,,,,,,,,,
59,41,59,,,,,,,,,,,,,,,,,,,,,,,
11,48,49,50.0,,,,,,,,,,,,,,,,,,,,,,
12,51,96,97.0,98.0,,,,,,,,,,,,,,,,,,,,,
13,53,54,55.0,144.0,,,,,,,,,,,,,,,,,,,,,
55,56,57,58.0,,,,,,,,,,,,,,,,,,,,,,
21,60,62,,,,,,,,,,,,,,,,,,,,,,,
52,61,226,235.0,,,,,,,,,,,,,,,,,,,,,,
49,63,83,218.0,,,,,,,,,,,,,,,,,,,,,,
60,64,101,132.0,155.0,156.0,212.0,213.0,241.0,,,,,,,,,,,,,,,,,
58,65,66,184.0,,,,,,,,,,,,,,,,,,,,,,
27,67,68,,,,,,,,,,,,,,,,,,,,,,,
39,69,72,73.0,74.0,,,,,,,,,,,,,,,,,,,,,
5,75,81,82.0,84.0,85.0,88.0,,,,,,,,,,,,,,,,,,,
4,76,77,78.0,79.0,80.0,93.0,,,,,,,,,,,,,,,,,,,
51,87,148,,,,,,,,,,,,,,,,,,,,,,,
43,89,191,,,,,,,,,,,,,,,,,,,,,,,
33,90,91,94.0,95.0,,,,,,,,,,,,,,,,,,,,,
28,99,100,128.0,129.0,,,,,,,,,,,,,,,,,,,,,
26,102,105,106.0,107.0,,,,,,,,,,,,,,,,,,,,,
19,103,104,108.0,,,,,,,,,,,,,,,,,,,,,,
10,109,113,114.0,115.0,116.0,,,,,,,,,,,,,,,,,,,,
29,110,111,112.0,,,,,,,,,,,,,,,,,,,,,,
22,117,119,122.0,125.0,,,,,,,,,,,,,,,,,,,,,
30,118,120,121.0,123.0,124.0,126.0,,,,,,,,,,,,,,,,,,,
17,127,138,141.0,145.0,146.0,147.0,,,,,,,,,,,,,,,,,,,
15,130,131,,,,,,,,,,,,,,,,,,,,,,,
24,136,137,,,,,,,,,,,,,,,,,,,,,,,
14,139,140,,,,,,,,,,,,,,,,,,,,,,,
16,142,143,,,,,,,,,,,,,,,,,,,,,,,
20,149,150,152.0,,,,,,,,,,,,,,,,,,,,,,
2,153,154,157.0,,,,,,,,,,,,,,,,,,,,,,
1,162,164,166.0,175.0,176.0,181.0,,,,,,,,,,,,,,,,,,,
44,169,170,217.0,,,,,,,,,,,,,,,,,,,,,,
32,177,239,,,,,,,,,,,,,,,,,,,,,,,
61,180,193,194.0,195.0,211.0,,,,,,,,,,,,,,,,,,,,
41,182,209,,,,,,,,,,,,,,,,,,,,,,,
48,183,219,,,,,,,,,,,,,,,,,,,,,,,
46,186,222,,,,,,,,,,,,,,,,,,,,,,,
38,187,192,223.0,,,,,,,,,,,,,,,,,,,,,,
47,188,224,,,,,,,,,,,,,,,,,,,,,,,
42,189,228,,,,,,,,,,,,,,,,,,,,,,,
45,190,227,,,,,,,,,,,,,,,,,,,,,,,
63,198,201,202.0,203.0,206.0,,,,,,,,,,,,,,,,,,,,
64,200,204,205.0,207.0,208.0,,,,,,,,,,,,,,,,,,,,
31,233,234,236.0,237.0,238.0,,,,,,,,,,,,,,,,,,,,
7,245,247,252.0,253.0,261.0,,,,,,,,,,,,,,,,,,,,
6,246,248,250.0,254.0,255.0,257.0,259.0,265.0,,,,,,,,,,,,,,,,,
8,249,251,260.0,264.0,,,,,,,,,,,,,,,,,,,,,
9,256,258,262.0,263.0,,,,,,,,,,,,,,,,,,,,,
40,266,269,,,,,,,,,,,,,,,,,,,,,,,
54,267,268,270.0,271.0,,,,,,,,,,,,,,,,,,,,,
