,0,1,2,3,4,5,6,7,8
24,0,1,,,,,,,
23,2,3,,,,,,,
50,4,29,205.0,209.0,,,,,
2,5,6,13.0,161.0,184.0,196.0,210.0,221.0,241.0
54,7,177,178.0,,,,,,
14,8,9,,,,,,,
3,10,214,215.0,216.0,230.0,231.0,232.0,,
39,11,149,217.0,220.0,,,,,
46,12,70,92.0,242.0,243.0,244.0,,,
61,14,15,16.0,,,,,,
48,17,18,19.0,20.0,21.0,,,,
60,22,23,24.0,27.0,28.0,42.0,43.0,44.0,
59,25,26,40.0,52.0,67.0,68.0,,,
47,30,31,32.0,33.0,34.0,35.0,36.0,37.0,
49,38,39,,,,,,,
62,41,59,,,,,,,
63,45,46,132.0,133.0,,,,,
21,47,129,130.0,,,,,,
69,48,49,50.0,51.0,,,,,
70,53,54,55.0,56.0,57.0,58.0,,,
55,60,61,62.0,,,,,,
41,63,64,,,,,,,
53,65,66,183.0,,,,,,
12,69,71,72.0,73.0,74.0,,,,
8,75,81,82.0,83.0,84.0,85.0,88.0,,
7,76,77,78.0,79.0,80.0,93.0,,,
43,86,147,,,,,,,
42,87,226,,,,,,,
34,89,190,,,,,,,
6,90,91,94.0,95.0,,,,,
72,96,97,98.0,143.0,144.0,146.0,,,
64,99,100,,,,,,,
65,101,119,121.0,122.0,123.0,124.0,125.0,,
27,102,103,105.0,,,,,,
25,104,106,107.0,,,,,,
19,108,109,112.0,113.0,114.0,115.0,,,
66,110,111,,,,,,,
67,116,117,118.0,120.0,,,,,
68,126,127,128.0,,,,,,
56,131,145,155.0,211.0,212.0,,,,
20,134,135,136.0,,,,,,
22,137,140,141.0,142.0,,,,,
71,138,139,,,,,,,
26,148,150,151.0,,,,,,
45,152,153,156.0,,,,,,
1,154,179,192.0,193.0,194.0,195.0,,,
5,157,164,166.0,167.0,170.0,171.0,213.0,225.0,229.0
15,158,159,,,,,,,
4,160,165,174.0,,,,,,
28,162,163,,,,,,,
30,168,169,,,,,,,
16,172,173,175.0,180.0,,,,,
38,176,246,,,,,,,
32,181,208,218.0,,,,,,
31,182,219,,,,,,,
40,185,222,,,,,,,
13,186,191,223.0,,,,,,
37,187,224,,,,,,,
33,188,228,,,,,,,
36,189,227,,,,,,,
18,197,198,199.0,,,,,,
58,200,201,202.0,,,,,,
17,203,207,,,,,,,
57,204,206,,,,,,,
51,233,234,236.0,237.0,238.0,,,,
52,235,239,240.0,,,,,,
10,245,250,254.0,255.0,259.0,265.0,,,
9,247,252,256.0,262.0,263.0,,,,
35,248,257,,,,,,,
11,249,251,253.0,258.0,260.0,261.0,264.0,,
29,266,269,,,,,,,
44,267,268,270.0,271.0,,,,,
