,0,1,2,3,4,5,6,7,8,9,10,11,12,13
5,0,1.0,,,,,,,,,,,,
35,2,3.0,,,,,,,,,,,,
10,4,29.0,67.0,209.0,,,,,,,,,,
3,5,6.0,176.0,185.0,196.0,197.0,221.0,,,,,,,
15,7,178.0,179.0,,,,,,,,,,,
33,8,9.0,,,,,,,,,,,,
34,10,159.0,160.0,,,,,,,,,,,
40,11,139.0,,,,,,,,,,,,
21,12,70.0,92.0,242.0,243.0,268.0,271.0,,,,,,,
66,13,62.0,169.0,244.0,,,,,,,,,,
14,14,15.0,16.0,,,,,,,,,,,
16,17,18.0,19.0,20.0,21.0,,,,,,,,,
13,22,23.0,,,,,,,,,,,,
59,24,27.0,28.0,42.0,43.0,,,,,,,,,
55,25,26.0,,,,,,,,,,,,
17,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
9,38,39.0,40.0,,,,,,,,,,,
77,41,59.0,,,,,,,,,,,,
79,44,68.0,133.0,,,,,,,,,,,
78,45,46.0,,,,,,,,,,,,
49,47,130.0,131.0,140.0,,,,,,,,,,
19,48,49.0,50.0,51.0,,,,,,,,,,
56,52,154.0,157.0,,,,,,,,,,,
44,53,54.0,55.0,,,,,,,,,,,
18,56,57.0,58.0,,,,,,,,,,,
11,60,61.0,,,,,,,,,,,,
67,63,83.0,177.0,217.0,,,,,,,,,,
12,64,132.0,156.0,211.0,212.0,241.0,,,,,,,,
60,65,66.0,,,,,,,,,,,,
20,69,72.0,73.0,74.0,,,,,,,,,,
4,71,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,
24,75,81.0,82.0,85.0,88.0,,,,,,,,,
23,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
61,84,184.0,220.0,,,,,,,,,,,
73,86,,,,,,,,,,,,,
72,87,148.0,226.0,,,,,,,,,,,
64,89,191.0,,,,,,,,,,,,
22,90,91.0,94.0,95.0,,,,,,,,,,
54,96,97.0,98.0,,,,,,,,,,,
42,99,100.0,101.0,,,,,,,,,,,
39,102,103.0,105.0,,,,,,,,,,,
38,104,108.0,,,,,,,,,,,,
37,106,107.0,,,,,,,,,,,,
45,109,113.0,114.0,115.0,116.0,,,,,,,,,
36,110,111.0,112.0,,,,,,,,,,,
43,117,118.0,120.0,121.0,,,,,,,,,,
74,119,122.0,,,,,,,,,,,,
51,123,126.0,,,,,,,,,,,,
50,124,125.0,,,,,,,,,,,,
41,127,128.0,129.0,,,,,,,,,,,
76,134,136.0,144.0,,,,,,,,,,,
75,135,137.0,,,,,,,,,,,,
48,138,141.0,,,,,,,,,,,,
46,142,143.0,,,,,,,,,,,,
47,145,146.0,147.0,,,,,,,,,,,
53,149,150.0,,,,,,,,,,,,
52,151,152.0,153.0,,,,,,,,,,,
2,155,180.0,193.0,194.0,195.0,210.0,,,,,,,,
6,158,161.0,163.0,,,,,,,,,,,
8,162,164.0,166.0,175.0,181.0,,,,,,,,,
1,165,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
7,170,173.0,174.0,,,,,,,,,,,
62,182,208.0,218.0,,,,,,,,,,,
71,183,219.0,,,,,,,,,,,,
70,186,222.0,,,,,,,,,,,,
32,187,192.0,223.0,,,,,,,,,,,
69,188,224.0,,,,,,,,,,,,
63,189,228.0,,,,,,,,,,,,
68,190,227.0,,,,,,,,,,,,
31,233,234.0,236.0,237.0,238.0,240.0,,,,,,,,
65,235,239.0,,,,,,,,,,,,
30,245,255.0,,,,,,,,,,,,
28,246,248.0,257.0,261.0,,,,,,,,,,
25,247,252.0,256.0,262.0,263.0,,,,,,,,,
26,249,253.0,258.0,,,,,,,,,,,
29,250,254.0,259.0,265.0,,,,,,,,,,
27,251,260.0,264.0,,,,,,,,,,,
57,266,269.0,,,,,,,,,,,,
58,267,270.0,,,,,,,,,,,,
