,0,1,2,3,4,5,6,7,8,9,10
32,0,1,,,,,,,,,
18,2,3,244.0,,,,,,,,
15,4,29,38.0,39.0,209.0,,,,,,
2,5,6,13.0,184.0,210.0,221.0,241.0,,,,
53,7,177,178.0,,,,,,,,
36,8,9,,,,,,,,,
37,10,158,159.0,,,,,,,,
50,11,85,220.0,,,,,,,,
7,12,91,242.0,243.0,,,,,,,
10,14,15,16.0,,,,,,,,
14,17,18,19.0,20.0,21.0,,,,,,
9,22,23,24.0,25.0,26.0,27.0,28.0,42.0,43.0,44.0,67.0
13,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
27,40,66,104.0,,,,,,,,
11,41,58,,,,,,,,,
12,45,46,132.0,133.0,,,,,,,
72,47,129,130.0,,,,,,,,
16,48,49,50.0,51.0,,,,,,,
28,52,143,149.0,176.0,,,,,,,
17,53,54,55.0,56.0,57.0,95.0,,,,,
60,59,60,61.0,,,,,,,,
47,62,63,,,,,,,,,
58,64,65,183.0,,,,,,,,
56,68,69,70.0,,,,,,,,
57,71,72,73.0,,,,,,,,
31,74,80,81.0,82.0,83.0,84.0,87.0,,,,
30,75,76,77.0,78.0,79.0,92.0,,,,,
48,86,147,226.0,,,,,,,,
52,88,190,,,,,,,,,
29,89,90,93.0,94.0,,,,,,,
26,96,97,144.0,146.0,,,,,,,
23,98,99,100.0,119.0,125.0,,,,,,
61,101,102,103.0,,,,,,,,
24,105,106,107.0,,,,,,,,
66,108,109,112.0,113.0,114.0,115.0,,,,,
19,110,111,,,,,,,,,
21,116,117,118.0,120.0,,,,,,,
22,121,122,123.0,124.0,,,,,,,
20,126,127,128.0,,,,,,,,
62,131,145,155.0,211.0,212.0,,,,,,
71,134,135,136.0,,,,,,,,
70,137,140,141.0,142.0,,,,,,,
25,138,139,,,,,,,,,
73,148,150,151.0,,,,,,,,
8,152,153,156.0,,,,,,,,
1,154,179,192.0,193.0,194.0,195.0,196.0,,,,
5,157,164,166.0,170.0,172.0,173.0,213.0,225.0,229.0,,
34,160,163,165.0,,,,,,,,
38,161,168,169.0,180.0,,,,,,,
49,162,217,,,,,,,,,
4,167,171,,,,,,,,,
33,174,175,,,,,,,,,
43,181,208,218.0,,,,,,,,
42,182,219,,,,,,,,,
46,185,222,,,,,,,,,
35,186,191,223.0,,,,,,,,
45,187,224,,,,,,,,,
51,188,228,,,,,,,,,
44,189,227,,,,,,,,,
40,197,198,199.0,,,,,,,,
59,200,201,202.0,,,,,,,,
39,203,207,,,,,,,,,
63,204,205,206.0,,,,,,,,
3,214,215,216.0,230.0,231.0,232.0,,,,,
54,233,234,237.0,238.0,,,,,,,
55,235,236,239.0,240.0,,,,,,,
65,245,247,252.0,255.0,263.0,,,,,,
69,246,248,257.0,,,,,,,,
64,249,251,253.0,258.0,260.0,261.0,264.0,,,,
68,250,254,259.0,265.0,,,,,,,
67,256,262,,,,,,,,,
41,266,269,,,,,,,,,
6,267,268,270.0,271.0,,,,,,,
