,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
59,0,1.0,,,,,,,,,,,,,,
58,2,3.0,,,,,,,,,,,,,,
5,4,5.0,6.0,13.0,161.0,184.0,192.0,209.0,221.0,241.0,,,,,,
6,7,177.0,178.0,,,,,,,,,,,,,
20,8,9.0,,,,,,,,,,,,,,
39,10,159.0,,,,,,,,,,,,,,
48,11,132.0,220.0,,,,,,,,,,,,,
57,12,92.0,242.0,243.0,,,,,,,,,,,,
15,14,15.0,,,,,,,,,,,,,,
56,16,17.0,67.0,100.0,,,,,,,,,,,,
12,18,19.0,20.0,21.0,,,,,,,,,,,,
16,22,23.0,24.0,27.0,28.0,,,,,,,,,,,
13,25,26.0,52.0,68.0,,,,,,,,,,,,
21,29,180.0,,,,,,,,,,,,,,
17,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,
34,38,39.0,,,,,,,,,,,,,,
35,40,96.0,149.0,152.0,,,,,,,,,,,,
11,41,59.0,61.0,64.0,156.0,211.0,212.0,,,,,,,,,
14,42,43.0,44.0,45.0,46.0,133.0,,,,,,,,,,
33,47,130.0,131.0,,,,,,,,,,,,,
23,48,49.0,50.0,51.0,,,,,,,,,,,,
19,53,54.0,55.0,56.0,57.0,58.0,144.0,,,,,,,,,
55,60,62.0,,,,,,,,,,,,,,
47,63,83.0,176.0,217.0,218.0,,,,,,,,,,,
10,65,66.0,183.0,,,,,,,,,,,,,
60,69,71.0,73.0,,,,,,,,,,,,,
3,70,158.0,162.0,194.0,195.0,196.0,,,,,,,,,,
54,72,74.0,,,,,,,,,,,,,,
28,75,81.0,82.0,84.0,85.0,88.0,,,,,,,,,,
27,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,,,
50,86,,,,,,,,,,,,,,,
49,87,148.0,226.0,,,,,,,,,,,,,
52,89,190.0,,,,,,,,,,,,,,
26,90,91.0,94.0,95.0,,,,,,,,,,,,
18,97,98.0,,,,,,,,,,,,,,
70,99,117.0,127.0,128.0,129.0,,,,,,,,,,,
64,101,120.0,123.0,126.0,,,,,,,,,,,,
67,102,103.0,105.0,108.0,,,,,,,,,,,,
66,104,106.0,107.0,,,,,,,,,,,,,
30,109,113.0,114.0,115.0,116.0,,,,,,,,,,,
69,110,111.0,112.0,,,,,,,,,,,,,
65,118,119.0,121.0,122.0,,,,,,,,,,,,
63,124,125.0,,,,,,,,,,,,,,
36,134,146.0,147.0,,,,,,,,,,,,,
53,135,136.0,137.0,,,,,,,,,,,,,
31,138,142.0,143.0,145.0,,,,,,,,,,,,
32,139,140.0,141.0,,,,,,,,,,,,,
37,150,151.0,,,,,,,,,,,,,,
61,153,154.0,157.0,244.0,,,,,,,,,,,,
4,155,179.0,193.0,210.0,,,,,,,,,,,,
2,160,163.0,165.0,174.0,175.0,,,,,,,,,,,
1,164,166.0,167.0,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
38,168,169.0,,,,,,,,,,,,,,
42,181,208.0,,,,,,,,,,,,,,
43,182,219.0,,,,,,,,,,,,,,
46,185,222.0,,,,,,,,,,,,,,
40,186,191.0,223.0,,,,,,,,,,,,,
45,187,224.0,,,,,,,,,,,,,,
51,188,228.0,,,,,,,,,,,,,,
44,189,227.0,,,,,,,,,,,,,,
25,197,198.0,199.0,200.0,201.0,202.0,203.0,207.0,,,,,,,,
24,204,205.0,206.0,,,,,,,,,,,,,
7,233,234.0,237.0,238.0,,,,,,,,,,,,
8,235,236.0,239.0,240.0,,,,,,,,,,,,
62,245,246.0,248.0,250.0,254.0,257.0,259.0,265.0,,,,,,,,
68,247,252.0,256.0,262.0,,,,,,,,,,,,
29,249,251.0,253.0,255.0,258.0,260.0,261.0,263.0,264.0,,,,,,,
41,266,269.0,,,,,,,,,,,,,,
22,267,270.0,,,,,,,,,,,,,,
9,268,271.0,,,,,,,,,,,,,,
