,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,0,1.0,,,,,,,,,,,,,
68,2,3.0,244.0,,,,,,,,,,,,
6,4,29.0,67.0,209.0,,,,,,,,,,,
75,5,6.0,176.0,185.0,196.0,197.0,221.0,,,,,,,,
7,7,178.0,179.0,,,,,,,,,,,,
66,8,9.0,,,,,,,,,,,,,
71,10,165.0,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
60,11,139.0,,,,,,,,,,,,,
3,12,70.0,92.0,169.0,242.0,243.0,,,,,,,,,
53,13,218.0,,,,,,,,,,,,,
10,14,15.0,16.0,,,,,,,,,,,,
8,17,18.0,19.0,20.0,21.0,,,,,,,,,,
43,22,23.0,24.0,27.0,28.0,,,,,,,,,,
35,25,26.0,,,,,,,,,,,,,
4,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
5,38,39.0,40.0,,,,,,,,,,,,
62,41,59.0,,,,,,,,,,,,,
61,42,132.0,133.0,,,,,,,,,,,,
63,43,44.0,,,,,,,,,,,,,
64,45,46.0,68.0,,,,,,,,,,,,
38,47,130.0,131.0,,,,,,,,,,,,
14,48,49.0,50.0,51.0,,,,,,,,,,,
36,52,154.0,157.0,,,,,,,,,,,,
9,53,54.0,55.0,144.0,,,,,,,,,,,
15,56,57.0,58.0,,,,,,,,,,,,
12,60,61.0,,,,,,,,,,,,,
54,62,63.0,83.0,217.0,,,,,,,,,,,
13,64,65.0,66.0,,,,,,,,,,,,
1,69,72.0,73.0,74.0,,,,,,,,,,,
78,71,200.0,202.0,203.0,,,,,,,,,,,
19,75,81.0,82.0,85.0,88.0,,,,,,,,,,
18,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,,
49,84,184.0,220.0,,,,,,,,,,,,
56,86,,,,,,,,,,,,,,
55,87,148.0,226.0,,,,,,,,,,,,
46,89,191.0,,,,,,,,,,,,,
17,90,91.0,94.0,95.0,,,,,,,,,,,
16,96,97.0,98.0,,,,,,,,,,,,
28,99,100.0,101.0,129.0,,,,,,,,,,,
25,102,103.0,105.0,,,,,,,,,,,,
26,104,106.0,107.0,108.0,,,,,,,,,,,
30,109,113.0,114.0,115.0,116.0,,,,,,,,,,
27,110,111.0,112.0,,,,,,,,,,,,
29,117,118.0,120.0,121.0,,,,,,,,,,,
58,119,122.0,,,,,,,,,,,,,
32,123,126.0,,,,,,,,,,,,,
31,124,125.0,,,,,,,,,,,,,
39,127,128.0,,,,,,,,,,,,,
59,134,136.0,,,,,,,,,,,,,
57,135,137.0,,,,,,,,,,,,,
40,138,140.0,141.0,,,,,,,,,,,,
37,142,143.0,,,,,,,,,,,,,
41,145,146.0,147.0,,,,,,,,,,,,
34,149,150.0,,,,,,,,,,,,,
33,151,152.0,153.0,,,,,,,,,,,,
74,155,180.0,193.0,194.0,195.0,210.0,,,,,,,,,
11,156,211.0,212.0,241.0,,,,,,,,,,,
70,158,161.0,163.0,,,,,,,,,,,,
67,159,160.0,,,,,,,,,,,,,
73,162,164.0,166.0,175.0,181.0,,,,,,,,,,
72,170,173.0,174.0,,,,,,,,,,,,
44,177,235.0,239.0,,,,,,,,,,,,
47,182,208.0,,,,,,,,,,,,,
48,183,219.0,,,,,,,,,,,,,
52,186,222.0,,,,,,,,,,,,,
65,187,192.0,223.0,,,,,,,,,,,,
51,188,224.0,,,,,,,,,,,,,
45,189,228.0,,,,,,,,,,,,,
50,190,227.0,,,,,,,,,,,,,
77,198,199.0,201.0,204.0,205.0,206.0,207.0,,,,,,,,
76,233,234.0,236.0,237.0,238.0,240.0,,,,,,,,,
22,245,252.0,255.0,262.0,,,,,,,,,,,
20,246,248.0,257.0,261.0,,,,,,,,,,,
24,247,251.0,256.0,260.0,263.0,264.0,,,,,,,,,
23,249,253.0,258.0,,,,,,,,,,,,
21,250,254.0,259.0,265.0,,,,,,,,,,,
42,266,269.0,,,,,,,,,,,,,
2,267,268.0,270.0,271.0,,,,,,,,,,,
