,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
76,0,1,,,,,,,,,,,,,
28,2,3,,,,,,,,,,,,,
6,4,29,67.0,209.0,,,,,,,,,,,
75,5,6,13.0,176.0,185.0,221.0,,,,,,,,,
7,7,178,179.0,,,,,,,,,,,,
19,8,9,,,,,,,,,,,,,
69,10,165,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
50,11,62,139.0,,,,,,,,,,,,
3,12,70,92.0,169.0,242.0,243.0,244.0,,,,,,,,
12,14,15,16.0,,,,,,,,,,,,
8,17,18,19.0,20.0,21.0,,,,,,,,,,
13,22,23,42.0,64.0,132.0,,,,,,,,,,
9,24,27,28.0,,,,,,,,,,,,
26,25,26,,,,,,,,,,,,,
4,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
5,38,39,40.0,,,,,,,,,,,,
39,41,59,,,,,,,,,,,,,
40,43,44,,,,,,,,,,,,,
41,45,46,133.0,,,,,,,,,,,,
33,47,130,131.0,140.0,,,,,,,,,,,
66,48,49,50.0,51.0,,,,,,,,,,,
27,52,154,157.0,,,,,,,,,,,,
65,53,54,55.0,,,,,,,,,,,,
67,56,57,58.0,,,,,,,,,,,,
10,60,61,,,,,,,,,,,,,
51,63,83,177.0,217.0,,,,,,,,,,,
74,65,66,,,,,,,,,,,,,
53,68,87,226.0,,,,,,,,,,,,
1,69,72,73.0,74.0,,,,,,,,,,,
72,71,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
16,75,81,82.0,85.0,88.0,,,,,,,,,,
15,76,77,78.0,79.0,80.0,93.0,,,,,,,,,
47,84,184,220.0,,,,,,,,,,,,
54,86,148,,,,,,,,,,,,,
46,89,191,,,,,,,,,,,,,
14,90,91,94.0,95.0,,,,,,,,,,,
68,96,97,98.0,,,,,,,,,,,,
60,99,100,101.0,117.0,118.0,120.0,128.0,129.0,,,,,,,
62,102,103,105.0,,,,,,,,,,,,
64,104,108,,,,,,,,,,,,,
61,106,107,,,,,,,,,,,,,
21,109,113,114.0,115.0,116.0,,,,,,,,,,
29,110,111,112.0,,,,,,,,,,,,
38,119,121,122.0,,,,,,,,,,,,
23,123,126,,,,,,,,,,,,,
22,124,125,,,,,,,,,,,,,
31,127,145,146.0,147.0,,,,,,,,,,,
37,134,136,144.0,,,,,,,,,,,,
36,135,137,,,,,,,,,,,,,
32,138,141,,,,,,,,,,,,,
30,142,143,,,,,,,,,,,,,
25,149,150,,,,,,,,,,,,,
24,151,152,153.0,,,,,,,,,,,,
73,155,180,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,,
11,156,211,212.0,241.0,,,,,,,,,,,
77,158,161,163.0,,,,,,,,,,,,
20,159,160,,,,,,,,,,,,,
71,162,164,166.0,175.0,181.0,,,,,,,,,,
70,170,173,174.0,,,,,,,,,,,,
43,182,208,218.0,,,,,,,,,,,,
42,183,219,,,,,,,,,,,,,
52,186,222,,,,,,,,,,,,,
18,187,192,223.0,,,,,,,,,,,,
49,188,224,,,,,,,,,,,,,
45,189,228,,,,,,,,,,,,,
48,190,227,,,,,,,,,,,,,
17,233,234,236.0,237.0,238.0,240.0,,,,,,,,,
44,235,239,,,,,,,,,,,,,
63,245,255,,,,,,,,,,,,,
55,246,248,257.0,261.0,,,,,,,,,,,
57,247,252,256.0,262.0,263.0,,,,,,,,,,
59,249,253,258.0,,,,,,,,,,,,
56,250,254,259.0,265.0,,,,,,,,,,,
58,251,260,264.0,,,,,,,,,,,,
34,266,269,,,,,,,,,,,,,
35,267,270,,,,,,,,,,,,,
2,268,271,,,,,,,,,,,,,
