,0,1,2,3,4,5,6,7,8,9,10
31,0,1.0,,,,,,,,,
32,2,3.0,244.0,,,,,,,,
6,4,161.0,180.0,,,,,,,,
4,5,6.0,13.0,184.0,210.0,241.0,,,,,
68,7,177.0,178.0,204.0,206.0,,,,,,
29,8,9.0,,,,,,,,,
5,10,162.0,221.0,,,,,,,,
37,11,65.0,,,,,,,,,
74,12,69.0,91.0,242.0,243.0,,,,,,
53,14,15.0,16.0,,,,,,,,
58,17,18.0,19.0,20.0,21.0,,,,,,
54,22,23.0,24.0,27.0,28.0,41.0,42.0,43.0,,,
52,25,26.0,51.0,67.0,156.0,,,,,,
7,29,38.0,39.0,,,,,,,,
59,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,
70,40,58.0,154.0,155.0,211.0,212.0,,,,,
55,44,45.0,132.0,133.0,,,,,,,
27,46,129.0,130.0,,,,,,,,
73,47,48.0,49.0,50.0,,,,,,,
60,52,53.0,54.0,55.0,56.0,57.0,,,,,
19,59,60.0,61.0,,,,,,,,
17,62,63.0,249.0,,,,,,,,
38,64,83.0,183.0,220.0,,,,,,,
23,66,98.0,99.0,,,,,,,,
71,68,71.0,72.0,73.0,,,,,,,
8,70,160.0,163.0,165.0,196.0,,,,,,
51,74,80.0,81.0,84.0,87.0,,,,,,
50,75,76.0,77.0,78.0,79.0,92.0,,,,,
45,82,176.0,217.0,,,,,,,,
46,85,,,,,,,,,,
44,86,147.0,226.0,,,,,,,,
48,88,190.0,,,,,,,,,
49,89,90.0,93.0,94.0,,,,,,,
61,95,96.0,97.0,143.0,,,,,,,
63,100,119.0,122.0,125.0,,,,,,,
18,101,102.0,104.0,,,,,,,,
16,103,149.0,,,,,,,,,
24,105,106.0,107.0,,,,,,,,
12,108,109.0,112.0,113.0,114.0,115.0,,,,,
62,110,111.0,,,,,,,,,
65,116,117.0,118.0,120.0,121.0,,,,,,
22,123,124.0,,,,,,,,,
64,126,127.0,128.0,,,,,,,,
21,131,144.0,145.0,146.0,,,,,,,
25,134,135.0,136.0,,,,,,,,
20,137,140.0,,,,,,,,,
14,138,139.0,,,,,,,,,
26,141,142.0,,,,,,,,,
13,148,150.0,151.0,152.0,153.0,,,,,,
1,157,164.0,166.0,167.0,170.0,171.0,172.0,173.0,213.0,225.0,229.0
30,158,159.0,,,,,,,,,
10,168,169.0,,,,,,,,,
2,174,175.0,216.0,230.0,232.0,,,,,,
3,179,192.0,193.0,194.0,195.0,,,,,,
40,181,208.0,218.0,,,,,,,,
39,182,219.0,,,,,,,,,
43,185,222.0,,,,,,,,,
28,186,191.0,223.0,,,,,,,,
42,187,224.0,,,,,,,,,
47,188,228.0,,,,,,,,,
41,189,227.0,,,,,,,,,
9,197,203.0,205.0,207.0,,,,,,,
11,198,199.0,209.0,,,,,,,,
69,200,201.0,202.0,,,,,,,,
67,214,215.0,231.0,,,,,,,,
66,233,234.0,236.0,237.0,238.0,240.0,,,,,
15,235,239.0,,,,,,,,,
57,245,250.0,254.0,255.0,265.0,,,,,,
33,246,248.0,257.0,259.0,261.0,,,,,,
56,247,252.0,256.0,262.0,263.0,,,,,,
35,251,258.0,264.0,,,,,,,,
34,253,260.0,,,,,,,,,
36,266,269.0,,,,,,,,,
72,267,268.0,270.0,271.0,,,,,,,
