,0,1,2,3,4,5,6,7,8,9,10,11,12
8,0,1.0,,,,,,,,,,,
50,2,3.0,244.0,,,,,,,,,,
64,4,28.0,37.0,66.0,,,,,,,,,
4,5,161.0,172.0,173.0,175.0,180.0,,,,,,,
2,6,177.0,178.0,204.0,206.0,214.0,215.0,,,,,,
12,7,8.0,,,,,,,,,,,
13,9,158.0,159.0,,,,,,,,,,
58,10,149.0,220.0,235.0,,,,,,,,,
27,11,69.0,91.0,242.0,243.0,,,,,,,,
5,12,38.0,156.0,164.0,167.0,171.0,229.0,,,,,,
29,13,14.0,15.0,,,,,,,,,,
21,16,17.0,18.0,19.0,20.0,,,,,,,,
30,21,22.0,23.0,24.0,25.0,26.0,27.0,,,,,,
22,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,,,,,
17,39,51.0,67.0,98.0,99.0,,,,,,,,
37,40,58.0,155.0,211.0,212.0,,,,,,,,
31,41,42.0,43.0,44.0,45.0,132.0,133.0,,,,,,
39,46,129.0,130.0,,,,,,,,,,
28,47,48.0,49.0,50.0,,,,,,,,,
23,52,53.0,54.0,55.0,56.0,57.0,95.0,96.0,97.0,143.0,,,
35,59,60.0,61.0,,,,,,,,,,
57,62,176.0,217.0,,,,,,,,,,
36,63,131.0,145.0,,,,,,,,,,
34,64,65.0,183.0,,,,,,,,,,
45,68,70.0,71.0,72.0,73.0,,,,,,,,
48,74,80.0,81.0,82.0,83.0,84.0,87.0,,,,,,
47,75,76.0,77.0,78.0,79.0,92.0,,,,,,,
56,85,,,,,,,,,,,,
55,86,147.0,226.0,,,,,,,,,,
60,88,190.0,,,,,,,,,,,
49,89,90.0,93.0,94.0,,,,,,,,,
16,100,119.0,122.0,125.0,,,,,,,,,
20,101,102.0,104.0,,,,,,,,,,
14,103,105.0,106.0,107.0,,,,,,,,,
32,108,109.0,110.0,112.0,113.0,114.0,115.0,,,,,,
15,111,116.0,117.0,118.0,120.0,121.0,,,,,,,
40,123,124.0,,,,,,,,,,,
19,126,127.0,128.0,,,,,,,,,,
38,134,135.0,136.0,,,,,,,,,,
24,137,140.0,,,,,,,,,,,
18,138,139.0,,,,,,,,,,,
25,141,142.0,144.0,146.0,,,,,,,,,
41,148,150.0,151.0,152.0,153.0,,,,,,,,
7,154,162.0,179.0,184.0,192.0,193.0,194.0,195.0,196.0,209.0,210.0,221.0,241.0
9,157,160.0,163.0,165.0,174.0,,,,,,,,
10,166,170.0,213.0,225.0,,,,,,,,,
63,168,169.0,,,,,,,,,,,
62,181,208.0,218.0,,,,,,,,,,
61,182,219.0,,,,,,,,,,,
54,185,222.0,,,,,,,,,,,
11,186,191.0,223.0,,,,,,,,,,
53,187,224.0,,,,,,,,,,,
59,188,228.0,,,,,,,,,,,
52,189,227.0,,,,,,,,,,,
3,197,198.0,199.0,203.0,205.0,207.0,,,,,,,
33,200,201.0,202.0,,,,,,,,,,
6,216,230.0,231.0,232.0,,,,,,,,,
1,233,234.0,236.0,237.0,238.0,239.0,240.0,,,,,,
42,245,247.0,252.0,255.0,256.0,262.0,,,,,,,
43,246,248.0,257.0,,,,,,,,,,
46,249,251.0,253.0,258.0,260.0,261.0,263.0,264.0,,,,,
44,250,254.0,259.0,265.0,,,,,,,,,
51,266,269.0,,,,,,,,,,,
26,267,268.0,270.0,271.0,,,,,,,,,
