,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
59,0,1,,,,,,,,,,,,,
58,2,3,,,,,,,,,,,,,
6,4,5,6.0,13.0,162.0,184.0,192.0,209.0,221.0,241.0,,,,,
7,7,177,178.0,,,,,,,,,,,,
23,8,9,,,,,,,,,,,,,
30,10,159,,,,,,,,,,,,,
41,11,86,220.0,,,,,,,,,,,,
57,12,92,242.0,243.0,,,,,,,,,,,
16,14,15,,,,,,,,,,,,,
49,16,17,67.0,100.0,,,,,,,,,,,
13,18,19,20.0,21.0,,,,,,,,,,,
17,22,23,24.0,27.0,28.0,,,,,,,,,,
14,25,26,52.0,68.0,,,,,,,,,,,
24,29,180,,,,,,,,,,,,,
18,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
2,38,39,,,,,,,,,,,,,
55,40,96,149.0,152.0,,,,,,,,,,,
12,41,59,61.0,64.0,156.0,211.0,212.0,,,,,,,,
15,42,43,44.0,45.0,46.0,132.0,133.0,,,,,,,,
52,47,130,131.0,,,,,,,,,,,,
22,48,49,50.0,51.0,,,,,,,,,,,
20,53,54,55.0,56.0,57.0,58.0,144.0,,,,,,,,
48,60,62,,,,,,,,,,,,,
39,63,83,176.0,,,,,,,,,,,,
11,65,66,183.0,,,,,,,,,,,,
60,69,71,73.0,,,,,,,,,,,,
4,70,158,160.0,163.0,194.0,195.0,196.0,,,,,,,,
47,72,74,,,,,,,,,,,,,
29,75,81,82.0,84.0,85.0,88.0,,,,,,,,,
28,76,77,78.0,79.0,80.0,93.0,,,,,,,,,
40,87,148,226.0,,,,,,,,,,,,
43,89,190,,,,,,,,,,,,,
27,90,91,94.0,95.0,,,,,,,,,,,
19,97,98,,,,,,,,,,,,,
65,99,117,127.0,128.0,129.0,,,,,,,,,,
63,101,120,123.0,126.0,,,,,,,,,,,
67,102,103,105.0,108.0,,,,,,,,,,,
66,104,106,107.0,,,,,,,,,,,,
45,109,113,114.0,115.0,116.0,,,,,,,,,,
69,110,111,112.0,,,,,,,,,,,,
64,118,119,121.0,122.0,,,,,,,,,,,
53,124,125,,,,,,,,,,,,,
56,134,146,147.0,,,,,,,,,,,,
46,135,136,137.0,,,,,,,,,,,,
50,138,142,143.0,145.0,,,,,,,,,,,
51,139,140,141.0,,,,,,,,,,,,
54,150,151,,,,,,,,,,,,,
61,153,154,157.0,244.0,,,,,,,,,,,
5,155,179,193.0,210.0,,,,,,,,,,,
3,161,164,165.0,174.0,175.0,,,,,,,,,,
1,166,167,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
35,168,169,217.0,,,,,,,,,,,,
34,181,208,218.0,,,,,,,,,,,,
33,182,219,,,,,,,,,,,,,
38,185,222,,,,,,,,,,,,,
31,186,191,223.0,,,,,,,,,,,,
37,187,224,,,,,,,,,,,,,
42,188,228,,,,,,,,,,,,,
36,189,227,,,,,,,,,,,,,
26,197,198,199.0,200.0,201.0,202.0,203.0,207.0,,,,,,,
25,204,205,206.0,,,,,,,,,,,,
8,233,234,237.0,238.0,,,,,,,,,,,
9,235,236,239.0,240.0,,,,,,,,,,,
62,245,246,248.0,250.0,254.0,257.0,259.0,265.0,,,,,,,
68,247,252,256.0,262.0,,,,,,,,,,,
44,249,251,253.0,255.0,258.0,260.0,261.0,263.0,264.0,,,,,,
32,266,269,,,,,,,,,,,,,
21,267,270,,,,,,,,,,,,,
10,268,271,,,,,,,,,,,,,
