,0,1,2,3,4,5,6,7,8,9,10
36,0,1,,,,,,,,,
37,2,3,244.0,,,,,,,,
15,4,11,29.0,,,,,,,,
2,5,6,13.0,161.0,162.0,184.0,192.0,209.0,210.0,221.0,241.0
16,7,177,178.0,,,,,,,,
39,8,9,,,,,,,,,
4,10,216,230.0,231.0,232.0,,,,,,
7,12,70,92.0,242.0,243.0,,,,,,
24,14,15,16.0,,,,,,,,
13,17,18,19.0,20.0,21.0,,,,,,
22,22,23,24.0,27.0,28.0,,,,,,
23,25,26,52.0,68.0,,,,,,,
12,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
14,38,39,,,,,,,,,
63,40,67,99.0,100.0,,,,,,,
20,41,59,155.0,211.0,212.0,,,,,,
25,42,43,44.0,45.0,46.0,132.0,133.0,145.0,,,
69,47,130,131.0,,,,,,,,
8,48,49,50.0,51.0,,,,,,,
21,53,54,55.0,56.0,57.0,58.0,96.0,97.0,98.0,,
19,60,61,62.0,,,,,,,,
46,63,168,217.0,,,,,,,,
40,64,158,159.0,,,,,,,,
18,65,66,183.0,,,,,,,,
9,69,71,72.0,73.0,74.0,,,,,,
28,75,81,82.0,83.0,84.0,85.0,88.0,,,,
27,76,77,78.0,79.0,80.0,93.0,,,,,
52,86,220,,,,,,,,,
51,87,147,226.0,,,,,,,,
54,89,190,,,,,,,,,
26,90,91,94.0,95.0,,,,,,,
57,101,123,126.0,,,,,,,,
65,102,103,,,,,,,,,
55,104,106,107.0,,,,,,,,
66,105,108,143.0,149.0,176.0,,,,,,
60,109,110,113.0,114.0,115.0,116.0,,,,,
56,111,112,,,,,,,,,
58,117,118,120.0,121.0,,,,,,,
64,119,122,124.0,125.0,,,,,,,
59,127,128,129.0,,,,,,,,
61,134,135,136.0,,,,,,,,
68,137,140,141.0,142.0,,,,,,,
62,138,139,,,,,,,,,
45,144,146,,,,,,,,,
70,148,150,151.0,,,,,,,,
67,152,153,156.0,,,,,,,,
1,154,179,193.0,194.0,195.0,,,,,,
3,157,160,163.0,165.0,174.0,175.0,,,,,
5,164,166,170.0,213.0,214.0,215.0,225.0,229.0,,,
34,167,171,,,,,,,,,
35,169,172,173.0,180.0,,,,,,,
43,181,208,218.0,,,,,,,,
50,182,219,,,,,,,,,
49,185,222,,,,,,,,,
38,186,191,223.0,,,,,,,,
48,187,224,,,,,,,,,
53,188,228,,,,,,,,,
47,189,227,,,,,,,,,
42,196,198,199.0,205.0,,,,,,,
33,197,203,207.0,,,,,,,,
17,200,201,202.0,204.0,206.0,,,,,,
10,233,234,236.0,237.0,238.0,,,,,,
11,235,239,240.0,,,,,,,,
32,245,247,252.0,255.0,256.0,262.0,263.0,,,,
30,246,248,257.0,261.0,,,,,,,
31,249,251,258.0,264.0,,,,,,,
29,250,254,259.0,265.0,,,,,,,
44,253,260,,,,,,,,,
41,266,269,,,,,,,,,
6,267,268,270.0,271.0,,,,,,,
