,0,1,2,3,4,5,6,7,8,9
11,0,1,,,,,,,,
16,2,3,,,,,,,,
5,4,5,6.0,12.0,175.0,184.0,221.0,241.0,,
6,7,177,178.0,,,,,,,
14,8,158,159.0,,,,,,,
1,9,216,230.0,231.0,232.0,,,,,
54,10,220,,,,,,,,
17,11,69,91.0,242.0,243.0,244.0,,,,
25,13,14,15.0,,,,,,,
19,16,17,18.0,19.0,20.0,,,,,
26,21,22,23.0,26.0,27.0,,,,,
36,24,51,,,,,,,,
41,25,44,66.0,67.0,,,,,,
20,28,37,38.0,209.0,,,,,,
18,29,30,31.0,32.0,33.0,34.0,35.0,36.0,,
32,39,46,138.0,139.0,,,,,,
24,40,41,58.0,63.0,131.0,155.0,211.0,212.0,,
40,42,43,,,,,,,,
55,45,85,,,,,,,,
21,47,48,49.0,50.0,,,,,,
22,52,53,54.0,55.0,56.0,57.0,,,,
10,59,161,168.0,180.0,,,,,,
23,60,61,,,,,,,,
51,62,176,217.0,,,,,,,
44,64,65,183.0,,,,,,,
58,68,71,72.0,73.0,,,,,,
4,70,195,196.0,200.0,203.0,207.0,,,,
29,74,80,81.0,83.0,84.0,87.0,,,,
28,75,76,77.0,78.0,79.0,92.0,,,,
52,82,245,,,,,,,,
53,86,147,226.0,,,,,,,
57,88,190,,,,,,,,
27,89,90,93.0,94.0,,,,,,
34,95,96,97.0,,,,,,,
65,98,99,100.0,,,,,,,
61,101,102,104.0,,,,,,,
62,103,105,107.0,,,,,,,
47,106,118,141.0,143.0,,,,,,
38,108,109,112.0,113.0,114.0,115.0,,,,
63,110,111,,,,,,,,
67,116,117,119.0,120.0,,,,,,
33,121,123,124.0,,,,,,,
66,122,125,,,,,,,,
64,126,127,128.0,,,,,,,
31,129,130,,,,,,,,
42,132,133,,,,,,,,
43,134,135,136.0,,,,,,,
30,137,140,142.0,144.0,145.0,146.0,,,,
35,148,149,150.0,,,,,,,
37,151,152,153.0,156.0,,,,,,
7,154,179,192.0,193.0,194.0,210.0,,,,
12,157,160,162.0,,,,,,,
9,163,165,174.0,,,,,,,
2,164,166,167.0,170.0,171.0,213.0,214.0,215.0,225.0,229.0
8,169,172,173.0,,,,,,,
46,181,208,218.0,,,,,,,
45,182,219,,,,,,,,
50,185,222,,,,,,,,
13,186,191,223.0,,,,,,,
49,187,224,,,,,,,,
56,188,228,,,,,,,,
48,189,227,,,,,,,,
3,197,198,199.0,201.0,202.0,204.0,205.0,206.0,,
59,233,234,237.0,238.0,,,,,,
60,235,236,239.0,240.0,,,,,,
68,246,248,257.0,261.0,,,,,,
70,247,252,253.0,256.0,260.0,262.0,263.0,,,
71,249,251,254.0,255.0,258.0,264.0,,,,
69,250,259,265.0,,,,,,,
39,266,269,,,,,,,,
15,267,268,270.0,271.0,,,,,,
