,0,1,2,3,4,5,6,7,8,9,10,11,12,13
38,0,1.0,,,,,,,,,,,,
37,2,3.0,,,,,,,,,,,,
42,4,28.0,180.0,209.0,,,,,,,,,,
5,5,12.0,241.0,,,,,,,,,,,
6,6,175.0,184.0,195.0,196.0,221.0,,,,,,,,
25,7,177.0,178.0,,,,,,,,,,,
3,8,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,
35,9,158.0,159.0,,,,,,,,,,,
64,10,217.0,220.0,,,,,,,,,,,
10,11,69.0,91.0,242.0,243.0,244.0,,,,,,,,
18,13,14.0,15.0,,,,,,,,,,,
26,16,17.0,18.0,19.0,20.0,,,,,,,,,
19,21,22.0,23.0,25.0,26.0,27.0,,,,,,,,
68,24,42.0,,,,,,,,,,,,
24,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,,,,,,
41,37,38.0,,,,,,,,,,,,
17,39,41.0,43.0,44.0,45.0,131.0,132.0,133.0,,,,,,
15,40,58.0,155.0,211.0,212.0,,,,,,,,,
71,46,103.0,122.0,125.0,,,,,,,,,,
11,47,48.0,49.0,50.0,,,,,,,,,,
50,51,70.0,153.0,156.0,,,,,,,,,,
14,52,53.0,54.0,,,,,,,,,,,
13,55,56.0,57.0,,,,,,,,,,,
59,59,62.0,63.0,168.0,,,,,,,,,,
58,60,61.0,,,,,,,,,,,,
53,64,65.0,183.0,,,,,,,,,,,
16,66,67.0,,,,,,,,,,,,
9,68,71.0,72.0,73.0,,,,,,,,,,
29,74,80.0,81.0,82.0,83.0,84.0,87.0,,,,,,,
28,75,76.0,77.0,78.0,79.0,92.0,,,,,,,,
65,85,,,,,,,,,,,,,
63,86,147.0,226.0,,,,,,,,,,,
57,88,190.0,,,,,,,,,,,,
27,89,90.0,93.0,94.0,,,,,,,,,,
47,95,96.0,97.0,,,,,,,,,,,
23,98,99.0,100.0,,,,,,,,,,,
12,101,102.0,104.0,,,,,,,,,,,
66,105,106.0,,,,,,,,,,,,
69,107,118.0,143.0,176.0,,,,,,,,,,
43,108,109.0,112.0,113.0,114.0,115.0,,,,,,,,
20,110,111.0,,,,,,,,,,,,
21,116,117.0,119.0,120.0,,,,,,,,,,
70,121,123.0,124.0,,,,,,,,,,,
22,126,127.0,128.0,,,,,,,,,,,
45,129,130.0,,,,,,,,,,,,
67,134,135.0,136.0,,,,,,,,,,,
44,137,141.0,142.0,,,,,,,,,,,
46,138,139.0,,,,,,,,,,,,
48,140,144.0,145.0,146.0,,,,,,,,,,
51,148,149.0,150.0,151.0,152.0,,,,,,,,,
4,154,179.0,192.0,193.0,194.0,210.0,,,,,,,,
40,157,160.0,162.0,,,,,,,,,,,
1,161,163.0,165.0,174.0,,,,,,,,,,
2,164,166.0,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
39,169,172.0,173.0,,,,,,,,,,,
55,181,208.0,218.0,,,,,,,,,,,
54,182,219.0,,,,,,,,,,,,
62,185,222.0,,,,,,,,,,,,
36,186,191.0,223.0,,,,,,,,,,,
61,187,224.0,,,,,,,,,,,,
56,188,228.0,,,,,,,,,,,,
60,189,227.0,,,,,,,,,,,,
8,233,234.0,237.0,238.0,,,,,,,,,,
49,235,236.0,239.0,240.0,,,,,,,,,,
33,245,255.0,256.0,262.0,,,,,,,,,,
30,246,248.0,257.0,261.0,,,,,,,,,,
34,247,252.0,253.0,263.0,,,,,,,,,,
32,249,251.0,254.0,258.0,260.0,264.0,,,,,,,,
31,250,259.0,265.0,,,,,,,,,,,
52,266,269.0,,,,,,,,,,,,
7,267,268.0,270.0,271.0,,,,,,,,,,
