,0,1,2,3,4,5,6,7,8,9
9,0,1,,,,,,,,
35,2,3,,,,,,,,
13,4,29,67.0,209.0,,,,,,
5,5,6,176.0,185.0,196.0,197.0,221.0,,,
21,7,178,179.0,,,,,,,
45,8,9,,,,,,,,
3,10,216,230.0,231.0,232.0,,,,,
39,11,139,,,,,,,,
15,12,70,92.0,242.0,243.0,268.0,271.0,,,
71,13,62,169.0,244.0,,,,,,
18,14,15,16.0,,,,,,,
22,17,18,19.0,20.0,21.0,,,,,
16,22,23,,,,,,,,
17,24,27,28.0,,,,,,,
54,25,26,,,,,,,,
23,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,
12,38,39,40.0,,,,,,,
64,41,59,,,,,,,,
20,42,64,132.0,156.0,211.0,212.0,241.0,,,
51,43,44,,,,,,,,
52,45,46,133.0,,,,,,,
59,47,130,131.0,140.0,,,,,,
25,48,49,50.0,51.0,,,,,,
55,52,154,157.0,,,,,,,
80,53,54,55.0,,,,,,,
24,56,57,58.0,,,,,,,
19,60,61,,,,,,,,
72,63,83,177.0,217.0,,,,,,
62,65,66,,,,,,,,
78,68,87,226.0,,,,,,,
14,69,72,73.0,74.0,,,,,,
8,71,201,202.0,203.0,204.0,206.0,207.0,,,
28,75,81,82.0,85.0,88.0,,,,,
27,76,77,78.0,79.0,80.0,93.0,,,,
63,84,184,220.0,,,,,,,
79,86,148,,,,,,,,
73,89,191,,,,,,,,
26,90,91,94.0,95.0,,,,,,
53,96,97,98.0,,,,,,,
37,99,100,101.0,,,,,,,
42,102,103,105.0,,,,,,,
43,104,108,,,,,,,,
41,106,107,,,,,,,,
81,109,113,114.0,115.0,116.0,,,,,
36,110,111,112.0,,,,,,,
38,117,118,120.0,121.0,,,,,,
66,119,122,,,,,,,,
50,123,126,,,,,,,,
49,124,125,,,,,,,,
40,127,128,129.0,,,,,,,
67,134,136,144.0,,,,,,,
65,135,137,,,,,,,,
58,138,141,,,,,,,,
56,142,143,,,,,,,,
57,145,146,147.0,,,,,,,
48,149,150,,,,,,,,
47,151,152,153.0,,,,,,,
4,155,180,193.0,194.0,195.0,210.0,,,,
10,158,161,163.0,,,,,,,
46,159,160,,,,,,,,
1,162,164,166.0,175.0,181.0,,,,,
2,165,167,168.0,171.0,172.0,213.0,214.0,215.0,225.0,229.0
11,170,173,174.0,,,,,,,
68,182,208,218.0,,,,,,,
77,183,219,,,,,,,,
76,186,222,,,,,,,,
44,187,192,223.0,,,,,,,
75,188,224,,,,,,,,
69,189,228,,,,,,,,
74,190,227,,,,,,,,
7,198,199,200.0,205.0,,,,,,
6,233,234,236.0,237.0,238.0,240.0,,,,
70,235,239,,,,,,,,
33,245,255,,,,,,,,
29,246,248,257.0,261.0,,,,,,
32,247,252,256.0,262.0,263.0,,,,,
31,249,253,258.0,264.0,,,,,,
30,250,254,259.0,265.0,,,,,,
34,251,260,,,,,,,,
60,266,269,,,,,,,,
61,267,270,,,,,,,,
