,0,1,2,3,4,5,6,7,8,9,10
57,0,1,160.0,,,,,,,,
56,2,3,244.0,,,,,,,,
59,4,29,180.0,,,,,,,,
3,5,6,13.0,161.0,184.0,210.0,221.0,241.0,,,
18,7,177,178.0,,,,,,,,
54,8,9,,,,,,,,,
6,10,216,230.0,232.0,,,,,,,
66,11,217,220.0,,,,,,,,
23,12,92,242.0,243.0,,,,,,,
8,14,15,16.0,,,,,,,,
11,17,18,19.0,20.0,21.0,,,,,,
7,22,23,24.0,25.0,26.0,27.0,28.0,,,,
10,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
12,38,39,40.0,,,,,,,,
16,41,59,64.0,132.0,155.0,211.0,212.0,,,,
9,42,43,44.0,45.0,46.0,133.0,134.0,,,,
37,47,130,131.0,150.0,,,,,,,
24,48,49,50.0,51.0,,,,,,,
43,52,67,68.0,,,,,,,,
22,53,54,55.0,56.0,57.0,58.0,144.0,,,,
49,60,61,62.0,,,,,,,,
67,63,83,218.0,,,,,,,,
15,65,66,183.0,,,,,,,,
20,69,70,71.0,72.0,73.0,74.0,,,,,
26,75,81,82.0,84.0,85.0,88.0,,,,,
25,76,77,78.0,79.0,80.0,93.0,,,,,
69,86,148,,,,,,,,,
68,87,226,,,,,,,,,
71,89,190,,,,,,,,,
51,90,91,94.0,95.0,,,,,,,
39,96,97,98.0,,,,,,,,
33,99,100,101.0,123.0,126.0,,,,,,
50,102,103,105.0,,,,,,,,
32,104,106,107.0,108.0,,,,,,,
31,109,110,113.0,114.0,115.0,116.0,,,,,
30,111,112,,,,,,,,,
34,117,118,120.0,121.0,,,,,,,
48,119,162,196.0,231.0,,,,,,,
46,122,124,125.0,,,,,,,,
35,127,128,129.0,,,,,,,,
42,135,136,137.0,,,,,,,,
36,138,141,142.0,143.0,,,,,,,
38,139,140,,,,,,,,,
40,145,146,147.0,,,,,,,,
47,149,151,,,,,,,,,
41,152,153,156.0,,,,,,,,
2,154,179,192.0,193.0,194.0,195.0,,,,,
1,157,164,166.0,167.0,170.0,171.0,172.0,173.0,213.0,225.0,229.0
55,158,159,,,,,,,,,
4,163,165,174.0,175.0,,,,,,,
58,168,169,,,,,,,,,
45,176,246,261.0,,,,,,,,
61,181,208,,,,,,,,,
62,182,219,,,,,,,,,
65,185,222,,,,,,,,,
53,186,191,223.0,,,,,,,,
64,187,224,,,,,,,,,
70,188,228,,,,,,,,,
63,189,227,,,,,,,,,
52,197,198,203.0,205.0,207.0,,,,,,
19,199,204,206.0,209.0,,,,,,,
17,200,201,202.0,,,,,,,,
5,214,215,,,,,,,,,
13,233,234,237.0,238.0,,,,,,,
14,235,236,239.0,240.0,,,,,,,
29,245,250,254.0,255.0,259.0,265.0,,,,,
27,247,251,252.0,253.0,256.0,260.0,262.0,263.0,,,
28,248,257,,,,,,,,,
44,249,258,264.0,,,,,,,,
60,266,269,,,,,,,,,
21,267,268,270.0,271.0,,,,,,,
