,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
35,0,1,,,,,,,,,,,,,,,
34,2,3,,,,,,,,,,,,,,,
8,4,5,6.0,13.0,162.0,184.0,192.0,209.0,221.0,241.0,,,,,,,
9,7,177,178.0,,,,,,,,,,,,,,
25,8,9,,,,,,,,,,,,,,,
1,10,164,166.0,167.0,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
47,11,86,220.0,,,,,,,,,,,,,,
32,12,92,242.0,243.0,,,,,,,,,,,,,
16,14,15,,,,,,,,,,,,,,,
59,16,67,133.0,135.0,136.0,,,,,,,,,,,,
57,17,96,100.0,149.0,152.0,,,,,,,,,,,,
13,18,19,20.0,21.0,,,,,,,,,,,,,
17,22,23,24.0,27.0,28.0,,,,,,,,,,,,
14,25,26,52.0,68.0,,,,,,,,,,,,,
26,29,180,,,,,,,,,,,,,,,
12,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,,
4,38,39,40.0,,,,,,,,,,,,,,
23,41,59,61.0,132.0,156.0,211.0,212.0,,,,,,,,,,
15,42,43,44.0,45.0,46.0,,,,,,,,,,,,
58,47,130,131.0,,,,,,,,,,,,,,
24,48,49,50.0,51.0,,,,,,,,,,,,,
19,53,54,55.0,56.0,57.0,58.0,144.0,,,,,,,,,,
55,60,62,,,,,,,,,,,,,,,
45,63,83,218.0,,,,,,,,,,,,,,
22,64,159,,,,,,,,,,,,,,,
21,65,66,183.0,,,,,,,,,,,,,,
5,69,71,,,,,,,,,,,,,,,
3,70,158,160.0,194.0,195.0,196.0,,,,,,,,,,,
54,72,73,74.0,,,,,,,,,,,,,,
29,75,81,82.0,84.0,85.0,88.0,,,,,,,,,,,
28,76,77,78.0,79.0,80.0,93.0,,,,,,,,,,,
46,87,148,226.0,,,,,,,,,,,,,,
49,89,190,,,,,,,,,,,,,,,
27,90,91,94.0,95.0,,,,,,,,,,,,,
18,97,98,,,,,,,,,,,,,,,
71,99,117,137.0,,,,,,,,,,,,,,
64,101,120,123.0,126.0,,,,,,,,,,,,,
68,102,103,105.0,,,,,,,,,,,,,,
66,104,106,107.0,108.0,,,,,,,,,,,,,
51,109,113,114.0,115.0,116.0,,,,,,,,,,,,
67,110,111,112.0,,,,,,,,,,,,,,
65,118,119,121.0,122.0,,,,,,,,,,,,,
63,124,125,,,,,,,,,,,,,,,
70,127,128,129.0,,,,,,,,,,,,,,
56,134,146,147.0,,,,,,,,,,,,,,
52,138,139,140.0,141.0,,,,,,,,,,,,,
53,142,143,145.0,,,,,,,,,,,,,,
69,150,151,,,,,,,,,,,,,,,
6,153,154,157.0,,,,,,,,,,,,,,
7,155,179,193.0,210.0,,,,,,,,,,,,,
2,161,163,165.0,174.0,175.0,,,,,,,,,,,,
41,168,169,217.0,,,,,,,,,,,,,,
38,176,235,239.0,244.0,,,,,,,,,,,,,
39,181,208,,,,,,,,,,,,,,,
40,182,219,,,,,,,,,,,,,,,
44,185,222,,,,,,,,,,,,,,,
33,186,191,223.0,,,,,,,,,,,,,,
43,187,224,,,,,,,,,,,,,,,
48,188,228,,,,,,,,,,,,,,,
42,189,227,,,,,,,,,,,,,,,
30,197,198,199.0,203.0,205.0,207.0,,,,,,,,,,,
31,200,201,202.0,204.0,206.0,,,,,,,,,,,,
10,233,234,237.0,238.0,,,,,,,,,,,,,
11,236,240,,,,,,,,,,,,,,,
62,245,250,254.0,259.0,265.0,,,,,,,,,,,,
61,246,248,257.0,,,,,,,,,,,,,,
60,247,252,256.0,262.0,,,,,,,,,,,,,
50,249,251,253.0,255.0,258.0,260.0,261.0,263.0,264.0,,,,,,,,
36,266,269,,,,,,,,,,,,,,,
37,267,270,,,,,,,,,,,,,,,
20,268,271,,,,,,,,,,,,,,,
