,0,1,2,3,4,5,6,7,8,9,10,11,12,13
60,0,1.0,,,,,,,,,,,,
50,2,3.0,,,,,,,,,,,,
7,4,29.0,209.0,,,,,,,,,,,
42,5,176.0,217.0,,,,,,,,,,,
69,6,13.0,161.0,184.0,196.0,210.0,221.0,,,,,,,
63,7,177.0,178.0,,,,,,,,,,,
33,8,9.0,,,,,,,,,,,,
35,10,158.0,223.0,,,,,,,,,,,
45,11,160.0,220.0,,,,,,,,,,,
54,12,92.0,242.0,243.0,244.0,,,,,,,,,
1,14,15.0,16.0,,,,,,,,,,,
5,17,18.0,19.0,20.0,21.0,,,,,,,,,
2,22,23.0,24.0,25.0,26.0,27.0,28.0,,,,,,,
4,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
6,38,39.0,,,,,,,,,,,,
26,40,52.0,67.0,68.0,99.0,100.0,,,,,,,,
20,41,59.0,,,,,,,,,,,,
3,42,43.0,44.0,45.0,46.0,132.0,133.0,,,,,,,
28,47,129.0,130.0,,,,,,,,,,,
12,48,49.0,50.0,51.0,,,,,,,,,,
13,53,54.0,55.0,56.0,57.0,58.0,96.0,97.0,98.0,143.0,,,,
19,60,61.0,62.0,241.0,,,,,,,,,,
43,63,64.0,,,,,,,,,,,,
18,65,66.0,183.0,,,,,,,,,,,
55,69,70.0,71.0,72.0,73.0,74.0,,,,,,,,
31,75,81.0,82.0,83.0,84.0,85.0,88.0,,,,,,,
30,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
46,86,,,,,,,,,,,,,
44,87,147.0,226.0,,,,,,,,,,,
48,89,190.0,,,,,,,,,,,,
32,90,91.0,94.0,95.0,,,,,,,,,,
8,101,119.0,121.0,122.0,123.0,124.0,125.0,,,,,,,
25,102,103.0,107.0,,,,,,,,,,,
51,104,105.0,106.0,,,,,,,,,,,
17,108,109.0,112.0,113.0,114.0,115.0,,,,,,,,
9,110,111.0,,,,,,,,,,,,
10,116,117.0,118.0,120.0,,,,,,,,,,
11,126,127.0,128.0,,,,,,,,,,,
21,131,155.0,211.0,212.0,,,,,,,,,,
27,134,135.0,136.0,,,,,,,,,,,
22,137,140.0,141.0,142.0,,,,,,,,,,
23,138,139.0,,,,,,,,,,,,
24,144,145.0,146.0,149.0,,,,,,,,,,
29,148,150.0,151.0,,,,,,,,,,,
53,152,153.0,156.0,,,,,,,,,,,
67,154,179.0,192.0,193.0,194.0,195.0,,,,,,,,
61,157,159.0,162.0,,,,,,,,,,,
59,163,165.0,174.0,,,,,,,,,,,
58,164,166.0,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
36,168,169.0,,,,,,,,,,,,
68,172,173.0,175.0,,,,,,,,,,,
62,180,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,
38,181,208.0,218.0,,,,,,,,,,,
37,182,219.0,,,,,,,,,,,,
41,185,222.0,,,,,,,,,,,,
34,186,191.0,,,,,,,,,,,,
40,187,224.0,,,,,,,,,,,,
47,188,228.0,,,,,,,,,,,,
39,189,227.0,,,,,,,,,,,,
64,233,234.0,237.0,238.0,,,,,,,,,,
66,235,236.0,,,,,,,,,,,,
65,239,240.0,,,,,,,,,,,,
16,245,252.0,255.0,256.0,262.0,,,,,,,,,
57,246,248.0,257.0,261.0,,,,,,,,,,
15,247,263.0,,,,,,,,,,,,
56,249,251.0,253.0,258.0,260.0,264.0,,,,,,,,
14,250,254.0,259.0,265.0,,,,,,,,,,
49,266,269.0,,,,,,,,,,,,
52,267,268.0,270.0,271.0,,,,,,,,,,
