,0,1,2,3,4,5,6,7,8,9,10,11,12
5,0,1,158.0,160.0,161.0,165.0,,,,,,,
45,2,3,,,,,,,,,,,
7,4,6,29.0,162.0,181.0,185.0,193.0,210.0,221.0,,,,
62,5,13,60.0,62.0,,,,,,,,,
14,7,178,179.0,,,,,,,,,,
53,8,9,,,,,,,,,,,
54,10,64,159.0,,,,,,,,,,
69,11,220,,,,,,,,,,,
29,12,92,242.0,243.0,,,,,,,,,
12,14,15,16.0,,,,,,,,,,
17,17,18,19.0,20.0,21.0,,,,,,,,
8,22,23,24.0,27.0,28.0,42.0,43.0,44.0,,,,,
10,25,26,52.0,,,,,,,,,,
15,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,
16,38,39,,,,,,,,,,,
24,40,61,127.0,132.0,149.0,241.0,,,,,,,
11,41,59,,,,,,,,,,,
13,45,46,47.0,133.0,134.0,,,,,,,,
22,48,49,50.0,51.0,,,,,,,,,
19,53,54,55.0,56.0,57.0,58.0,144.0,,,,,,
64,63,83,218.0,,,,,,,,,,
56,65,66,84.0,184.0,,,,,,,,,
9,67,68,,,,,,,,,,,
28,69,71,72.0,73.0,74.0,,,,,,,,
44,70,177,244.0,,,,,,,,,,
27,75,81,82.0,85.0,88.0,,,,,,,,
26,76,77,78.0,79.0,80.0,93.0,,,,,,,
71,86,148,,,,,,,,,,,
70,87,226,,,,,,,,,,,
61,89,191,,,,,,,,,,,
25,90,91,94.0,95.0,,,,,,,,,
18,96,97,98.0,,,,,,,,,,
20,99,100,101.0,,,,,,,,,,
23,102,103,105.0,,,,,,,,,,
42,104,106,107.0,108.0,,,,,,,,,
48,109,113,114.0,115.0,116.0,,,,,,,,
47,110,111,112.0,,,,,,,,,,
21,117,118,120.0,121.0,123.0,126.0,,,,,,,
41,119,122,124.0,125.0,,,,,,,,,
34,128,129,,,,,,,,,,,
35,130,131,,,,,,,,,,,
40,135,136,137.0,,,,,,,,,,
37,138,141,,,,,,,,,,,
36,139,140,,,,,,,,,,,
39,142,143,145.0,146.0,147.0,,,,,,,,
38,150,151,152.0,,,,,,,,,,
43,153,154,157.0,,,,,,,,,,
58,155,156,212.0,,,,,,,,,,
63,163,169,217.0,,,,,,,,,,
1,164,166,175.0,,,,,,,,,,
2,167,168,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
6,170,173,174.0,176.0,,,,,,,,,
4,180,194,195.0,196.0,197.0,211.0,,,,,,,
57,182,209,,,,,,,,,,,
68,183,219,,,,,,,,,,,
66,186,222,,,,,,,,,,,
52,187,192,223.0,,,,,,,,,,
67,188,224,,,,,,,,,,,
59,189,228,,,,,,,,,,,
65,190,227,,,,,,,,,,,
3,198,199,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,,
51,233,234,237.0,238.0,,,,,,,,,
60,235,236,,,,,,,,,,,
46,239,240,,,,,,,,,,,
33,245,250,259.0,265.0,,,,,,,,,
32,246,248,257.0,261.0,,,,,,,,,
49,247,252,253.0,256.0,262.0,,,,,,,,
31,249,258,264.0,,,,,,,,,,
50,251,254,255.0,260.0,263.0,,,,,,,,
55,266,269,,,,,,,,,,,
30,267,268,270.0,271.0,,,,,,,,,
