,0,1,2,3,4,5,6,7,8,9,10,11,12,13
3,0,1.0,,,,,,,,,,,,
32,2,3.0,244.0,,,,,,,,,,,
51,4,11.0,220.0,,,,,,,,,,,
46,5,83.0,217.0,,,,,,,,,,,
6,6,13.0,161.0,184.0,192.0,209.0,210.0,221.0,241.0,,,,,
26,7,177.0,178.0,,,,,,,,,,,
37,8,9.0,,,,,,,,,,,,
38,10,64.0,158.0,,,,,,,,,,,
11,12,92.0,242.0,243.0,,,,,,,,,,
16,14,15.0,16.0,,,,,,,,,,,
20,17,18.0,19.0,20.0,21.0,,,,,,,,,
17,22,23.0,24.0,27.0,28.0,42.0,43.0,44.0,,,,,,
15,25,26.0,52.0,67.0,68.0,,,,,,,,,
21,29,38.0,39.0,40.0,,,,,,,,,,
19,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
23,41,59.0,132.0,155.0,211.0,212.0,,,,,,,,
18,45,46.0,133.0,134.0,,,,,,,,,,
58,47,130.0,131.0,,,,,,,,,,,
12,48,49.0,50.0,51.0,,,,,,,,,,
14,53,54.0,55.0,144.0,,,,,,,,,,
13,56,57.0,58.0,96.0,,,,,,,,,,
25,60,61.0,62.0,,,,,,,,,,,
45,63,218.0,,,,,,,,,,,,
22,65,66.0,183.0,,,,,,,,,,,
9,69,70.0,71.0,72.0,73.0,74.0,,,,,,,,
31,75,81.0,82.0,84.0,85.0,88.0,,,,,,,,
30,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
49,86,,,,,,,,,,,,,
48,87,148.0,,,,,,,,,,,,
53,89,190.0,,,,,,,,,,,,
29,90,91.0,94.0,95.0,,,,,,,,,,
59,97,98.0,,,,,,,,,,,,
73,99,100.0,101.0,,,,,,,,,,,
71,102,103.0,105.0,,,,,,,,,,,
70,104,106.0,107.0,108.0,,,,,,,,,,
62,109,110.0,,,,,,,,,,,,
68,111,112.0,,,,,,,,,,,,
54,113,114.0,115.0,116.0,,,,,,,,,,
69,117,118.0,120.0,121.0,,,,,,,,,,
67,119,122.0,123.0,124.0,125.0,126.0,,,,,,,,
72,127,128.0,129.0,,,,,,,,,,,
61,135,136.0,137.0,,,,,,,,,,,
57,138,141.0,142.0,143.0,,,,,,,,,,
56,139,140.0,,,,,,,,,,,,
60,145,146.0,147.0,,,,,,,,,,,
63,149,150.0,151.0,,,,,,,,,,,
55,152,153.0,156.0,,,,,,,,,,,
5,154,179.0,193.0,194.0,195.0,,,,,,,,,
4,157,159.0,162.0,,,,,,,,,,,
2,160,163.0,165.0,174.0,175.0,,,,,,,,,
1,164,166.0,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
35,168,169.0,,,,,,,,,,,,
34,172,173.0,180.0,,,,,,,,,,,
47,176,226.0,,,,,,,,,,,,
33,181,196.0,208.0,,,,,,,,,,,
50,182,219.0,,,,,,,,,,,,
44,185,222.0,,,,,,,,,,,,
36,186,191.0,223.0,,,,,,,,,,,
43,187,224.0,,,,,,,,,,,,
52,188,228.0,,,,,,,,,,,,
42,189,227.0,,,,,,,,,,,,
8,197,200.0,201.0,202.0,204.0,206.0,,,,,,,,
7,198,199.0,203.0,205.0,207.0,,,,,,,,,
28,233,234.0,237.0,238.0,,,,,,,,,,
24,235,236.0,,,,,,,,,,,,
27,239,240.0,,,,,,,,,,,,
66,245,248.0,255.0,257.0,,,,,,,,,,
40,246,249.0,261.0,264.0,,,,,,,,,,
64,247,252.0,253.0,256.0,262.0,,,,,,,,,
65,250,254.0,259.0,265.0,,,,,,,,,,
41,251,258.0,260.0,263.0,,,,,,,,,,
39,266,269.0,,,,,,,,,,,,
10,267,268.0,270.0,271.0,,,,,,,,,,
