,0,1,2,3,4,5,6,7,8,9,10,11,12,13
71,0,1.0,,,,,,,,,,,,
32,2,3.0,244.0,,,,,,,,,,,
54,4,11.0,220.0,,,,,,,,,,,
55,5,10.0,176.0,217.0,,,,,,,,,,
68,6,13.0,161.0,184.0,196.0,210.0,221.0,,,,,,,
35,7,177.0,178.0,,,,,,,,,,,
12,8,9.0,,,,,,,,,,,,
30,12,92.0,242.0,243.0,,,,,,,,,,
17,14,15.0,16.0,,,,,,,,,,,
28,17,18.0,19.0,20.0,21.0,,,,,,,,,
15,22,23.0,24.0,27.0,28.0,42.0,43.0,44.0,,,,,,
14,25,26.0,52.0,68.0,,,,,,,,,,
29,29,38.0,39.0,,,,,,,,,,,
27,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
21,40,131.0,155.0,211.0,212.0,241.0,,,,,,,,
18,41,59.0,,,,,,,,,,,,
19,45,46.0,132.0,133.0,,,,,,,,,,
5,47,129.0,130.0,,,,,,,,,,,
13,48,49.0,50.0,51.0,,,,,,,,,,
11,53,54.0,55.0,143.0,,,,,,,,,,
10,56,57.0,58.0,,,,,,,,,,,
20,60,61.0,62.0,,,,,,,,,,,
57,63,64.0,,,,,,,,,,,,
16,65,66.0,183.0,,,,,,,,,,,
4,67,134.0,135.0,136.0,,,,,,,,,,
34,69,70.0,71.0,72.0,73.0,74.0,,,,,,,,
40,75,81.0,82.0,83.0,84.0,85.0,88.0,,,,,,,
39,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
59,86,,,,,,,,,,,,,
58,87,147.0,226.0,,,,,,,,,,,
61,89,190.0,,,,,,,,,,,,
47,90,91.0,94.0,95.0,,,,,,,,,,
9,96,97.0,98.0,149.0,,,,,,,,,,
22,99,100.0,101.0,,,,,,,,,,,
3,102,104.0,107.0,,,,,,,,,,,
41,103,105.0,106.0,,,,,,,,,,,
1,108,109.0,112.0,113.0,114.0,115.0,,,,,,,,
24,110,111.0,,,,,,,,,,,,
25,116,117.0,118.0,120.0,,,,,,,,,,
23,119,121.0,122.0,123.0,124.0,125.0,,,,,,,,
26,126,127.0,128.0,,,,,,,,,,,
2,137,140.0,141.0,142.0,,,,,,,,,,
7,138,139.0,,,,,,,,,,,,
8,144,145.0,146.0,,,,,,,,,,,
6,148,150.0,151.0,,,,,,,,,,,
33,152,153.0,156.0,,,,,,,,,,,
67,154,179.0,192.0,193.0,194.0,195.0,,,,,,,,
62,157,159.0,162.0,,,,,,,,,,,
65,158,204.0,206.0,,,,,,,,,,,
72,160,163.0,165.0,174.0,,,,,,,,,,
63,164,166.0,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
70,168,169.0,,,,,,,,,,,,
69,172,173.0,175.0,180.0,,,,,,,,,,
51,181,208.0,218.0,,,,,,,,,,,
50,182,219.0,,,,,,,,,,,,
56,185,222.0,,,,,,,,,,,,
49,186,191.0,223.0,,,,,,,,,,,
53,187,224.0,,,,,,,,,,,,
60,188,228.0,,,,,,,,,,,,
52,189,227.0,,,,,,,,,,,,
66,197,200.0,201.0,202.0,203.0,205.0,207.0,,,,,,,
64,198,199.0,209.0,,,,,,,,,,,
36,233,234.0,237.0,238.0,,,,,,,,,,
38,235,236.0,,,,,,,,,,,,
37,239,240.0,,,,,,,,,,,,
42,245,247.0,255.0,262.0,263.0,,,,,,,,,
44,246,248.0,257.0,261.0,,,,,,,,,,
43,249,251.0,253.0,258.0,260.0,264.0,,,,,,,,
46,250,254.0,259.0,265.0,,,,,,,,,,
45,252,256.0,,,,,,,,,,,,
48,266,269.0,,,,,,,,,,,,
31,267,268.0,270.0,271.0,,,,,,,,,,
