,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3,0,1.0,,,,,,,,,,,,,,
21,2,3.0,244.0,,,,,,,,,,,,,
63,4,29.0,66.0,209.0,,,,,,,,,,,,
9,5,161.0,180.0,,,,,,,,,,,,,
8,6,13.0,175.0,184.0,221.0,,,,,,,,,,,
47,7,177.0,178.0,,,,,,,,,,,,,
23,8,9.0,,,,,,,,,,,,,,
24,10,63.0,158.0,,,,,,,,,,,,,
26,11,65.0,,,,,,,,,,,,,,
56,12,69.0,91.0,242.0,243.0,,,,,,,,,,,
42,14,15.0,16.0,,,,,,,,,,,,,
61,17,18.0,19.0,20.0,21.0,,,,,,,,,,,
44,22,23.0,24.0,27.0,28.0,41.0,42.0,43.0,,,,,,,,
43,25,26.0,51.0,67.0,,,,,,,,,,,,
60,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,
62,38,39.0,,,,,,,,,,,,,,
53,40,58.0,,,,,,,,,,,,,,
45,44,45.0,132.0,133.0,,,,,,,,,,,,
15,46,129.0,130.0,,,,,,,,,,,,,
55,47,48.0,49.0,50.0,,,,,,,,,,,,
64,52,53.0,54.0,55.0,56.0,57.0,95.0,96.0,97.0,143.0,,,,,,
52,59,60.0,61.0,,,,,,,,,,,,,
34,62,82.0,176.0,217.0,218.0,,,,,,,,,,,
27,64,83.0,183.0,220.0,,,,,,,,,,,,
46,68,70.0,71.0,72.0,73.0,,,,,,,,,,,
41,74,80.0,81.0,84.0,87.0,,,,,,,,,,,
40,75,76.0,77.0,78.0,79.0,92.0,,,,,,,,,,
35,85,,,,,,,,,,,,,,,
33,86,147.0,226.0,,,,,,,,,,,,,
29,88,190.0,,,,,,,,,,,,,,
39,89,90.0,93.0,94.0,,,,,,,,,,,,
71,98,99.0,,,,,,,,,,,,,,
66,100,119.0,122.0,125.0,,,,,,,,,,,,
70,101,102.0,104.0,,,,,,,,,,,,,
72,103,126.0,127.0,128.0,149.0,,,,,,,,,,,
18,105,106.0,107.0,,,,,,,,,,,,,
10,108,109.0,112.0,113.0,114.0,115.0,,,,,,,,,,
69,110,111.0,,,,,,,,,,,,,,
67,116,117.0,118.0,120.0,121.0,,,,,,,,,,,
65,123,124.0,,,,,,,,,,,,,,
54,131,154.0,155.0,211.0,212.0,241.0,,,,,,,,,,
17,134,135.0,136.0,,,,,,,,,,,,,
12,137,140.0,,,,,,,,,,,,,,
68,138,139.0,,,,,,,,,,,,,,
14,141,142.0,,,,,,,,,,,,,,
13,144,145.0,146.0,,,,,,,,,,,,,
16,148,150.0,151.0,,,,,,,,,,,,,
11,152,153.0,156.0,,,,,,,,,,,,,
4,157,159.0,162.0,,,,,,,,,,,,,
2,160,163.0,165.0,174.0,,,,,,,,,,,,
1,164,166.0,167.0,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
36,168,169.0,,,,,,,,,,,,,,
7,179,192.0,193.0,194.0,195.0,196.0,210.0,,,,,,,,,
37,181,208.0,,,,,,,,,,,,,,
38,182,219.0,,,,,,,,,,,,,,
32,185,222.0,,,,,,,,,,,,,,
22,186,191.0,223.0,,,,,,,,,,,,,
31,187,224.0,,,,,,,,,,,,,,
28,188,228.0,,,,,,,,,,,,,,
30,189,227.0,,,,,,,,,,,,,,
6,197,200.0,201.0,202.0,204.0,205.0,206.0,,,,,,,,,
5,198,199.0,203.0,207.0,,,,,,,,,,,,
48,233,234.0,237.0,238.0,,,,,,,,,,,,
50,235,236.0,,,,,,,,,,,,,,
49,239,240.0,,,,,,,,,,,,,,
57,245,250.0,254.0,255.0,265.0,,,,,,,,,,,
20,246,248.0,249.0,257.0,259.0,261.0,,,,,,,,,,
58,247,252.0,256.0,262.0,263.0,,,,,,,,,,,
19,251,258.0,264.0,,,,,,,,,,,,,
59,253,260.0,,,,,,,,,,,,,,
25,266,269.0,,,,,,,,,,,,,,
51,267,268.0,270.0,271.0,,,,,,,,,,,,
