,0,1,2,3,4,5,6,7,8,9,10
7,0,1,159.0,164.0,,,,,,,
44,2,3,244.0,,,,,,,,
53,4,10,220.0,,,,,,,,
9,5,161,172.0,173.0,175.0,,,,,,
35,6,177,178.0,204.0,206.0,,,,,,
59,7,8,,,,,,,,,
47,9,63,158.0,,,,,,,,
39,11,91,242.0,243.0,,,,,,,
4,12,209,241.0,,,,,,,,
27,13,14,15.0,,,,,,,,
30,16,17,18.0,19.0,20.0,,,,,,
28,21,22,23.0,24.0,25.0,26.0,27.0,,,,
46,28,37,38.0,,,,,,,,
31,29,30,31.0,32.0,33.0,34.0,35.0,36.0,,,
23,39,131,145.0,148.0,150.0,151.0,,,,,
34,40,58,155.0,211.0,212.0,,,,,,
29,41,42,43.0,44.0,45.0,132.0,133.0,,,,
17,46,129,130.0,,,,,,,,
40,47,48,49.0,50.0,,,,,,,
20,51,67,156.0,,,,,,,,
37,52,53,54.0,55.0,56.0,57.0,95.0,96.0,97.0,143.0,
33,59,60,61.0,,,,,,,,
54,62,176,217.0,,,,,,,,
32,64,65,183.0,,,,,,,,
18,66,134,135.0,136.0,,,,,,,
63,68,69,70.0,71.0,72.0,73.0,,,,,
42,74,80,81.0,82.0,83.0,84.0,87.0,,,,
41,75,76,77.0,78.0,79.0,92.0,,,,,
56,85,86,147.0,,,,,,,,
58,88,190,,,,,,,,,
43,89,90,93.0,94.0,,,,,,,
22,98,99,,,,,,,,,
14,100,119,122.0,125.0,,,,,,,
25,101,102,104.0,,,,,,,,
12,103,105,106.0,107.0,,,,,,,
11,108,109,110.0,111.0,112.0,113.0,114.0,115.0,,,
13,116,117,118.0,120.0,121.0,,,,,,
21,123,124,,,,,,,,,
26,126,127,128.0,149.0,,,,,,,
15,137,140,,,,,,,,,
24,138,139,,,,,,,,,
16,141,142,144.0,146.0,,,,,,,
19,152,153,,,,,,,,,
5,154,162,179.0,184.0,192.0,193.0,194.0,195.0,196.0,210.0,221.0
6,157,160,163.0,165.0,174.0,,,,,,
1,166,170,171.0,213.0,225.0,229.0,,,,,
10,167,168,169.0,,,,,,,,
8,180,197,198.0,199.0,203.0,205.0,207.0,,,,
49,181,208,218.0,,,,,,,,
48,182,219,,,,,,,,,
52,185,222,,,,,,,,,
60,186,191,223.0,,,,,,,,
51,187,224,,,,,,,,,
57,188,228,,,,,,,,,
50,189,227,,,,,,,,,
36,200,201,202.0,,,,,,,,
2,214,215,216.0,230.0,231.0,232.0,,,,,
55,226,235,,,,,,,,,
3,233,234,236.0,237.0,238.0,239.0,240.0,,,,
61,245,247,252.0,255.0,256.0,262.0,,,,,
62,246,248,250.0,254.0,257.0,259.0,265.0,,,,
64,249,251,253.0,258.0,260.0,261.0,263.0,264.0,,,
45,266,269,,,,,,,,,
38,267,268,270.0,271.0,,,,,,,
