,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
50,0,1,,,,,,,,,,,,,,,,
51,2,3,244.0,,,,,,,,,,,,,,,
9,4,6,13.0,175.0,184.0,221.0,,,,,,,,,,,,
63,5,176,217.0,,,,,,,,,,,,,,,
4,7,177,178.0,,,,,,,,,,,,,,,
52,8,9,,,,,,,,,,,,,,,,
54,10,158,223.0,,,,,,,,,,,,,,,
61,11,63,155.0,,,,,,,,,,,,,,,
41,12,91,152.0,153.0,156.0,242.0,243.0,,,,,,,,,,,
38,14,15,16.0,,,,,,,,,,,,,,,
13,17,18,19.0,20.0,21.0,,,,,,,,,,,,,
39,22,23,25.0,41.0,42.0,43.0,44.0,45.0,66.0,,,,,,,,,
37,24,26,27.0,,,,,,,,,,,,,,,
12,28,37,38.0,,,,,,,,,,,,,,,
11,29,30,31.0,32.0,33.0,34.0,35.0,36.0,,,,,,,,,,
27,39,131,132.0,133.0,143.0,145.0,149.0,,,,,,,,,,,
34,40,58,,,,,,,,,,,,,,,,
25,46,129,130.0,,,,,,,,,,,,,,,
33,47,49,209.0,211.0,212.0,241.0,,,,,,,,,,,,
28,48,50,,,,,,,,,,,,,,,,
18,51,67,98.0,99.0,100.0,,,,,,,,,,,,,
24,52,53,54.0,,,,,,,,,,,,,,,
16,55,56,57.0,,,,,,,,,,,,,,,
35,59,60,61.0,,,,,,,,,,,,,,,
64,62,82,218.0,,,,,,,,,,,,,,,
32,64,65,183.0,,,,,,,,,,,,,,,
47,68,69,70.0,,,,,,,,,,,,,,,
56,71,72,73.0,,,,,,,,,,,,,,,
43,74,80,81.0,83.0,84.0,87.0,,,,,,,,,,,,
42,75,76,77.0,78.0,79.0,92.0,,,,,,,,,,,,
66,85,147,220.0,,,,,,,,,,,,,,,
65,86,226,,,,,,,,,,,,,,,,
68,88,190,,,,,,,,,,,,,,,,
49,89,90,93.0,94.0,,,,,,,,,,,,,,
29,95,96,97.0,,,,,,,,,,,,,,,
22,101,102,103.0,104.0,,,,,,,,,,,,,,
21,105,106,107.0,,,,,,,,,,,,,,,
14,108,109,112.0,113.0,114.0,115.0,,,,,,,,,,,,
19,110,111,,,,,,,,,,,,,,,,
20,116,117,118.0,120.0,,,,,,,,,,,,,,
15,119,121,122.0,123.0,124.0,125.0,,,,,,,,,,,,
17,126,127,128.0,,,,,,,,,,,,,,,
36,134,135,136.0,,,,,,,,,,,,,,,
23,137,140,141.0,142.0,,,,,,,,,,,,,,
30,138,139,,,,,,,,,,,,,,,,
31,144,146,,,,,,,,,,,,,,,,
26,148,150,151.0,,,,,,,,,,,,,,,
8,154,179,192.0,193.0,194.0,195.0,196.0,210.0,,,,,,,,,,
1,157,160,163.0,165.0,174.0,,,,,,,,,,,,,
2,159,162,164.0,166.0,167.0,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
10,161,168,169.0,180.0,,,,,,,,,,,,,,
57,181,208,,,,,,,,,,,,,,,,
58,182,219,,,,,,,,,,,,,,,,
62,185,222,,,,,,,,,,,,,,,,
53,186,191,,,,,,,,,,,,,,,,
60,187,224,,,,,,,,,,,,,,,,
67,188,228,,,,,,,,,,,,,,,,
59,189,227,,,,,,,,,,,,,,,,
3,197,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,,,,
5,233,234,237.0,238.0,,,,,,,,,,,,,,
7,235,236,,,,,,,,,,,,,,,,
6,239,240,,,,,,,,,,,,,,,,
46,245,250,254.0,259.0,265.0,,,,,,,,,,,,,
45,246,248,257.0,,,,,,,,,,,,,,,
44,247,252,255.0,256.0,262.0,263.0,,,,,,,,,,,,
48,249,251,253.0,258.0,260.0,261.0,264.0,,,,,,,,,,,
55,266,269,,,,,,,,,,,,,,,,
40,267,268,270.0,271.0,,,,,,,,,,,,,,
