,Feature,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlfb,edulvlmb,edulvlpb,eduunmp,eiscedf,eiscedm,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,emprelp,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icppdwk,icwhct,iorgact,isco08,isco08p,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,occf14b,occm14b,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3
0,cntry,0.0044536305430463,0.0055849422619721,0.0017234110397815,0.0017217888540882,0.0008220612826004,0.0001647738469509,0.0013324573835462,3.7544077771340906e-05,0.0006463444334838,0.0141614380392867,0.0024433475676022,2.199610518135788e-05,0.0004661412908981,0.0150841799963432,0.0020580438613343,0.0009400858979249,0.0002131476404869,0.0011215620115085,0.0008328926355933,0.0005359333151706,0.0056704675966972,0.0010786365662586,0.0007143778001174,0.003051940620073,0.000301244709387,0.0128806451168846,0.0040755469574201,0.0002744115336339,0.0009472460795025,0.0134910547901377,0.0154878094268944,0.0123879809384439,7.539616843456088e-06,0.0001916962274105,0.0003591789607463,0.0030787226717686,0.0001453216822845,0.0107672643951599,0.0008340281746399,0.0010087841053661,0.0007199131690694,0.0011587018270985,0.0001916035620629,0.0018080278972166,0.0002746147048195,0.0014079049176179,0.0015255379443656,0.0046841123134744,0.000763327611875,0.0034691816295671,0.0042130644427475,0.0034174603497341,0.0004305679008612,0.000103212264814,5.953865805161411e-05,0.0005771447361186,0.0065411156059348,0.002867602156983,0.0215871607545621,0.0062081298479118,0.0012055585398724,0.0036735313917312,0.0034207599542507,0.0019438920429842,0.0099372307198916,0.0004230287146425,0.000650938357939,0.0011830812980573,0.0023015731255622,0.0001509303003029,0.0012684305414499,0.0014294453930857,0.0162219003557115,0.0037305514764415
1,pspwght,0.0549041256880559,0.0058911386173786,0.0005128194513114,0.0015275929894072,0.0003881944219751,0.00019276534108,0.0004783611645312,0.00057615095471,0.0015898447111399,0.0002366847912324,0.0015879338420591,0.0003642535866203,0.0012640282775888,0.0007764002624336,0.0012313177011154,0.0010949441442264,0.0009550888826268,0.0130197280706592,0.0011730767433099,0.0004656630269013,0.0069841754226488,0.0025132436144379,0.0145173224503862,0.0011661781127155,0.0319732314742135,0.0002103364870447,8.511425868076576e-05,0.0007031843402616,0.0007979541720942,0.0009325030699569,0.0007682888530035,0.0006363710019223,0.0003153433254184,0.0003452981504316,0.0002769126059195,0.0055795668448258,0.0008377680010971,0.0082224470701569,0.0002273440044973,0.0016986284830514,0.0004507104921829,0.0038808462898102,0.0003734791194933,0.0021122963330075,0.0045275431019027,0.0003186117679071,0.0034516625172763,0.0354431561859486,0.000546575006354,0.0071407614865377,0.0036122813452855,0.0157711345827834,0.0005033299225879,0.0025177799629874,0.0116695787714396,0.0050600135838391,0.0009174004666026,0.0004716604916191,0.0056982016619227,0.0003605980938256,0.0015482518784366,0.0122756300470361,0.0041984747925601,0.0031032301391824,0.0241156572071397,0.0009440204810282,0.0063007448048241,0.0061445107998705,0.0013310583848756,4.988922545642527e-05,0.0014785923128604,0.0031817595146247,0.0019068060605944,0.0012586438077802
2,anweight,0.0029680955943196,0.0025212120012026,0.0022692394072416,0.0008362422337333,0.0002584021365204,0.0004528182635125,0.000945498088856,2.8486615773944734e-05,0.001877828284351,0.0088681783451155,0.0028900721018754,5.171604911913865e-05,0.002231577660257,0.0079670571920843,0.0015288351118598,0.0021050126799933,5.985323117085055e-05,0.0029143910663613,0.0006527518976064,0.0001569008902078,0.0008168879518519,0.0012558230035333,0.0026648337324813,0.0157391412897454,0.0008234282195063,3.928094076107887e-05,6.088325193449378e-06,0.0021184729165464,0.003052465036878,0.0098673779218582,0.0079852034046078,0.0069446146959047,7.988918419780799e-05,0.0008434400672869,0.0004006361937023,0.0012784041583095,3.5750347075540415e-05,0.0053794968754759,0.0004686034298105,0.0021439407374581,0.0005872695947093,0.0175557674880142,0.0001493234658503,0.0027451589139134,0.0009142023270315,0.0003018502090754,0.0047223661397847,0.0095732911716572,0.0004581429309716,0.0007745359705681,0.0016920286529753,0.0175863131739349,7.240942435262233e-05,0.0048200596530201,0.0018505514024129,0.0010119735060886,0.0001681612839002,7.404280227333336e-05,0.0137143613151862,0.0016892654021006,0.0003055136193859,0.0051733862290618,0.0053612857981884,0.002831138291266,0.0008158008251731,9.095675960119056e-05,0.0018675730196433,0.0002257180360811,0.0016558438723975,0.0001293001212789,3.049704793429637e-05,0.004870023708443,0.0011282134866354,0.0001824514130953
3,nwspol,0.0027924592960014,0.0035752886950829,0.0039186083691775,0.0004757705028967,0.0007885979051552,0.0030709024661319,0.0049379007689332,3.243736388618602e-05,0.0020416333456902,0.0056345702647536,0.0009234945713835,1.0426991174144111e-06,0.0015341734738496,0.0060948963722307,0.0071042916138647,0.0016999473777876,0.0006890240240346,0.0031434070513633,0.0031417237470542,0.0001163967171295,0.0076404871220161,0.0005977649909265,0.0017037649496963,,0.0012429870998066,0.0003980668361499,0.0002020393931549,0.0002651860579008,0.0077643990908049,0.0060403696811384,0.0061441887275399,0.005817359311233,0.0001518468168049,0.000866247465125,0.0043658416882699,0.0098910705773536,5.322495717710872e-05,0.0086474235392993,0.0019539812361607,0.0020388451214423,0.000391633681133,0.0069211667904062,6.624574444503372e-05,0.0011188903681508,0.0030104974158151,0.0281632885810129,0.0066313867257974,0.0088547973302001,0.0011035654053703,0.0036090908310794,0.0078412749281631,0.006570410161358,0.0007900488900691,0.0020765188117761,0.0007603321645757,0.00094482820612,1.2011778485791409e-05,0.0002250474618037,0.0187652572694866,0.0018805591201616,0.000629194679069,0.00505129411576,,0.0021561692955049,8.836527928398865e-05,0.0004671993129583,0.0021942894251833,0.0010148499410259,0.0061637116021185,0.0001347992016219,0.0002782256885674,0.0033449784625303,0.0018484105699654,0.0012042916024071
4,netusoft,0.008327944433693,,,0.0007979047010398,7.004450893917013e-05,0.0564533350102112,0.0948906383123913,1.479502505212999e-05,0.00067006578482,,0.003030927403485,2.8687953632962465e-05,0.0008056086921754,,0.005744822677072,3.882029906325244e-05,0.0009623415743803,0.001408304180624,0.0009270894255977,,0.0758043664451781,,0.0020071697700172,0.002568909196073,0.0014370771204386,,0.0375946871621105,0.0047805713770412,,,,,,0.0041452390488451,,0.0838232828318545,,0.0048682601749547,0.0020371676874703,0.0013636045015296,0.0017765746769712,0.0009278452242787,0.0138169494126186,0.0076281777762175,,0.0075689079239552,0.0019011957273474,0.0691185964524726,0.0008901592564595,0.1050839650687895,0.0771144619809231,0.0200242894021084,0.0004094633681237,0.0056776846903099,0.0043319156395018,0.0023450017099879,,0.0334629687183245,,0.0056523328513265,,,0.0031045793573973,0.0149500430739023,0.0001200594009324,,,,0.0819225871257122,,,0.0047887229739503,0.0047871745006532,0.0071025720272993
5,netustm,0.0025634297049214,0.0011894461516081,0.0019007253503556,0.0008279681997036,0.0004100096168776,0.0024649251854642,0.0082233156574943,0.0001727811457759,0.0015210472011922,0.0015341694754822,0.0020342711811255,0.0001090104482559,0.0011470376565337,0.0014542029944226,0.0014630866006296,0.0010876324727229,0.0008477151111697,0.002379398953305,0.0016577125524113,0.0013685308565413,0.0017503079056691,0.0011160384398335,0.001352490682057,0.002184393561968,0.0002172327302752,0.0001615474640785,0.0001163998134738,0.0004549373317745,0.0025149341781932,0.0010388916804371,0.0011491605144639,0.0012579117592207,0.0009474715875154,0.0016589700116725,0.000335464507048,0.0005270456955735,0.0004240527220202,0.0054607383547877,0.0010377946914342,0.000614223262608,0.0010347859123942,0.0036666832952057,0.0001366639802648,0.0005191367151921,0.0005684093849684,,0.0034008219120898,0.0088564490286529,0.0005085091954188,0.0011496299878909,0.0037850685945783,0.0003937084298832,0.0001095584126818,0.0037542973627165,6.32544612136738e-06,6.486207455033566e-05,4.060849964598162e-05,0.0002565833902128,0.0007231148706926,0.0031195250657441,0.0008199480441006,0.003384830229801,0.0029396857129135,0.0011595836428511,0.0002594501138861,0.0003369278979688,0.002841188259533,0.0023094078530491,0.0067095185653655,0.0002244535857435,0.0002844427362017,0.0020301309005083,0.0008663611845162,0.0006193091772451
6,ppltrst,0.0022988922429987,0.0003806790338346,0.0011990554358153,0.0002433681378804,0.0002381705533454,0.0003434576826376,2.493150344122188e-05,5.323335092758903e-06,0.0005225227610975,0.0020393779800412,0.0014649087521313,1.0198145884085914e-05,0.0007726935963868,0.0018738645554454,0.0023162280757724,0.0010895280224842,0.0007217030135305,0.0017047060718008,0.0007238561393818,0.00048253034841,0.0023408065041398,0.0014950604630672,0.0012870610912559,0.0045530170048897,0.0007785403041582,0.0001773837146822,0.0001748831591819,0.000720463014004,0.0042090886110242,0.0017380831692969,0.0013294057790666,0.0015197252226322,0.0002085373463826,0.0001927037352133,0.000362247115218,0.0009791481046441,0.0002682575981647,0.0011643258810138,0.0006134526891999,0.0004514667559505,0.0003923722944333,0.0049696019133211,0.0001237814810054,0.0002392386266154,0.000394546362556,0.0010432754118011,0.0043376997130617,0.0013318452861669,0.0004393481643241,0.0034956772148873,0.0019706470203495,0.0045513781782233,8.686233950679974e-05,0.0031963212541873,0.0001072779407863,0.000287310013564,6.379059672608659e-05,9.392020197222673e-05,0.003548339499299,0.0017794261753249,0.0001207711791388,0.0031958443722001,0.0020573964551538,0.0013223480651236,3.757334935474876e-05,0.0003217600958982,0.0011005614379949,0.0056515238241691,0.0052168204107179,6.095978333089571e-06,0.0005536275956565,0.0021894532802354,0.0014782503928973,0.0007251056953627
7,pplhlp,0.0012008159776666,0.0001805749639432,0.0006745002526337,0.0003647570365085,2.0899128852834087e-05,0.0010054845318687,,1.4650495247283156e-07,0.0001522479271792,0.000205372657347,0.00021908769807,4.964284340899111e-06,0.0003156754308618,0.000610633613155,0.0004776303217279,0.0004883716288825,0.0001626646229418,,0.0006739143869062,0.0002664260934512,0.0040932385760961,0.0004386816288594,0.0002283209944569,0.0021929203970842,6.253753430996959e-05,7.968727391357485e-06,9.755189918645936e-05,0.0001498560231271,7.8677012405205e-05,0.0001562194142287,0.0001411106835841,0.0005550440365565,0.000510809567097,0.0001364185680527,0.0004024418535393,0.0016854755079459,9.830650836714231e-06,0.0014081159329112,0.0004045554708477,0.0002003457781251,0.0002290933104702,0.003925863986102,0.000124006741068,1.9787628276218308e-05,0.0004248096931429,0.000536359360087,0.0015751108808092,0.000902571683186,0.0006964747382786,0.0010028448394986,0.0010025231417599,0.0024448359686909,0.0002234358361447,,9.959691791454337e-05,0.000186720179671,0.0001266854270767,4.123564750174663e-05,0.0006333090974022,0.0004230787453594,6.839854694240812e-05,0.0028890617118826,0.0005035874370168,0.0003030163902351,3.775886900342094e-06,0.0002608362553058,0.0022990950694416,0.00233160745595,0.0028156502258349,9.87865930235602e-05,0.0001821138643459,0.0005495106436964,0.0001440519301673,0.0003217975859303
8,psppsgva,0.0097962275387589,0.0270589206824817,0.0359180647771536,0.0105265173247902,0.005857919602605,0.0012880558887615,0.0159525967921305,0.0029809756771631,0.0076733427928641,0.0022443004271412,0.0185268839350109,0.003470386041519,0.0085720810645914,0.0030857889969568,0.003037227827891,0.0175837712797372,0.0048187817799686,0.0025802503199287,0.0106703155225923,0.0053887221212511,0.0069860985990342,0.0103109134961537,0.6584383490275243,0.008694772673307,0.7096328199442948,0.0017805224641631,0.0054151497681794,0.0032626759613142,0.0965863504546215,0.0030361070469385,0.0025155150698697,0.002409411972095,0.0035523926217417,0.0029681917154295,0.0043457662786711,0.0093920023153826,0.0038256927277669,0.0507896737656091,0.0104394673030691,0.0577454080531339,0.0050720881906617,0.0715097623649128,0.0039777504148747,0.0066293722862536,0.0104401587625603,0.0077619550438364,0.044936703394976,0.121592617594196,0.0087871111203458,0.0300268915336191,0.0314516467904213,0.0105888313044392,0.0218830175927401,0.0130627763845572,0.0247228454817626,0.0121589227726958,0.0002550623168518,0.0061728201962737,7.369281224837442e-05,0.0118020700167207,0.0059969823233528,0.0650721234979133,0.0102287353332665,0.0267639697366295,0.3174016504550062,0.0005827249760947,0.0014835915593097,0.0010204009844285,0.0117039439971193,0.0012434045087453,0.0001208235504955,0.0058658380441276,8.562350068842138e-05,0.0013636274695224
9,psppipla,0.0003485870981917,0.0017968534189463,4.088462790663548e-05,0.0003122971207616,0.0001676615965905,0.0011364651047543,0.0025524723885286,8.371051225765466e-06,0.0001239774501955,0.000212837610073,0.0003091259938165,9.569703107766178e-06,0.0001303078593689,0.0004327481513832,0.0005969182101304,0.0004441994329206,9.698449061070422e-05,0.0009162042749462,1.9009095740686287e-05,1.347927921476908e-05,0.0038200700372541,0.0005763250669281,0.0006879882130558,0.0003654942541833,0.0001684869579682,3.810099286068533e-05,6.580618514140882e-05,0.0004821876741942,0.0019248652248504,0.0001558533836561,7.837731151983628e-05,5.543822385889749e-05,9.84541982813719e-06,0.0001204392550461,0.0005423190307669,0.0051543997209851,4.115795237904536e-05,0.0064539231287172,9.241003122416956e-05,0.0005853255661034,0.0001498224273249,0.0016999321000157,6.442295329126952e-05,0.000576233507068,0.0003924057949113,0.000379030691016,0.0001856626607141,0.0032963774576842,0.00023958625301,2.756961889942966e-05,0.002033892194016,0.0026185930696518,0.0002114354102147,0.0010672248690649,6.853742240043342e-05,0.0001481440287306,1.7632588758944612e-05,0.0002410142622534,0.0006074017063916,0.0002138483996955,0.0001259347954986,0.0006221650038632,0.0006650408034282,0.0004769929161346,0.0004943030559405,8.989936196835404e-05,,,,1.2150035288596297e-05,8.017086817541339e-06,0.0002225146706309,0.0001390733731477,0.0002138963776681
