,0,1
cntry,0.001304152678153504,0.0013041526781534963
pspwght,0.001712146199018876,0.0017121461990188796
anweight,0.000990689922508819,0.0009906899225088218
nwspol,0.00016933153116788913,0.00016933153116788617
netusoft,2.601426605220694e-05,2.601426605220625e-05
netustm,0.0009909547216861664,0.0009909547216861664
ppltrst,0.0007416393000968515,0.0007416393000968552
pplhlp,0.0003322920430654855,0.0003322920430654836
psppsgva,0.0007722663457165199,0.0007722663457165158
psppipla,3.3059797859888776e-05,3.305979785988923e-05
trstplc,5.370854401618209e-05,5.370854401618098e-05
trstprl,5.602888716905078e-05,5.6028887169050015e-05
wrkprty,2.3581509053109707e-05,2.358150905310974e-05
pbldmn,2.8585934570476866e-05,2.858593457047532e-05
bctprd,1.867428230094797e-05,1.8674282300948996e-05
stfhlth,2.9128773871847263e-05,2.912877387184689e-05
gincdif,6.092072041937927e-05,6.092072041937936e-05
imsmetn,3.696666162556674e-05,3.6966661625567563e-05
imdfetn,1.131555975402851e-05,1.1315559754028801e-05
happy,1.1255654829625977e-05,1.1255654829626609e-05
hlthhmp,5.351412160407486e-05,5.351412160407443e-05
rlgblg,7.818147319553323e-06,7.818147319552872e-06
rlgblge,4.9822007962170065e-05,4.982200796217041e-05
dscrgrp,4.0172040773460625e-05,4.0172040773461926e-05
dscrage,9.646121195081184e-06,9.64612119508088e-06
dscrgnd,1.009702218693925e-05,1.0097022186939337e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.48871273676556e-06,7.488712736767586e-06
elgnuc,0.00022852054724008806,0.00022852054724008917
elgbio,0.00042210890681321895,0.00042210890681322003
wrenexp,0.000581664393336722,0.0005816643933367207
wrtcfl,7.558035310419428e-06,7.55803531041914e-06
clmchng,0.00016898256386550813,0.00016898256386550792
lklmten,0.04105211687867732,0.04105211687867734
banhhap,0.022981955889659848,0.022981955889659844
slvpens,0.0002636393922593522,0.000263639392259352
sbprvpv,1.0473308144629121e-05,1.0473308144627595e-05
imsclbn,4.195509061077904e-05,4.1955090610780334e-05
uentrjb,1.3964355170051624e-05,1.3964355170050805e-05
wrkprbf,3.101305212832415e-05,3.101305212832408e-05
lkuemp,5.992540734935752e-06,5.9925407349352425e-06
gndr,2.5624091536904844e-05,2.5624091536905433e-05
gndr3,2.7288631400402882e-05,2.728863140040127e-05
yrbrn2,1.113927126200951e-05,1.1139271262009773e-05
icpart1,2.4359381305970836e-05,2.4359381305971e-05
dvrcdeva,2.0341440651617782e-05,2.0341440651618066e-05
maritalb,2.8399707409944727e-05,2.839970740994471e-05
uempla,1.2434503748473024e-05,1.2434503748473926e-05
cmsrv,1.2213089777992522e-05,1.2213089777993828e-05
dngdk,0.0,0.0
dngna,1.4004513750782593e-05,1.40045137507828e-05
icomdng,9.384235191410433e-06,9.38423519141088e-06
mnactic,1.298020899516806e-05,1.2980208995168324e-05
icpdwrk,0.0,0.0
wkdcorga,3.477592842062571e-05,3.477592842062372e-05
rtrdp,0.0,0.0
edulvlfb,2.982366062178859e-05,2.9823660621789422e-05
occf14b,2.5215686649462256e-05,2.5215686649462836e-05
occm14b,3.759963443487033e-05,3.7599634434870074e-05
imprich,1.3044303611009681e-05,1.3044303611010645e-05
ipeqopt,2.7917072538335612e-05,2.791707253833475e-05
ipshabt,1.9921306771072545e-05,1.9921306771073528e-05
impsafe,2.0995133285111638e-05,2.0995133285112007e-05
inwmms,2.2438639961636433e-05,2.243863996163424e-05
inwyys,3.4846374268496354e-05,3.484637426849497e-05
inwdde,3.8287944784345825e-05,3.8287944784342626e-05
