,0,1
cntry,2.6143865258422134e-06,2.614386525842047e-06
pspwght,8.075162746408633e-05,8.075162746408259e-05
anweight,3.2061500875108647e-07,3.206150087512877e-07
nwspol,7.889338320570073e-06,7.889338320570108e-06
netusoft,4.7555589952913423e-07,4.7555589952885667e-07
netustm,8.820502529024121e-05,8.820502529023754e-05
ppltrst,6.961874797852756e-06,6.961874797852319e-06
pplhlp,1.9769735120949726e-05,1.9769735120949045e-05
polintr,1.0117562164517514e-05,1.0117562164517882e-05
psppsgva,1.0261673668849891e-06,1.0261673668851e-06
psppipla,7.473763146038787e-07,7.473763146039619e-07
trstplc,1.256708654774355e-06,1.2567086547739804e-06
trstprl,2.2525877162069553e-06,2.2525877162064623e-06
bctprd,7.21186908553717e-07,7.211869085535783e-07
stfdem,7.549114388941681e-07,7.54911438894057e-07
stfhlth,1.7776099768194441e-06,1.7776099768194026e-06
gincdif,1.7202936304138023e-06,1.7202936304133026e-06
mnrgtjb,1.324841944443912e-06,1.324841944443475e-06
imsmetn,2.334405225083769e-06,2.334405225083741e-06
imdfetn,5.99891562369656e-07,5.998915623696976e-07
imwbcnt,3.5422661528805716e-06,3.542266152880391e-06
happy,1.7981697395239303e-06,1.7981697395236667e-06
hlthhmp,7.982200075976609e-07,7.982200075975776e-07
rlgblg,1.8864609278831935e-07,1.8864609278863852e-07
rlgblge,2.315070443295264e-06,2.315070443294903e-06
dscrgrp,1.3926172928005186e-06,1.3926172928005743e-06
dscrage,6.786704078900612e-07,6.786704078902694e-07
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.4033206230465444e-06,1.4033206230463225e-06
elgbio,4.347051600144813e-06,4.347051600144966e-06
wrenexp,2.910575367749371e-06,2.910575367749385e-06
wrtcfl,1.2265315360874967e-06,1.2265315360873997e-06
clmthgt2,2.0517283145733145e-06,2.0517283145744037e-06
lkredcc,3.4634864231450903e-06,3.463486423145444e-06
ownrdcc,2.24127805875092e-06,2.2412780587509894e-06
gvcldcr,1.97852135400408e-06,1.9785213540044685e-06
sbbsntx,2.743163563448253e-07,2.7431635634452e-07
uentrjb,2.545414975362842e-06,2.5454149753633136e-06
admub,2.5986282485229024e-07,2.5986282485227637e-07
lknemny,3.1841231789294515e-06,3.1841231789292156e-06
gndr,1.0354921342101143e-06,1.0354921342100588e-06
yrbrn2,5.461445701723661e-07,5.461445701721024e-07
dvrcdeva,1.402313681362427e-06,1.4023136813631348e-06
maritalb,0.0,0.0
dsbld,3.159799858220014e-07,3.1597998582189036e-07
rtrd,0.0,0.0
cmsrv,0.0,0.0
hswrk,1.1381296688354748e-06,1.1381296688356967e-06
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
emprf14,0.12572224168561125,0.12572224168561116
edulvlmb,0.0014868042395494432,0.001486804239549428
occm14b,9.532054083919833e-05,9.532054083919731e-05
imprich,1.4512759151538434e-06,1.4512759151528303e-06
ipeqopt,2.264258735066922e-06,2.264258735066589e-06
impsafe,2.272541633567132e-06,2.2725416335665494e-06
ipudrst,3.2074119032005076e-06,3.2074119032002577e-06
inwmms,5.225016843793395e-07,5.225016843793395e-07
inwyys,1.1463914514473483e-06,1.1463914514472374e-06
inwdde,1.2120922196201533e-07,1.2120922196245942e-07
