,0,1
cntry,2.7567999731531296e-05,2.7567999731531448e-05
pspwght,0.0012098543927333498,0.0012098543927333513
anweight,0.0003599260419463231,0.0003599260419463205
nwspol,0.0005013758955899305,0.0005013758955899302
netusoft,0.0006525060582596974,0.0006525060582596982
netustm,0.0010671255067115424,0.0010671255067115474
ppltrst,0.0006205858102867443,0.0006205858102867433
pplhlp,0.0009646915436663276,0.0009646915436663296
psppsgva,0.0006905237059239463,0.0006905237059239457
psppipla,1.4288921796240014e-05,1.428892179624043e-05
trstplc,4.305653555742866e-05,4.30565355574276e-05
trstprl,0.0001736004034367026,0.00017360040343670293
pbldmn,3.057051223725738e-05,3.057051223725815e-05
bctprd,4.1833711983326196e-05,4.1833711983326236e-05
stfhlth,0.0001777557942233603,0.0001777557942233643
gincdif,3.490917626552481e-05,3.4909176265526074e-05
hmsacld,0.00011379570661088537,0.00011379570661088595
imsmetn,8.103465816406152e-05,8.103465816406536e-05
imdfetn,7.393136194581155e-05,7.393136194581012e-05
happy,0.00013874222549308302,0.00013874222549308083
sclmeet,0.00026732373567859956,0.0002673237356785922
hlthhmp,6.249697810696005e-06,6.249697810697816e-06
atchctr,3.0304836777782224e-05,3.0304836777784457e-05
rlgblg,1.1538598115302612e-05,1.1538598115302442e-05
rlgblge,3.522096767760158e-05,3.522096767760327e-05
dscrgrp,4.179324346544769e-05,4.1793243465446816e-05
dscrrlg,2.4611876811875254e-05,2.4611876811874732e-05
dscrage,1.7005066230915376e-05,1.7005066230916236e-05
dscrgnd,3.221787047070046e-05,3.2217870470702294e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.9135356578521364e-05,1.9135356578521066e-05
elgbio,0.000870415265390887,0.0008704152653908889
wrpwrct,0.020162738110221144,0.020162738110221134
wrdpfos,0.03584977776433061,0.03584977776433062
wrtcfl,2.7716332189847336e-05,2.771633218984823e-05
clmchng,0.0008271094562550133,0.0008271094562550157
lkredcc,0.0007083258426116074,0.0007083258426116142
slvpens,0.0009059902549704078,0.0009059902549704109
sbbsntx,4.381992688570645e-05,4.381992688570681e-05
imsclbn,0.0005129172845948456,0.0005129172845948406
uentrjb,0.00012392780236448312,0.0001239278023644814
wrkprbf,3.190640869241857e-05,3.1906408692416995e-05
lkuemp,9.374427334480201e-05,9.374427334480148e-05
gndr,0.00031800343406082133,0.00031800343406082133
gndr3,4.762917861416566e-05,4.76291786141625e-05
yrbrn2,1.2773777563615938e-05,1.2773777563615591e-05
rshipa3,3.1383361308027124e-05,3.1383361308024976e-05
dvrcdeva,1.9215288124120785e-05,1.9215288124120294e-05
maritalb,3.346947789606323e-05,3.346947789606242e-05
eisced,2.3394453830637163e-05,2.339445383063467e-05
cmsrv,2.2913139047993963e-05,2.2913139047996603e-05
hswrk,1.638610103889522e-05,1.6386101038897347e-05
dngdk,0.0,0.0
dngna,2.7638012029818614e-05,2.763801202982007e-05
icomdng,4.650706114351667e-05,4.650706114351537e-05
mnactic,1.582594018475992e-05,1.5825940184759725e-05
icpdwrk,0.0,0.0
wkdcorga,1.3934607003811495e-05,1.3934607003811971e-05
iorgact,3.288852993604928e-05,3.2888529936051625e-05
edulvlfb,2.422747211081509e-05,2.4227472110815513e-05
occf14b,1.7059300625512647e-05,1.7059300625514063e-05
occm14b,3.194972419190608e-05,3.1949724191905454e-05
imprich,0.00025733852219007137,0.00025733852219007197
ipeqopt,0.0001261018045700003,0.00012610180456999525
impdiff,0.00017487473812982012,0.00017487473812981564
ipfrule,0.00015728374291100366,0.000157283742910997
inwmms,2.224157816394566e-05,2.2241578163945782e-05
inwyys,1.7473765249234088e-05,1.747376524923285e-05
