,0,1
cntry,0.0010196541997337788,0.0010196542370075696
pspwght,0.0012706927284418434,0.001270693086577278
anweight,0.00023366959891409905,0.0002336695989140959
nwspol,0.0006229253774702019,0.0006229264383132713
netusoft,0.0010642667872433006,0.0010642670932790746
netustm,0.004911136523259579,0.004911137023735562
ppltrst,0.00010338876581880732,0.0001033887658188063
pplhlp,0.00029888289346120453,0.0002988830357876556
polintr,0.0005646186690336937,0.0005646197300518729
psppsgva,0.0014235111024987694,0.0014235114760924787
psppipla,4.602879323129206e-05,4.6028793231292954e-05
trstplc,4.661485839385518e-05,4.661485839385292e-05
trstprl,0.00011063959644827148,0.0001106403673596991
bctprd,5.427995013842034e-05,5.427995013841972e-05
stfdem,3.730303047869105e-05,3.730303047869297e-05
stfhlth,0.0001082019736025423,0.0001082019736025401
gincdif,4.8258862551077666e-05,4.8258862551077375e-05
mnrgtjb,5.5783004592170276e-05,5.579686643102735e-05
imsmetn,4.1619269728138285e-05,4.161923328507212e-05
imdfetn,8.319360739648879e-05,8.319360739649042e-05
happy,7.740413173064859e-05,7.740587079533549e-05
hlthhmp,6.727814858232512e-05,6.727814858232551e-05
rlgblg,4.5172192480668964e-05,4.517219248066824e-05
rlgblge,8.470292528975203e-05,8.470366363007404e-05
dscrgrp,5.014215408170672e-05,5.014215408170607e-05
dscrage,5.9440725068702324e-05,5.944072506870149e-05
dscrgnd,5.949040840212629e-05,5.949152600992586e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.438564034261285e-05,2.4385640342611138e-05
elgbio,0.0009808205502979208,0.0009808210962712137
wrpwrct,0.028166564897207556,0.028166566096711226
wrdpimp,0.038926391760793905,0.03892639244503312
wrtcfl,5.3642966240933035e-05,5.364296624093234e-05
clmchng,0.0015001069230732701,0.001500107598477709
lkredcc,0.00048003442323240204,0.00048003476624549805
slvpens,0.0012367753489992753,0.0012367756854687443
sbstrec,0.000360311159606335,0.0003603118363987305
sbbsntx,4.465339476561321e-05,4.465339476561314e-05
imsclbn,0.0006147703232668227,0.0006147709490924936
uentrjb,0.0002838325831405273,0.00028383247900648143
wrkprbf,2.1705807803171715e-05,2.1705807803172972e-05
lkuemp,6.823241109949824e-05,6.823241109949671e-05
gndr,0.0003139227809239398,0.00031392278092393766
gndr3,3.557221467918577e-05,3.557221467918643e-05
yrbrn2,3.888472376606971e-05,3.888472376606973e-05
lvgptnea,5.86061099534078e-05,5.8606109953405905e-05
dvrcdeva,6.262450621609172e-05,6.262450621609395e-05
maritalb,5.6909042127420476e-05,5.69090421274188e-05
eisced,7.236736095592741e-05,7.236736095592828e-05
rtrd,5.136141000147001e-05,5.136141000146765e-05
cmsrv,2.6812152730153943e-05,2.6812923900252625e-05
hswrk,7.068360745222299e-05,7.068360745222184e-05
dngdk,0.0,0.0
dngna,6.651768868256374e-05,6.651768868256214e-05
icomdng,6.788384100086643e-05,6.788384100086555e-05
mnactic,2.0096198799084056e-05,2.009619879908187e-05
icpdwrk,0.0,0.0
edulvlfb,4.8920458217935294e-05,4.8920458217934915e-05
occf14b,6.163086242511752e-05,6.163086242511791e-05
occm14b,7.28177204939043e-05,7.281772049390356e-05
imprich,3.4979405250615005e-05,3.497940525061677e-05
ipeqopt,2.317624284081767e-05,2.3177374799968227e-05
ipshabt,3.54369188453924e-05,3.543691884538811e-05
impdiff,4.4684482330851584e-05,4.46844823308487e-05
ipfrule,6.709690857548404e-05,6.709690857548199e-05
inwmms,3.8508046564248515e-05,3.850831646138156e-05
inwyys,3.585034101830183e-05,3.585034101830221e-05
