,0,1
cntry,0.02016431947883577,0.020164319478835773
pspwght,0.0047531197346817634,0.0047531197346817695
anweight,0.018761438704046604,0.01876143870404658
nwspol,0.012452835379191552,0.012452835379191549
netustm,0.015955309925912344,0.015955309925912355
ppltrst,0.011060915199154815,0.011060915199154817
pplhlp,0.007873343084503041,0.007873343084503033
polintr,0.005947703243003916,0.005947703243003916
psppsgva,0.0009486967121690017,0.0009486967121690025
actrolga,0.004700596641596808,0.00470059664159681
psppipla,0.0009818745565264774,0.0009818745565264694
trstplc,0.002581250116882484,0.0025812501168824917
trstplt,0.0019557368971553787,0.0019557368971553747
trstprl,0.0007970508406408168,0.0007970508406408155
wrkprty,0.0017054268210967723,0.0017054268210967634
pbldmn,0.03325775675685775,0.0332577567568578
bctprd,0.000798650796172559,0.0007986507961725565
stfdem,0.0010754356673364249,0.0010754356673364246
gincdif,0.014195220157693289,0.014195220157693299
imsmetn,0.0012447509291289168,0.001244750929128918
imdfetn,0.0014452525332567666,0.001445252533256767
imueclt,0.0027775151294695934,0.002777515129469597
happy,0.0016624326285581527,0.0016624326285581512
sclmeet,0.0011209750503922353,0.0011209750503922322
sclact,0.0011332625916031503,0.0011332625916031479
hlthhmp,0.023811590974401935,0.023811590974401955
rlgblg,0.0008677443586577352,0.0008677443586577241
rlgblge,0.0011653245954565588,0.001165324595456561
pray,0.001745845290448837,0.0017458452904488373
dscrgrp,0.0015940508261868245,0.0015940508261868217
dscrage,0.0012803709942871687,0.0012803709942871722
dscrgnd,0.0007975279864366927,0.000797527986436699
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0008813190113818593,0.0008813190113818529
elgnuc,0.011449057147790645,0.011449057147790643
elgwind,0.0018376367736534771,0.0018376367736534823
elgbio,0.004793903469169978,0.004793903469169981
wrpwrct,0.0008744825619202434,0.0008744825619202436
wrtcfl,0.001200361056340035,0.00120036105634003
ccnthum,0.0009500154444974112,0.0009500154444974098
lkredcc,0.0015226262178805105,0.0015226262178805084
slvpens,0.0009105237336502349,0.0009105237336502304
sblazy,0.0012179489122065938,0.0012179489122065923
lkuemp,0.0011354587570706585,0.0011354587570706562
gndr3,0.002225953211558962,0.0022259532115589606
yrbrn2,0.15459661858013102,0.15459661858013105
rshipa3,0.020045152708258743,0.020045152708258743
maritalb,0.04270792688253664,0.04270792688253665
dsbld,0.028447469732480204,0.028447469732480194
cmsrv,0.001868722457294379,0.00186872245729438
hswrk,0.0007850638752924032,0.0007850638752924004
dngdk,0.0,0.0
dngna,0.0017183291032528774,0.0017183291032528759
icomdng,0.0008423489560360669,0.0008423489560360683
mnactic,0.0008352745311530134,0.000835274531153012
icpdwrk,0.0,0.0
wkdcorga,0.01752232007819877,0.01752232007819878
iorgact,0.016653248372800817,0.016653248372800834
uemplap,0.22115803534691153,0.2211580353469115
edulvlfb,0.005569990311097656,0.005569990311097664
occf14b,0.0009534773005593606,0.0009534773005593561
occm14b,0.006591433746366929,0.006591433746366927
imprich,0.0013246021420352254,0.001324602142035228
ipeqopt,0.0011312970562124345,0.001131297056212428
impdiff,0.0010016357134964562,0.0010016357134964606
inwmms,0.0010273181939973483,0.0010273181939973548
inwyys,0.001225048436590489,0.00122504843659047
