,0,1
cntry,3.5593955081486543e-05,3.5593955081486286e-05
pspwght,0.00020058617099739332,0.0002005861709973886
anweight,7.948837669876195e-05,7.948837669875924e-05
nwspol,0.00014161406922610562,0.00014161406922610494
netusoft,0.0018065612438477082,0.0018065612438477009
netustm,0.00023198790687339622,0.00023198790687339448
ppltrst,0.0001629424507008166,0.00016294245070081742
pplhlp,0.00026096282853518263,0.0002609628285351838
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstlgl,0.0,0.0
trstplc,3.870557337896756e-08,3.870557337904779e-08
trstep,1.3452634627189054e-07,1.3452634627195516e-07
trstprl,1.165084014898704e-07,1.1650840148975939e-07
contplt,0.0,0.0
wrkprty,0.0,0.0
pbldmn,1.4994075177413025e-07,1.4994075177431064e-07
bctprd,0.0,0.0
stfdem,0.0,0.0
gincdif,0.0,0.0
imsmetn,0.0,0.0
imdfetn,0.0,0.0
happy,4.0410150157216124e-07,4.0410150157214907e-07
sclmeet,3.1536218005484825e-07,3.153621800549202e-07
hlthhmp,0.0,0.0
rlgblge,6.78047092001398e-07,6.780470920016465e-07
rlgatnd,2.1228194892955377e-07,2.1228194892966415e-07
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.3247225839480756e-06,1.3247225839481541e-06
elgcoal,0.0,0.0
elgwind,0.0,0.0
elgbio,4.3075634047100817e-07,4.3075634047102707e-07
wrdpfos,0.0,0.0
wrtcfl,7.994903657882087e-08,7.994903657873804e-08
wrtratc,0.0,0.0
lkredcc,1.7712151212079253e-07,1.7712151212094518e-07
inctxff,0.0,0.0
gvslvue,0.0,0.0
sbeqsoc,0.0,0.0
imsclbn,1.3451201161747417e-07,1.3451201161729376e-07
uentrjb,0.0,0.0
basinc,0.0,0.0
lkuemp,0.0,0.0
gndr,0.0,0.0
gndr3,2.8210893613767486e-07,2.8210893613776724e-07
yrbrn2,8.91423742169626e-05,8.914237421696087e-05
rshipa3,0.0,0.0
maritalb,0.16242945030105005,0.16242945030105008
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,7.451777088585132e-08,7.451777088586519e-08
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,9.780943541260606e-07,9.780943541266573e-07
edulvlfb,1.275518714374535e-06,1.2755187143733414e-06
occf14b,0.0,0.0
imprich,0.0,0.0
ipeqopt,0.0,0.0
impdiff,2.098091176391259e-07,2.098091176386263e-07
ipmodst,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
