,0,1
cntry,0.002312718316145149,0.0023127183161451453
pspwght,0.0006727737571336364,0.0006727737571336324
anweight,0.0003880391504519262,0.00038803915045192605
nwspol,0.00025103899798844756,0.00025103899798844083
netustm,0.0006230232220817857,0.000623023222081785
ppltrst,0.0004211035696122773,0.0004211035696122737
pplhlp,0.0003763439529464708,0.0003763439529464755
polintr,0.0018928740514771733,0.001892874051477169
psppsgva,0.0002960112447642715,0.0002960112447642672
psppipla,0.00011012489922271784,0.00011012489922271829
trstplc,0.00017305195518433987,0.00017305195518433697
trstprl,9.565779673183606e-05,9.565779673183723e-05
contplt,0.0001153876239395629,0.00011538762393956089
wrkprty,8.112009058480808e-05,8.112009058480845e-05
pbldmn,0.0012465930169964943,0.001246593016996496
bctprd,7.22107503659183e-05,7.221075036591853e-05
stfdem,0.00014326072057028961,0.00014326072057028934
gincdif,6.623320779883202e-05,6.623320779883173e-05
freehms,9.377366352706699e-05,9.377366352706619e-05
hmsacld,0.00011003687386599769,0.00011003687386599878
imsmetn,7.280958419605916e-05,7.280958419606126e-05
imdfetn,9.827950572197276e-05,9.82795057219723e-05
imwbcnt,9.694001477777239e-05,9.694001477777071e-05
happy,9.485034267079342e-05,9.485034267079303e-05
sclact,0.00010638744207926779,0.00010638744207926817
atchctr,0.00013402658151278856,0.00013402658151278742
atcherp,9.717269673228424e-05,9.717269673228428e-05
pray,7.929407590013304e-05,7.9294075900131e-05
dscrgrp,0.00010824142779357794,0.00010824142779358115
dscrrlg,0.0001141187967611473,0.00011411879676114627
dscrage,5.0936562307593346e-05,5.093656230759524e-05
dscrgnd,6.422206874785078e-05,6.422206874785407e-05
ctzcntr,9.797146224821139e-05,9.797146224821003e-05
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,8.666548533612002e-05,8.666548533612326e-05
elgngas,0.00010623075275990936,0.00010623075275990757
elgnuc,0.00013451099255520224,0.0001345109925552021
elgbio,0.00011640695175735427,0.00011640695175735482
wrenexp,6.593515254368946e-05,6.593515254368859e-05
wrdpfos,9.825266247110862e-05,9.825266247111066e-05
wrtcfl,0.00011234856181425815,0.00011234856181425925
wrtratc,9.55490301593713e-05,9.554903015937119e-05
lkredcc,8.782061187261769e-05,8.782061187261735e-05
sbsrnen,8.493883654317518e-05,8.493883654317232e-05
slvpens,8.378259019147938e-05,8.378259019147983e-05
sbbsntx,0.00010092873992274637,0.00010092873992274577
imsclbn,7.796725683250429e-05,7.796725683250468e-05
admub,0.00011753752645498916,0.00011753752645498571
wrkprbf,9.389960103647432e-05,9.389960103647689e-05
lkuemp,0.00011912091011151775,0.00011912091011151967
gndr,0.00010079424269305109,0.00010079424269305269
gndr3,0.00044180239687652484,0.00044180239687652414
yrbrn3,9.163590751897002e-05,9.163590751897095e-05
icpart1,0.0035424762576357284,0.003542476257635722
lvgptnea,0.0010034195482083654,0.001003419548208364
dvrcdeva,0.001580584045663778,0.0015805840456637917
chldhm,0.0001315432671976926,0.00013154326719769122
cmsrv,0.00011448874501662701,0.00011448874501662704
hswrk,0.00010306654761113444,0.00010306654761113587
dngdk,0.0,0.0
dngna,9.085229717451327e-05,9.085229717451148e-05
icomdng,0.00010650058724590232,0.00010650058724590188
mnactic,0.00011626995598185183,0.00011626995598185541
icpdwrk,0.0,0.0
wkdcorga,0.13813569971412712,0.13813569971412717
iorgact,0.012345804177770682,0.012345804177770687
edulvlfb,7.470923341829201e-05,7.47092334182904e-05
occf14b,0.00010086740116297268,0.00010086740116297249
occm14b,9.93022427417922e-05,9.930224274179314e-05
imprich,8.836538514563198e-05,8.83653851456321e-05
ipeqopt,0.00011316827763816936,0.00011316827763816887
ipshabt,0.00013322765651533456,0.00013322765651533236
impdiff,0.00010662928442620771,0.00010662928442620608
ipfrule,9.318900228677609e-05,9.318900228677451e-05
inwmms,0.00011295781723551993,0.00011295781723552152
inwyys,0.0001021807416211922,0.00010218074162118859
