,0,1
cntry,0.0005790810713976729,0.00057908107139767
pspwght,0.0002674020560361972,0.0002674020560361902
anweight,3.84610190407722e-06,3.846101904076582e-06
nwspol,0.0011605285018034062,0.001160528501803407
netusoft,0.001092145381599272,0.001092145381599269
ppltrst,7.418372991597608e-05,7.418372991597752e-05
pplhlp,0.00011556654349748723,0.00011556654349748666
psppsgva,0.00021595712314325223,0.00021595712314325484
actrolga,0.4360964232312177,0.43609642323121767
psppipla,6.470523624786506e-06,6.470523624786062e-06
trstplc,4.484558987001646e-06,4.484558987000037e-06
trstprl,4.793635831290083e-06,4.79363583129025e-06
pbldmn,2.1260520606707358e-06,2.126052060671846e-06
bctprd,2.7786370065409073e-06,2.778637006540824e-06
stfhlth,2.5176371319887703e-06,2.517637131989381e-06
gincdif,0.00010835533335883158,0.00010835533335883002
mnrgtjb,1.4015841155712694e-05,1.4015841155712583e-05
imsmetn,5.862449559546373e-06,5.8624495595461786e-06
imdfetn,0.00016412714422825095,0.0001641271442282501
imwbcnt,3.6807288129335757e-06,3.6807288129329654e-06
happy,2.2459264785839762e-05,2.245926478584104e-05
hlthhmp,0.0001164053097949907,0.00011640530979499591
rlgblg,1.4806503242599244e-06,1.4806503242597025e-06
rlgdnm,5.6810720732594355e-06,5.681072073258048e-06
rlgblge,0.00025263660322086116,0.0002526366032208608
rlgatnd,3.2906949230398495e-06,3.2906949230404047e-06
dscrgrp,4.106311880294478e-07,4.1063118802900367e-07
dscrage,6.289428603331482e-06,6.289428603330483e-06
dscrgnd,1.4844487402460583e-06,1.4844487402454476e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.7834190646260074e-06,1.7834190646247582e-06
elgnuc,2.447258228299526e-06,2.447258228299498e-06
elgwind,3.3925231834996185e-05,3.3925231834997324e-05
elgbio,1.8365703462647737e-05,1.836570346264771e-05
wrenexp,4.490593206334742e-06,4.49059320633391e-06
wrtcfl,2.379152574005561e-06,2.379152574005283e-06
lkredcc,2.4493559172141243e-06,2.4493559172142352e-06
dfincac,3.3953733990780277e-06,3.3953733990790823e-06
slvpens,7.593940778569508e-06,7.5939407785691474e-06
imsclbn,3.6563226418166727e-06,3.6563226418171724e-06
uentrjb,6.333604844089846e-07,6.333604844090401e-07
admub,4.561231962526557e-07,4.561231962523227e-07
gndr,1.594172003627714e-06,1.594172003627603e-06
gndr3,9.980028591297663e-05,9.980028591297976e-05
yrbrn2,2.7758712117089414e-06,2.775871211708469e-06
iccohbt,2.345715106399915e-06,2.345715106400026e-06
marsts,3.1758243283169784e-07,3.175824328318644e-07
rtrd,5.027240970772617e-06,5.027240970774338e-06
cmsrv,2.828916349275151e-06,2.828916349274041e-06
hswrk,6.405085989352188e-07,6.405085989352743e-07
dngdk,0.0,0.0
dngna,1.1666733117702831e-06,1.1666733117698946e-06
icomdng,1.5081839229164173e-05,1.5081839229164173e-05
mnactic,1.6695749457297794e-06,1.6695749457300568e-06
icpdwrk,0.0,0.0
icwhct,1.6556751473992576e-05,1.65567514739918e-05
pdwrkp,2.9871478735767648e-05,2.9871478735767648e-05
edulvlfb,8.772190783587189e-05,8.772190783586667e-05
imprich,5.8815204639709155e-05,5.8815204639707684e-05
ipeqopt,3.439725251380088e-06,3.4397252513800324e-06
impdiff,1.485048103492148e-06,1.48504810349126e-06
inwmms,1.748745621384751e-05,1.7487456213847397e-05
inwyys,3.355678584724742e-06,3.355678584725519e-06
