,0,1
cntry,0.009426309566437991,0.009426309566438014
pspwght,0.008038419798853464,0.008038419798853468
anweight,0.004012772496241284,0.004012772496241281
nwspol,0.017839840709860853,0.017839840709860864
netusoft,0.07904543395856253,0.07904543395856255
netustm,0.024120451373517354,0.024120451373517374
ppltrst,0.004442725556219167,0.00444272555621917
pplhlp,0.007318148049868928,0.007318148049868934
polintr,0.005486190931294494,0.005486190931294489
psppsgva,0.11483880109837055,0.11483880109837055
psppipla,0.00021178624653166446,0.00021178624653166284
trstlgl,0.0003731053610819593,0.00037310536108195615
trstplc,0.00028144009092562856,0.000281440090925625
trstplt,0.000663490540794653,0.0006634905407946553
trstprl,0.0005356386069799975,0.0005356386069799994
vote,0.00044896486119593113,0.0004489648611959275
bctprd,0.000130174443734429,0.00013017444373442785
stfdem,0.00013346774270463766,0.00013346774270463885
gincdif,9.073569226291716e-05,9.073569226291614e-05
euftf,6.007229913014144e-05,6.007229913014226e-05
imsmetn,0.00043752101986120455,0.00043752101986120406
imdfetn,0.0031863865112218585,0.0031863865112218537
happy,0.0003002078879228696,0.0003002078879228698
hlthhmp,0.0002975617705704927,0.0002975617705704967
rlgblg,0.00011795780310178911,0.00011795780310178989
rlgblge,0.0017468955443017613,0.0017468955443017697
dscrgrp,0.007783322184477737,0.007783322184477744
dscrage,0.0001095608088333384,0.00010956080883333759
dscrgnd,6.361309119585446e-05,6.361309119585355e-05
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0001305738369001088,0.00013057383690010798
elgngas,0.000304331615934906,0.00030433161593490694
elgnuc,0.0003572539805171889,0.0003572539805171908
elgwind,0.00021861557323911166,0.0002186155732391138
elgbio,0.00016335283479689065,0.00016335283479688883
wrpwrct,0.00016153266380426656,0.00016153266380426683
wrtcfl,0.00031287659473058283,0.0003128765947305821
wrtratc,0.00044528645843981175,0.0004452864584398147
lklmten,0.00015122078393699315,0.00015122078393699402
sbsrnen,0.0005379217366292284,0.0005379217366292278
sbstrec,0.004324607954967073,0.004324607954967069
sbbsntx,0.00011003756672933282,0.00011003756672933178
imsclbn,0.00011837954721122951,0.00011837954721122918
uentrjb,0.0004422053551582635,0.00044220535515826536
basinc,0.0004859443006664935,0.00048594430066649445
lkuemp,8.605078870276604e-05,8.605078870276783e-05
gndr3,0.0003963500219436482,0.0003963500219436495
yrbrn,0.00046059609274951176,0.00046059609274950964
yrbrn2,0.0015385968211671518,0.0015385968211671561
iccohbt,0.00036543914730234524,0.00036543914730234486
marsts,0.0016885216096093278,0.0016885216096093319
maritalb,0.004257314015167192,0.004257314015167197
cmsrv,9.314345991380712e-05,9.314345991381004e-05
hswrk,8.695051816885759e-05,8.695051816885629e-05
dngdk,0.0,0.0
dngna,0.00022886106541040888,0.00022886106541040785
icomdng,9.113908059054934e-05,9.11390805905494e-05
mnactic,5.50144550749449e-05,5.50144550749434e-05
icpdwrk,0.0,0.0
wkdcorga,7.254958729192707e-05,7.254958729192535e-05
isco08,0.003393002261421569,0.003393002261421568
uemplap,0.0006127346203406334,0.0006127346203406276
dngnap,3.104317064099582e-06,3.1043170640994016e-06
edulvlfb,0.03097722956457702,0.030977229564577054
imprich,0.0004312810151968076,0.00043128101519680675
ipeqopt,0.0005424070652091875,0.0005424070652091812
ipshabt,7.563093933164288e-05,7.563093933164211e-05
impdiff,7.616125328833345e-05,7.616125328833562e-05
ipsuces,8.187925946746049e-05,8.187925946746042e-05
inwmms,8.549825303674989e-05,8.5498253036749e-05
inwyys,0.0061531171411231865,0.0061531171411231935
