,0,1
cntry,0.0011032727001385352,0.0011032727001385324
pspwght,0.0012056644694609562,0.0012056644694609542
anweight,0.0006733135438386289,0.0006733135438386292
nwspol,0.0008800115539463168,0.0008800115539463151
netusoft,0.003111819854460551,0.0031118198544605484
netustm,0.0032713730591844353,0.0032713730591844314
ppltrst,0.00033475785155590726,0.0003347578515559028
pplhlp,0.002093929147004368,0.0020939291470043623
psppsgva,0.002732523631222934,0.002732523631222928
psppipla,1.6872390419804637e-05,1.6872390419804918e-05
trstplc,5.2475653465337615e-05,5.247565346533519e-05
trstprl,0.0001270857149272392,0.00012708571492723632
wrkprty,0.0008222729046008528,0.0008222729046008449
pbldmn,8.799023731930653e-05,8.79902373193118e-05
bctprd,3.163208998874969e-05,3.163208998874978e-05
stfhlth,0.00013588858541548697,0.00013588858541548635
gincdif,3.392983984871538e-05,3.39298398487147e-05
imsmetn,3.5755563627854816e-05,3.5755563627855514e-05
imdfetn,0.00040730769519479294,0.00040730769519479066
happy,0.00018537211242008477,0.00018537211242009244
hlthhmp,5.5353382675847435e-05,5.535338267584663e-05
rlgblg,4.401565080206663e-05,4.401565080206678e-05
rlgblge,7.139391220042884e-05,7.139391220043029e-05
dscrgrp,3.65073401503084e-05,3.6507340150307424e-05
dscrage,2.6554376346255948e-05,2.655437634625794e-05
dscrgnd,1.828334318883258e-05,1.8283343188832625e-05
dscrna,4.466976282649047e-06,4.466976282648902e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.756171878880698e-05,2.7561718788806852e-05
elgnuc,0.0017578597470390143,0.001757859747039018
elgwind,0.0033880860601551164,0.003388086060155117
wrenexp,0.0036600193208590538,0.0036600193208590494
wrtcfl,1.427633519638586e-05,1.427633519638562e-05
clmchng,0.00173015218786582,0.0017301521878658084
lkredcc,0.06182099209546168,0.06182099209546166
slvpens,0.0017580528587591191,0.0017580528587591183
sbprvpv,0.00029791764547915355,0.0002979176454791483
imsclbn,0.0016142066404607263,0.0016142066404607248
uentrjb,0.0004483542766904211,0.00044835427669041915
wrkprbf,9.125562851120913e-05,9.125562851120747e-05
lknemny,0.0011275565330015073,0.001127556533001505
gndr,0.0009581141663359213,0.0009581141663359186
gndr3,7.688169589193954e-06,7.688169589193844e-06
yrbrn2,4.847540929199293e-05,4.8475409291994976e-05
rshipa3,1.2970616186778583e-05,1.297061618677884e-05
dvrcdeva,7.391958937388038e-05,7.391958937388178e-05
maritalb,4.0269667614436265e-05,4.026966761443422e-05
eisced,7.250615332353715e-05,7.250615332353402e-05
cmsrv,2.4015066219795997e-05,2.401506621979745e-05
dngdk,0.0,0.0
dngna,5.827952135777775e-06,5.827952135778549e-06
icomdng,1.1012660629154722e-05,1.1012660629154687e-05
mnactic,1.4591799145704922e-05,1.4591799145703952e-05
icpdwrk,0.0,0.0
wkdcorga,6.038382927874124e-05,6.0383829278740866e-05
iorgact,7.840662432952136e-05,7.840662432951675e-05
rtrdp,3.8993807094929444e-07,3.8993807094938465e-07
edulvlfb,7.410143104748689e-05,7.410143104748639e-05
occf14b,3.4176321503972566e-05,3.4176321503972e-05
occm14b,6.025631889405256e-05,6.025631889405286e-05
imprich,0.0005493052222284117,0.0005493052222284089
ipeqopt,0.0004429584360039654,0.0004429584360039636
ipshabt,0.00048265169465256465,0.00048265169465255603
impdiff,0.00019373948048550472,0.00019373948048549282
inwmms,3.26069646942897e-05,3.2606964694289315e-05
inwyys,5.2092646343585846e-05,5.209264634358543e-05
inwdde,7.595289281115867e-05,7.595289281115982e-05
