,0,1
cntry,0.002424070787667567,0.002424070787667568
pspwght,0.00536663651690665,0.005366636516906646
anweight,0.004276276537828557,0.004276276537828567
nwspol,0.0035826893876748775,0.0035826893876748853
netusoft,0.17423255972879848,0.17423255972879848
netustm,0.011843515077964464,0.011843515077964458
ppltrst,0.018377268484691272,0.01837726848469128
pplhlp,0.006704786192481182,0.006704786192481178
psppsgva,0.006070704250857182,0.006070704250857182
psppipla,0.00173509143135075,0.00173509143135075
trstplc,0.0008066633284511317,0.0008066633284511328
trstplt,0.00056816861037937,0.0005681686103793679
trstprl,0.0003837211058863441,0.00038372110588634777
pbldmn,0.004086286871801782,0.004086286871801783
bctprd,0.0014670375316450522,0.0014670375316450529
stfdem,0.001195570504587868,0.001195570504587868
stfhlth,0.0004495477095812953,0.00044954770958129906
gincdif,0.0007184410186650194,0.0007184410186650088
hmsacld,0.0003579740104916977,0.00035797401049169464
imsmetn,0.00104333583679212,0.0010433358367921218
imdfetn,0.0008661970510093802,0.000866197051009378
happy,0.0014868178819887829,0.0014868178819887827
rlgblg,0.00112598825634128,0.0011259882563412768
rlgdnm,0.002291720884504076,0.0022917208845040725
rlgblge,0.026765477355638164,0.026765477355638168
rlgatnd,0.0026335323459012574,0.002633532345901253
dscrgrp,0.004028391877856746,0.004028391877856751
dscrage,0.00040028345545494663,0.0004002834554549484
dscrgnd,0.0003387437276519815,0.0003387437276519781
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0006081829501065606,0.0006081829501065581
elgngas,0.002130418376542523,0.0021304183765425266
elgwind,0.0025219593618824028,0.002521959361882401
elgbio,0.0005100366256881514,0.0005100366256881489
wrenexp,0.0004517637700506984,0.0004517637700507042
wrtcfl,0.0036522284439676773,0.003652228443967675
clmthgt2,0.0005533809714049719,0.0005533809714049678
dfincac,0.0011145503112842455,0.001114550311284246
slvpens,0.0006471387932043037,0.0006471387932043023
sbeqsoc,0.0036572666215888327,0.0036572666215888314
uentrjb,0.0005782265950769003,0.0005782265950769
bnlwinc,0.001052419456315812,0.001052419456315813
lkuemp,0.0009187038740095061,0.0009187038740095167
gndr3,0.12231698671568524,0.12231698671568529
yrbrn2,0.0024968845769118013,0.002496884576911791
yrbrn3,0.004393257674035351,0.004393257674035357
dvrcdeva,0.0004825515819473476,0.0004825515819473451
maritalb,0.004150038431632889,0.00415003843163287
cmsrv,0.03896944768222903,0.038969447682229014
hswrk,0.013888508147326633,0.013888508147326624
dngdk,0.0,0.0
dngna,0.014436802829956486,0.014436802829956494
icomdng,0.003560737358710104,0.003560737358710102
mnactic,0.00022940947049568782,0.00022940947049568993
icpdwrk,0.0,0.0
wkdcorga,0.0722122880737325,0.07221228807373252
pdwrkp,0.0045520280772425765,0.00455202807724258
edulvlfb,0.0016227357177068598,0.0016227357177068654
occf14b,0.00037264928712611706,0.0003726492871261128
imprich,0.0003112328308752582,0.0003112328308752548
ipeqopt,0.002410686035640143,0.0024106860356401475
ipshabt,0.0005638146293598903,0.0005638146293598867
impdiff,0.0002982628595609578,0.0002982628595609569
inwmms,0.0007690108134070146,0.0007690108134070057
inwyys,0.0009106174780290877,0.0009106174780290805
inwdde,0.0006695702339195619,0.000669570233919586
