,0,1
cntry,0.0005540814137887356,0.0005540814137887354
pspwght,0.0005158324942012849,0.0005158324942012742
anweight,0.00018589318538350276,0.00018589318538350335
nwspol,0.0002794948985517641,0.0002794948985517704
netusoft,0.0005392634279834201,0.0005392634279834237
netustm,0.0004406704552186353,0.00044067045521863036
ppltrst,0.0006177292557093501,0.0006177292557093467
pplhlp,0.00010519806304407359,0.00010519806304407573
polintr,0.0001036066602176801,0.00010360666021768053
psppsgva,0.00043929822471033993,0.000439298224710338
psppipla,3.228502389462928e-08,3.228502389429622e-08
trstlgl,0.0,0.0
trstplt,5.2214737261910835e-06,5.2214737261913054e-06
trstprl,2.6941622706474073e-06,2.6941622706472963e-06
bctprd,0.0,0.0
stfdem,1.4104897224228835e-05,1.410489722422914e-05
stfhlth,6.61404924240965e-05,6.614049242409578e-05
gincdif,0.0,0.0
mnrgtjb,1.6892658653261395e-06,1.6892658653259173e-06
freehms,0.0,0.0
imsmetn,1.7820803929552987e-06,1.782080392955021e-06
imdfetn,9.127037518761145e-05,9.127037518760845e-05
happy,5.48453131595239e-08,5.484531315930185e-08
sclact,0.0,0.0
hlthhmp,2.10955630881475e-05,2.1095563088147917e-05
rlgdnm,3.871799224205497e-06,3.871799224205053e-06
rlgdgr,6.752804238574495e-08,6.752804238574495e-08
pray,0.00010935016939306669,0.00010935016939307116
dscrgrp,2.5087509838882598e-05,2.5087509838882764e-05
dscrrce,0.47495798619014823,0.4749579861901483
dscrage,3.1143958491444414e-06,3.11439584914433e-06
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.924594392578638e-06,1.924594392578416e-06
elgcoal,3.812112685249336e-06,3.8121126852490582e-06
elgbio,1.295345253084107e-05,1.2953452530840458e-05
wrenexp,9.848433234698751e-06,9.848433234698527e-06
wrtcfl,1.6105766483395927e-05,1.6105766483396066e-05
wrtratc,1.315250072574381e-07,1.3152500725788218e-07
lkredcc,0.0,0.0
banhhap,3.8414030270399856e-05,3.8414030270400744e-05
slvuemp,2.0383592819532283e-06,2.0383592819542273e-06
sbbsntx,2.6940030497046298e-05,2.6940030497046213e-05
imsclbn,2.6858436754612636e-06,2.6858436754609307e-06
uentrjb,0.0,0.0
admub,8.858290092517984e-06,8.85829009251851e-06
lkuemp,4.6007482451267875e-05,4.6007482451267625e-05
gndr,5.305568704523228e-05,5.30556870452345e-05
gndr3,1.3037814656871066e-05,1.303781465687151e-05
rshipa3,0.0,0.0
dvrcdeva,0.0,0.0
marsts,8.24551727362255e-05,8.245517273622487e-05
maritalb,0.00026264723549448044,0.00026264723549448597
uempla,1.6900958665047594e-06,1.6900958665047594e-06
rtrd,7.259307461351672e-06,7.259307461351866e-06
cmsrv,1.8140203251318932e-06,1.8140203251321152e-06
hswrk,1.2713862100016683e-07,1.2713862100000028e-07
dngdk,0.0,0.0
dngna,3.071018481976606e-06,3.0710184819765506e-06
icomdng,4.0793619741186223e-08,4.07936197410752e-08
mnactic,1.1158249556308953e-07,1.1158249556286748e-07
icpdwrk,0.0,0.0
isco08,5.4368877779373464e-05,5.436887777937313e-05
pdwrkp,0.0,0.0
edulvlfb,0.0,0.0
occf14b,2.935530745110318e-05,2.9355307451103706e-05
imprich,2.879490729917933e-05,2.8794907299180104e-05
ipeqopt,1.2165486160531647e-05,1.216548616053123e-05
impsafe,2.5633265999522925e-05,2.5633265999523064e-05
impdiff,0.00011371519487372183,0.00011371519487371832
ipfrule,2.1208863294216533e-05,2.1208863294216452e-05
inwmms,2.3741727303362437e-06,2.3741727303363547e-06
inwyys,1.1189571910227625e-05,1.1189571910227513e-05
