,0,1
cntry,0.00045140391067696246,0.0004514039106769604
pspwght,8.057113844634651e-05,8.057113844634484e-05
anweight,0.00011333206367224789,0.0001133320636722499
nwspol,0.0005894559321569682,0.0005894559321569644
netusoft,0.0007106143590720113,0.0007106143590720073
netustm,0.0004895962201424778,0.0004895962201424721
ppltrst,0.0003652496229421896,0.0003652496229421893
pplhlp,6.329888503689866e-05,6.329888503689982e-05
polintr,0.0003166299207355057,0.0003166299207355094
psppsgva,0.007174290902374786,0.007174290902374791
psppipla,2.209557526325956e-06,2.209557526326067e-06
trstlgl,6.011033112981179e-06,6.011033112980513e-06
trstplc,2.817336454641328e-06,2.817336454641023e-06
trstplt,3.465143118171865e-06,3.465143118171088e-06
trstprl,6.017874640827759e-06,6.017874640827425e-06
bctprd,4.071008899850015e-06,4.071008899849072e-06
stfdem,8.036971239927525e-06,8.036971239927304e-06
stfhlth,0.0002596803858037021,0.0002596803858037003
gincdif,4.221252679168231e-06,4.221252679168009e-06
mnrgtjb,5.540724376068007e-06,5.540724376068173e-06
freehms,1.0887358232655575e-05,1.0887358232656408e-05
imsmetn,1.3459022911663482e-05,1.3459022911663148e-05
imdfetn,6.747619035622593e-05,6.747619035622685e-05
happy,3.204950978252796e-06,3.2049509782535734e-06
sclact,2.885403057218794e-06,2.8854030572184607e-06
hlthhmp,3.7066193197805575e-06,3.706619319780724e-06
atcherp,4.149263084486598e-06,4.149263084486765e-06
rlgblg,3.038110919267423e-06,3.0381109192664237e-06
rlgdgr,2.3199385217593793e-06,2.319938521759213e-06
pray,0.000774632597979629,0.0007746325979796193
dscrgrp,1.012534289413941e-05,1.0125342894137995e-05
dscrrce,0.38108682390489973,0.3810868239048999
dscrage,2.3899780940452865e-06,2.3899780940449532e-06
dscrgnd,3.549361645049598e-06,3.5493616450498754e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,4.637889358688751e-06,4.6378893586874196e-06
elgcoal,0.0001370363446886233,0.00013703634468862125
elgngas,7.2454868202289636e-06,7.245486820227992e-06
elgwind,4.726888985924105e-06,4.72688898592366e-06
elgbio,0.00010281381100553155,0.00010281381100552819
wrenexp,9.234893202576893e-05,9.234893202577086e-05
wrtcfl,3.358034790699904e-05,3.35803479069981e-05
wrtratc,4.296249877146552e-06,4.296249877146829e-06
ownrdcc,4.171597520828074e-06,4.171597520827297e-06
sbbsntx,3.735781089285761e-05,3.735781089285975e-05
uentrjb,2.5659635383484814e-06,2.565963538348204e-06
admub,1.39443285323958e-05,1.3944328532397576e-05
lkuemp,3.229738099572582e-06,3.229738099572582e-06
gndr,0.0002555581387250992,0.0002555581387251005
gndr3,4.441100098814552e-05,4.441100098814405e-05
yrbrn3,4.300971087015373e-05,4.3009710870153176e-05
rshipa3,5.087536888045474e-06,5.0875368880460294e-06
dvrcdeva,5.457515276620168e-06,5.45751527661964e-06
marsts,0.0005081478288900744,0.0005081478288900892
maritalb,0.0013300198063291616,0.001330019806329164
uempla,2.9054657348412726e-05,2.90546573484132e-05
rtrd,2.9765380352610448e-06,2.9765380352617664e-06
cmsrv,3.154212450327931e-06,3.154212450328653e-06
hswrk,4.522964115125927e-06,4.522964115125455e-06
dngdk,0.0,0.0
icomdng,4.07866496567949e-06,4.078664965677936e-06
mnactic,6.319011551034981e-06,6.319011551035536e-06
icpdwrk,0.0,0.0
isco08,0.0001957974417667887,0.00019579744176679046
pdwrkp,4.22439263008631e-06,4.224392630086587e-06
edulvlfb,0.0006481539236785847,0.0006481539236785867
occf14b,0.00011848609802548107,0.00011848609802548141
imprich,5.62700908953967e-06,5.627009089540503e-06
ipeqopt,4.23017700467071e-06,4.230177004670765e-06
impsafe,1.5703992192100336e-05,1.570399219210117e-05
impdiff,0.0005064640550287591,0.0005064640550287683
ipfrule,4.130924166160372e-06,4.13092416616187e-06
inwmms,4.992039127412307e-06,4.992039127412251e-06
inwyys,9.796772202235382e-05,9.796772202235149e-05
