,0,1
cntry,0.006480775599675155,0.006480775599675161
pspwght,0.009703857429202862,0.009703857429202848
anweight,0.013447034579278252,0.013447034579278249
nwspol,0.023239858090425537,0.02323985809042552
netustm,0.0015932093206500765,0.001593209320650075
ppltrst,0.017263108904991012,0.017263108904991
pplhlp,0.001095883611435542,0.001095883611435542
polintr,0.01527977621536531,0.015279776215365309
psppsgva,0.0008652900527606949,0.0008652900527606999
actrolga,0.0012338447154699225,0.00123384471546993
psppipla,0.0012236492220850255,0.0012236492220850268
trstplc,0.0004444758321418558,0.00044447583214185326
trstplt,0.000990644207501433,0.0009906442075014376
trstprl,0.0006194568403156104,0.00061945684031561
wrkprty,0.0003212046671556667,0.00032120466715566856
pbldmn,0.04821009910420164,0.048210099104201654
bctprd,0.0005919777266979687,0.0005919777266979757
stfdem,0.0005165641201271125,0.0005165641201271199
gincdif,0.006062274652247242,0.006062274652247256
imdfetn,0.0007236986649625486,0.0007236986649625481
imueclt,0.0002473917915538192,0.0002473917915538139
happy,0.0008461306160874892,0.000846130616087491
sclmeet,0.0011160035577916594,0.0011160035577916605
sclact,0.0008144809983604162,0.0008144809983604174
hlthhmp,0.01945180602420468,0.019451806024204682
atchctr,0.0002896187036856087,0.00028961870368560767
rlgblg,0.00019793967378690702,0.00019793967378690656
rlgblge,0.0006081257558373105,0.0006081257558373095
pray,0.0010183732397208386,0.0010183732397208397
dscrgrp,0.0005753215168246538,0.0005753215168246577
dscrage,0.0005936958713538702,0.0005936958713538644
dscrgnd,0.00021728838604696701,0.00021728838604696563
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00029343451310791355,0.00029343451310792043
elgnuc,0.011596158677493282,0.011596158677493279
elgwind,0.000896156620513012,0.0008961566205130143
elgbio,0.00044960258923139437,0.00044960258923139546
wrpwrct,0.000674918999156621,0.000674918999156625
wrtcfl,0.0007858716518599759,0.0007858716518599706
ccnthum,0.0008996359911252509,0.0008996359911252488
lkredcc,0.0006862419112508836,0.0006862419112508864
slvpens,0.0008785224100865177,0.0008785224100865164
sblazy,0.0006111447130594154,0.0006111447130594117
admub,0.0005169119492034744,0.0005169119492034724
lkuemp,0.0007298157769753111,0.0007298157769753153
gndr3,0.005084155510704922,0.0050841555107049175
yrbrn2,0.24909624625678034,0.24909624625678028
rshipa3,0.02251492794557803,0.022514927945578033
maritalb,0.02649990359135046,0.026499903591350463
dsbld,0.015112034774573973,0.01511203477457395
cmsrv,0.0003799822308608068,0.0003799822308608073
hswrk,0.00036780037857064905,0.00036780037857064846
dngdk,0.0,0.0
dngna,0.006457725598159933,0.006457725598159951
icomdng,0.000473255189363111,0.00047325518936311303
mnactic,0.000187645630836214,0.00018764563083621628
icpdwrk,0.0,0.0
wkdcorga,0.025835196916259337,0.02583519691625931
iorgact,0.017164855986701866,0.017164855986701855
edulvlfb,0.0008877873853669421,0.000887787385366946
occf14b,0.0007482329912782088,0.0007482329912782146
occm14b,0.00021853548249064762,0.00021853548249065117
imprich,0.0005606685242643568,0.0005606685242643595
ipeqopt,0.0006788503207003582,0.0006788503207003585
impdiff,0.0004979953616716607,0.0004979953616716598
ipsuces,0.0010450322371361672,0.0010450322371361738
inwmms,0.0006027568090145589,0.0006027568090145552
inwyys,0.0007474960002158971,0.0007474960002159046
