,0,1
cntry,0.002752955367688102,0.0027529553676881036
pspwght,0.00039062755386542406,0.00039062755386542455
anweight,9.868345173849801e-05,9.868345173849724e-05
nwspol,0.0005847455683068903,0.0005847455683068884
netustm,0.0016691045480815231,0.0016691045480815236
ppltrst,0.00010366548612361434,0.00010366548612361343
pplhlp,5.9413630671070416e-05,5.941363067106888e-05
polintr,0.00010346937130280092,0.00010346937130279799
psppsgva,0.00032861536856655237,0.00032861536856655134
psppipla,2.3368751234761847e-05,2.3368751234759933e-05
trstplc,0.00012164355378404423,0.00012164355378404274
trstprl,7.074093623386091e-05,7.074093623386003e-05
contplt,5.8230677624126695e-05,5.823067762412545e-05
wrkprty,8.373403729553589e-05,8.373403729553565e-05
pbldmn,0.0008306827935801729,0.0008306827935801752
bctprd,5.7878209621906425e-05,5.7878209621908147e-05
stfdem,8.214969108085467e-05,8.21496910808556e-05
gincdif,2.359237492078456e-05,2.3592374920783747e-05
freehms,5.561229816936788e-05,5.561229816936687e-05
hmsacld,5.510798089614471e-05,5.5107980896144955e-05
imsmetn,5.8890661725069536e-05,5.889066172506969e-05
imdfetn,7.168641531217121e-05,7.168641531217204e-05
happy,7.371773107387653e-05,7.371773107387791e-05
sclact,5.2625269735231e-05,5.26252697352303e-05
atchctr,4.518039625092306e-05,4.518039625092343e-05
atcherp,3.996176532559537e-05,3.996176532559535e-05
dscrgrp,9.358890449280624e-05,9.358890449280475e-05
dscrage,5.6064647023144396e-05,5.606464702314368e-05
dscrgnd,4.9794399882747844e-05,4.979439988274853e-05
dscrna,1.5372735837005942e-05,1.537273583700529e-05
ctzcntr,3.5300787495397645e-05,3.530078749539812e-05
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.9926257025690862e-05,2.9926257025689538e-05
elgngas,8.714901019151643e-05,8.714901019151826e-05
elgnuc,9.928490605914361e-05,9.928490605914359e-05
elgbio,8.538742172845722e-05,8.538742172845634e-05
wrdpfos,8.524287628703518e-05,8.524287628703521e-05
wrtcfl,5.5463288558337856e-05,5.546328855833683e-05
clmchng,3.7391454862962584e-05,3.7391454862961446e-05
lkredcc,3.927367833134843e-05,3.9273678331351215e-05
gvsrdcc,6.663647165439519e-05,6.663647165439598e-05
sbsrnen,8.690841513303635e-05,8.690841513303688e-05
slvpens,7.90480235595108e-05,7.904802355950956e-05
sbbsntx,0.00010922101734317661,0.00010922101734317501
imsclbn,6.79516575090226e-05,6.79516575090212e-05
admub,7.019438993081844e-05,7.019438993082012e-05
wrkprbf,7.1912203195412e-05,7.19122031954134e-05
lkuemp,5.966656667936572e-05,5.966656667936664e-05
gndr,5.2247757238250704e-05,5.224775723825027e-05
gndr3,0.0003253760121865542,0.00032537601218655547
yrbrn3,2.7113587273762494e-05,2.7113587273762175e-05
icpart1,0.004446602565442776,0.004446602565442765
lvgptnea,0.0005778649330928298,0.0005778649330928286
dvrcdeva,0.0012228202692828307,0.0012228202692828253
chldhm,6.124656330921397e-05,6.124656330921598e-05
cmsrv,6.508603924266209e-05,6.508603924266251e-05
hswrk,4.117007160597025e-05,4.117007160596925e-05
dngdk,0.0,0.0
dngna,3.197608637060326e-05,3.197608637060326e-05
icomdng,7.263218514290266e-05,7.263218514290324e-05
mnactic,3.905330027808985e-05,3.905330027809096e-05
icpdwrk,0.0,0.0
wkdcorga,0.10093877419537767,0.10093877419537765
iorgact,0.04081809401059509,0.040818094010595114
edulvlfb,5.901119010083479e-05,5.9011190100834435e-05
occf14b,0.00010820393577748083,0.0001082039357774803
occm14b,2.6605844403206083e-05,2.6605844403207845e-05
imprich,7.059631246870808e-05,7.059631246870828e-05
ipeqopt,9.116562128215434e-05,9.116562128215857e-05
ipshabt,5.597633538789606e-05,5.597633538789724e-05
impdiff,2.420238514321405e-05,2.4202385143211326e-05
ipfrule,6.383907936418465e-05,6.383907936418567e-05
ipudrst,4.285143713679117e-05,4.285143713679123e-05
inwmms,3.9701192224007455e-05,3.970119222400443e-05
inwyys,9.654767333761835e-05,9.654767333761274e-05
