,0,1
cntry,0.003265376245519054,0.0032653762455190525
pspwght,0.0016459636140344772,0.0016459636140344703
anweight,0.0028950679885777235,0.0028950679885777187
netusoft,0.003955181564170194,0.003955181564170196
netustm,0.011339994101027779,0.01133999410102779
ppltrst,0.001735199059524673,0.001735199059524672
pplhlp,0.0025697577447470923,0.0025697577447470854
psppsgva,0.0014056380584483925,0.0014056380584483977
psppipla,0.0003812176723641512,0.00038121767236414775
trstplc,0.0006332189922094862,0.0006332189922094815
vote,0.01406377035989418,0.014063770359894196
pbldmn,0.0004935896831605965,0.0004935896831605975
bctprd,0.0002752251722442901,0.00027522517224429184
gincdif,0.0003880352091093449,0.00038803520910934383
hmsacld,0.001381729866629673,0.00138172986662967
imsmetn,0.00010993518521208448,0.00010993518521208495
imdfetn,0.00014264583840151144,0.00014264583840151163
imwbcnt,0.018681021353146945,0.01868102135314694
happy,0.00012569731488859054,0.00012569731488859065
hlthhmp,0.00040673058220699746,0.00040673058220700115
rlgblg,0.00014775767188061827,0.0001477576718806174
rlgblge,0.0006338282602358553,0.0006338282602358609
dscrgrp,0.0005080632062933697,0.0005080632062933729
dscrage,0.00012813605563162208,0.0001281360556316202
dscrgnd,4.6593031921515425e-05,4.659303192151676e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,5.120187470815494e-05,5.120187470815469e-05
elgnuc,0.0014370696088938455,0.0014370696088938397
elgbio,0.0059899362999469635,0.005989936299946972
wrenexp,0.003482438757979716,0.0034824387579797094
wrtcfl,0.0002670280233191426,0.0002670280233191408
clmchng,0.0029599346086431584,0.0029599346086431476
lkredcc,7.70775476258024e-05,7.707754762580302e-05
sbsrnen,0.001522108725981448,0.0015221087259814484
slvpens,0.003937630844955558,0.003937630844955567
sbbsntx,9.575259918525507e-05,9.575259918525652e-05
imsclbn,0.003976933408062593,0.0039769334080625865
uentrjb,0.0007399231410329969,0.0007399231410329874
bennent,0.007976467190480238,0.007976467190480226
lkuemp,0.0006593386119872833,0.000659338611987276
gndr,4.3901836927269504e-05,4.390183692726923e-05
gndr3,0.000500521480546523,0.0005005214805465233
yrbrn2,0.00036631339017693585,0.0003663133901769396
rshipa3,0.0001106074324385878,0.00011060743243858805
dvrcdeva,0.0004914863810038051,0.000491486381003814
maritalb,0.0004942681807409661,0.0004942681807409568
cmsrv,3.044658231064907e-05,3.0446582310647638e-05
hswrk,5.376289586206585e-05,5.37628958620649e-05
dngdk,0.0,0.0
dngna,6.987088844889497e-05,6.987088844889367e-05
icomdng,4.4496167974136345e-05,4.449616797413455e-05
mnactic,3.5484917151524534e-05,3.548491715152391e-05
icpdwrk,0.0,0.0
wkdcorga,0.00023973535546017454,0.00023973535546017993
iorgact,0.00046909676018714827,0.0004690967601871553
cmsrvp,3.6232285977986776e-05,3.623228597798683e-05
edulvlfb,0.0005359921778240714,0.0005359921778240686
occm14b,0.00027305692240125735,0.00027305692240125497
imprich,0.00016049685265940761,0.00016049685265940916
impsafe,0.00018137384208873913,0.0001813738420887397
impdiff,0.0003014323947242039,0.0003014323947241963
inwmms,0.00026485502144183717,0.00026485502144183885
inwyys,0.000306529256412755,0.0003065292564127503
