,0,1
cntry,0.0008508799096328872,0.0008508799096328889
pspwght,0.0011639779450940818,0.0011639779450940818
anweight,0.00014756886932936784,0.00014756886932936928
nwspol,0.000612071808230576,0.0006120718082305778
netusoft,0.00048061304690311075,0.0004806130469031125
netustm,0.0016093259505108874,0.0016093259505108887
ppltrst,7.37732927119128e-05,7.377329271191283e-05
pplhlp,5.5987847636840225e-05,5.5987847636839866e-05
polintr,0.0003818688837003558,0.000381868883700356
psppsgva,0.37821355072670276,0.37821355072670276
psppipla,3.807408528378528e-05,3.8074085283786586e-05
trstplt,5.259601703356745e-05,5.259601703356773e-05
trstep,4.2877602617242575e-05,4.287760261724327e-05
trstprl,7.774821986173552e-05,7.77482198617328e-05
vote,0.0001005357747233687,0.00010053577472336967
wrkprty,0.003048185744769636,0.003048185744769642
pbldmn,8.453580537324229e-05,8.453580537324274e-05
bctprd,5.307514037839503e-05,5.307514037839581e-05
gincdif,5.931329873529126e-05,5.9313298735289957e-05
mnrgtjb,4.8232157509095734e-05,4.823215750909674e-05
imsmetn,4.865764052332977e-05,4.865764052332938e-05
imdfetn,5.2441719792288234e-05,5.244171979228837e-05
happy,6.456092964921809e-05,6.456092964921276e-05
sclact,5.7148023789877155e-05,5.714802378987649e-05
hlthhmp,4.208735648971856e-05,4.208735648971851e-05
rlgblg,6.619341816719218e-05,6.619341816719016e-05
rlgdnm,7.521054887608015e-05,7.521054887607692e-05
rlgblge,8.495916389667305e-05,8.49591638966726e-05
dscrgrp,3.816647909190346e-05,3.816647909190307e-05
dscrrce,0.005981891545835921,0.00598189154583592
dscrage,4.8187720412790096e-05,4.8187720412788125e-05
dscrgnd,4.298089398237565e-05,4.2980893982375505e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.889769125620691e-05,7.889769125620561e-05
elgngas,8.41355330243588e-05,8.413553302435525e-05
elgnuc,0.0012410764990896418,0.0012410764990896394
elgwind,0.00033725988882783817,0.00033725988882783866
elgbio,0.0010476352109381303,0.00104763521093813
wrdpfos,0.0021319380842229284,0.002131938084222924
wrtcfl,3.27311823507202e-05,3.2731182350720314e-05
wrtratc,4.524222084648968e-05,4.5242220846489796e-05
lkredcc,0.0006812778461337624,0.0006812778461337661
slvpens,0.0005596832090535373,0.000559683209053534
sbstrec,0.0011165153165236304,0.001116515316523631
imsclbn,8.679149449126586e-05,8.679149449126256e-05
uentrjb,0.0003230027742180826,0.00032300277421807357
wrkprbf,0.0001277845967418404,0.00012778459674184025
lkuemp,4.2697390938457755e-05,4.269739093845851e-05
yrbrn,4.046591920729972e-05,4.046591920729822e-05
yrbrn2,5.500423103727153e-05,5.500423103727353e-05
lvgptnea,5.207432291424935e-05,5.207432291425293e-05
iccohbt,3.414883884836796e-05,3.4148838848369665e-05
maritalb,5.404381816615933e-05,5.40438181661588e-05
rtrd,5.892084307014084e-05,5.892084307013723e-05
cmsrv,4.1393310018923464e-05,4.13933100189201e-05
hswrk,5.301550771215457e-05,5.3015507712152823e-05
dngdk,0.0,0.0
dngna,3.7686739370940494e-05,3.7686739370937696e-05
icomdng,6.040260557148738e-05,6.040260557148588e-05
mnactic,4.504012925552386e-05,4.5040129255523144e-05
icpdwrk,0.0,0.0
wkhct,5.6134226960490835e-05,5.613422696048995e-05
isco08,0.00020088316281939423,0.00020088316281939475
icpart3,4.0397402848545815e-05,4.039740284854529e-05
pdwrkp,5.842834101789182e-05,5.842834101789343e-05
edulvlfb,0.00014690253944664488,0.00014690253944664273
occf14b,7.436724625222783e-05,7.436724625222965e-05
occm14b,5.7839972250183614e-05,5.783997225018425e-05
imprich,4.05486620638908e-05,4.054866206388999e-05
ipeqopt,6.389095528412753e-05,6.389095528412908e-05
impsafe,7.942639045629407e-05,7.942639045629298e-05
impdiff,3.3291120292657214e-05,3.329112029265657e-05
ipmodst,4.1025970081780605e-05,4.1025970081780104e-05
inwmms,9.424312080561665e-05,9.424312080561692e-05
inwyys,0.001975352780282186,0.001975352780282178
inwdde,0.00014379481807779782,0.0001437948180778019
