,0,1
cntry,0.0008254203423414454,0.0008254203423414499
pspwght,0.0013470053979950478,0.0013470053979950456
anweight,3.733610320207918e-05,3.7336103202079216e-05
nwspol,0.0005855249966856811,0.0005855249966856758
netustm,0.0004948338318824376,0.0004948338318824377
ppltrst,0.0014531728160074608,0.0014531728160074584
pplhlp,0.0002149998390697945,0.0002149998390697974
polintr,0.00043755618065117487,0.000437556180651173
psppsgva,0.00014665871324658512,0.00014665871324658541
psppipla,1.2878888334114682e-05,1.2878888334114348e-05
trstplc,7.927777002111965e-05,7.927777002111589e-05
trstprl,2.8096657903797596e-05,2.8096657903795655e-05
contplt,2.3185471778807405e-05,2.318547177880529e-05
wrkprty,2.7047366074023187e-05,2.7047366074022055e-05
pbldmn,0.00045818201311257267,0.0004581820131125702
bctprd,1.7403039860882955e-05,1.7403039860882853e-05
stfdem,2.6855444646385527e-05,2.68554446463849e-05
stfhlth,5.502179612998725e-05,5.5021796129988235e-05
gincdif,1.651984067690496e-05,1.6519840676905194e-05
freehms,2.2498897321165414e-05,2.2498897321167942e-05
hmsacld,1.509043924279353e-05,1.5090439242793868e-05
imsmetn,1.156467572280035e-05,1.156467572280125e-05
imdfetn,2.3566330211490314e-05,2.356633021148948e-05
imwbcnt,2.318207174430031e-05,2.3182071744300492e-05
happy,2.042009969813148e-05,2.0420099698132407e-05
sclact,1.3874758484183816e-05,1.3874758484184102e-05
atcherp,3.1037889655611504e-05,3.103788965561093e-05
pray,3.513946704039075e-05,3.513946704039165e-05
dscrgrp,2.3542705613808633e-05,2.3542705613807766e-05
dscrage,2.587498985478886e-05,2.5874989854789105e-05
dscrgnd,2.56699646152644e-05,2.5669964615264002e-05
ctzcntr,2.2807039351450084e-05,2.2807039351449115e-05
mocntr,0.0,0.0
gvrfgap,2.8095662941062846e-05,2.8095662941062355e-05
elgngas,3.158949443834375e-05,3.158949443834634e-05
elgnuc,3.717368890474008e-05,3.7173688904740184e-05
elgbio,2.3079350924674018e-05,2.3079350924673733e-05
wrenexp,1.7825602298878946e-05,1.7825602298879034e-05
wrdpfos,1.750549464551474e-05,1.750549464551461e-05
wrtcfl,1.7611731975076215e-05,1.7611731975078587e-05
wrtratc,1.1382333334467773e-05,1.138233333446774e-05
lkredcc,2.1579366786698376e-05,2.1579366786696397e-05
gvsrdcc,1.6107918122976073e-05,1.6107918122978055e-05
sbsrnen,6.007831938273127e-06,6.007831938272687e-06
sbbsntx,1.8089494706714198e-05,1.8089494706715943e-05
imsclbn,2.7268375872825246e-05,2.7268375872823847e-05
admub,1.9214094679007675e-05,1.9214094679007784e-05
wrkprbf,1.3732600212995021e-05,1.3732600212993839e-05
lkuemp,2.100491582080852e-05,2.1004915820809336e-05
gndr,1.9467326409433965e-05,1.946732640943615e-05
gndr3,0.00028334958472169924,0.00028334958472169794
yrbrn2,2.6274511063960573e-05,2.627451106396207e-05
yrbrn3,2.811273925459625e-05,2.8112739254597083e-05
icpart1,0.0012821530393486828,0.0012821530393486832
lvgptnea,0.00037626609239525225,0.0003762660923952517
dvrcdeva,0.000665177360898723,0.0006651773608987193
chldhm,2.9286641179451154e-05,2.9286641179451174e-05
cmsrv,1.7891652219313393e-05,1.78916522193125e-05
hswrk,2.550231858678674e-05,2.5502318586786293e-05
dngdk,0.0,0.0
dngna,1.0346326494980073e-05,1.0346326494982413e-05
icomdng,1.5943756630630393e-05,1.5943756630629254e-05
mnactic,2.0968200990921284e-05,2.0968200990921765e-05
icpdwrk,0.0,0.0
iorgact,0.1553358822732537,0.1553358822732537
dngnap,0.0,0.0
edulvlfb,2.3073003225513275e-05,2.3073003225513797e-05
occm14b,1.3047891288275888e-05,1.3047891288276714e-05
imprich,3.021863325239061e-05,3.02186332523912e-05
ipeqopt,2.7678434889051076e-05,2.767843488905062e-05
ipshabt,2.5694021834397847e-05,2.5694021834397193e-05
impdiff,1.6222954347727623e-05,1.6222954347729455e-05
ipfrule,2.0321026081324496e-05,2.0321026081324343e-05
ipudrst,1.6926556261745718e-05,1.692655626174569e-05
inwmms,2.4797955778778567e-05,2.4797955778777984e-05
inwyys,2.0927197329188713e-05,2.0927197329199647e-05
