,0,1
cntry,0.0016241282446687103,0.0016241282446687066
pspwght,0.0001682465118832681,0.00016824651188326759
anweight,0.00033911226273052096,0.0003391122627305188
nwspol,3.3433184912135276e-05,3.3433184912135324e-05
netustm,0.00025851284301429115,0.0002585128430142881
ppltrst,0.0001725560749380988,0.0001725560749380962
pplhlp,0.0005332005040660466,0.0005332005040660472
polintr,0.001233626228166402,0.0012336262281663999
psppsgva,9.099340464724589e-05,9.099340464724532e-05
psppipla,8.533158153176481e-05,8.533158153176423e-05
trstplc,3.0198587889358615e-05,3.0198587889358584e-05
trstprl,4.799110888396571e-05,4.799110888396551e-05
contplt,4.750458587824244e-05,4.750458587824283e-05
wrkprty,4.363820102864162e-05,4.3638201028641756e-05
pbldmn,0.00028057916959723294,0.00028057916959723246
bctprd,8.341056562640123e-05,8.341056562640098e-05
stfdem,3.408012235480812e-05,3.4080122354808074e-05
gincdif,7.503541791913538e-05,7.50354179191357e-05
mnrgtjb,5.278855087907888e-05,5.278855087907876e-05
hmsacld,5.790743613534311e-05,5.7907436135343274e-05
imsmetn,8.743221567040884e-05,8.74322156704105e-05
imdfetn,2.799267203563536e-05,2.7992672035635886e-05
imwbcnt,9.120151172124872e-05,9.120151172124912e-05
happy,8.180657409683356e-05,8.180657409683493e-05
sclact,7.667352610730865e-05,7.667352610730815e-05
atchctr,5.454456091820329e-05,5.4544560918203654e-05
atcherp,1.9260107272366386e-05,1.926010727236585e-05
pray,7.547161908134243e-05,7.547161908134253e-05
dscrgrp,4.323388955363106e-05,4.323388955363003e-05
dscrage,3.2813831467025675e-05,3.281383146702574e-05
dscrgnd,1.1297995081875005e-05,1.1297995081874929e-05
ctzcntr,4.2024947318962176e-05,4.202494731896117e-05
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,8.394159474098274e-05,8.394159474098171e-05
elgngas,6.857392157810408e-05,6.857392157810454e-05
elgnuc,5.9444610528775676e-05,5.944461052877509e-05
elgbio,1.3420985335421618e-05,1.3420985335421638e-05
wrdpfos,0.00011500177303212467,0.00011500177303212423
wrtcfl,8.249363490679551e-05,8.249363490679626e-05
wrtratc,0.00010763285710088959,0.00010763285710088894
lkredcc,6.29969282846174e-05,6.299692828461593e-05
gvsrdcc,3.69683695240607e-05,3.6968369524060645e-05
banhhap,5.71479999621336e-05,5.714799996213418e-05
slvpens,3.633969109688645e-05,3.633969109688688e-05
sbeqsoc,5.299439049615627e-05,5.299439049615659e-05
sbbsntx,9.896071582034077e-05,9.896071582034145e-05
imsclbn,3.396970791485139e-05,3.396970791485129e-05
admub,4.9368729622644216e-05,4.936872962264456e-05
wrkprbf,3.051648795695392e-05,3.0516487956954554e-05
lkuemp,5.017625404447222e-05,5.017625404447267e-05
gndr,3.0042454624369934e-05,3.004245462436996e-05
gndr3,7.120465233198497e-05,7.120465233198553e-05
yrbrn3,6.732055028467557e-05,6.73205502846752e-05
icpart1,0.0022821205882330264,0.00228212058823302
lvgptnea,0.0001562963081915499,0.00015629630819155018
dvrcdeva,0.0002469421215119633,0.00024694212151196205
chldhm,4.3450993946574384e-05,4.3450993946574655e-05
cmsrv,3.7565402255577043e-05,3.756540225557778e-05
hswrk,9.438884640724654e-05,9.438884640724691e-05
dngdk,0.0,0.0
dngna,5.365212178403195e-05,5.3652121784032905e-05
icomdng,3.79497736118014e-05,3.7949773611801686e-05
mnactic,3.35263983829618e-05,3.3526398382961315e-05
icpdwrk,0.0,0.0
wkdcorga,0.06485162309114764,0.06485162309114766
icwhct,0.06648720724777418,0.06648720724777415
edulvlfb,5.926884902991938e-05,5.926884902991891e-05
occf14b,0.00011577111239702912,0.00011577111239702964
occm14b,2.7928337991713994e-05,2.7928337991713577e-05
imprich,4.9934444305216174e-05,4.993444430521621e-05
ipeqopt,0.00010954004759981127,0.0001095400475998118
ipshabt,5.4988476549561086e-05,5.498847654956096e-05
impdiff,9.21994683813293e-05,9.21994683813288e-05
ipfrule,5.7487392811539996e-05,5.7487392811540647e-05
inwmms,7.385127320447678e-05,7.385127320447767e-05
inwyys,6.313003702999268e-05,6.313003702999631e-05
