,0,1
cntry,0.0008070894814577698,0.0008070894814577723
pspwght,0.000952950039249816,0.0009529500392498194
anweight,0.0007097720632563175,0.0007097720632563152
nwspol,0.001294677956917727,0.0012946779569177269
netustm,0.007210327716149555,0.007210327716149555
ppltrst,0.0011613134140059296,0.0011613134140059246
pplhlp,0.0015040420307426902,0.0015040420307426907
polintr,0.0011956537748305423,0.0011956537748305433
psppsgva,0.0007367698743880861,0.0007367698743880876
psppipla,9.503690142963787e-06,9.503690142963459e-06
trstplc,0.0,0.0
trstprl,2.149543118553172e-05,2.1495431185530555e-05
wrkprty,2.9180665927373654e-05,2.9180665927372492e-05
bctprd,2.4968910265631554e-06,2.4968910265633913e-06
stfdem,1.0617390013684168e-05,1.0617390013684963e-05
stfhlth,1.2114132251173082e-07,1.211413225116753e-07
gincdif,2.4268482898494313e-06,2.4268482898487515e-06
mnrgtjb,2.4822049948857223e-06,2.4822049948855342e-06
hmsfmlsh,2.1070181307010695e-05,2.107018130700968e-05
imsmetn,4.815983256586484e-06,4.8159832565863335e-06
imdfetn,8.34453039528118e-06,8.344530395281748e-06
happy,1.882162499929471e-05,1.882162499929421e-05
sclact,1.771647374838099e-05,1.771647374838167e-05
hlthhmp,0.0,0.0
atchctr,1.0749130182504906e-05,1.0749130182504762e-05
rlgblg,2.4414403200647415e-06,2.4414403200648804e-06
dscrgrp,6.522259855347739e-06,6.522259855347529e-06
dscrrlg,6.26042240268786e-06,6.260422402687767e-06
dscrage,4.1583469988875636e-06,4.1583469988875636e-06
dscrgnd,2.781835888476969e-06,2.7818358884770523e-06
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.555530732602714e-06,1.555530732602839e-06
elgcoal,1.5783992156952662e-05,1.5783992156952435e-05
elgnuc,2.8936595018122083e-05,2.8936595018122514e-05
wrpwrct,1.9325591522988332e-05,1.9325591522988552e-05
wrtcfl,5.7230753100866505e-06,5.723075310086815e-06
clmchng,2.2445113938063394e-05,2.2445113938063512e-05
lkredcc,2.3138598043718254e-05,2.313859804371822e-05
lklmten,3.58286163755773e-05,3.5828616375576335e-05
sbsrnen,2.0667204574265917e-05,2.0667204574265616e-05
slvpens,2.5469378831251382e-05,2.546937883125244e-05
sbbsntx,1.7458748374608312e-06,1.7458748374610256e-06
imsclbn,4.857228696462218e-06,4.857228696461896e-06
uentrjb,6.802833261132705e-06,6.802833261133547e-06
lkuemp,3.517654966273257e-05,3.517654966273307e-05
yrbrn,4.060194104809484e-07,4.06019410480879e-07
yrbrn2,0.0,0.0
yrbrn3,1.1247719152531615e-06,1.1247719152531755e-06
rshpsts,3.450293529492221e-07,3.450293529497772e-07
dvrcdeva,0.0010165353868582657,0.0010165353868582553
chldhm,3.267209758663737e-05,3.2672097586639665e-05
edctn,1.1163029748739728e-07,1.1163029748756382e-07
dsbld,0.0005553751739278179,0.0005553751739278082
cmsrv,1.7394255720586202e-06,1.7394255720589446e-06
hswrk,3.0793592045166074e-06,3.079359204517451e-06
dngdk,0.0,0.0
dngna,3.7016563193732927e-07,3.701656319373657e-07
icomdng,1.079127564021822e-05,1.079127564021753e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
iorgact,0.19263607726961743,0.19263607726961743
edulvlfb,6.260793428299327e-07,6.260793428300021e-07
occf14b,0.00015256693902322905,0.00015256693902322615
imprich,2.9183986585357147e-08,2.9183986585135102e-08
ipeqopt,0.0,0.0
ipshabt,7.899797080857821e-06,7.899797080859097e-06
impdiff,5.142599474526166e-06,5.142599474526679e-06
inwmms,5.46548468083069e-06,5.465484680829358e-06
inwyys,2.099854347458874e-05,2.099854347458813e-05
inwdde,4.441923144561988e-06,4.441923144564153e-06
