,0,1
cntry,0.0023819201412501193,0.0023819201412501215
pspwght,4.791880595295733e-05,4.791880595295814e-05
anweight,0.00021025170658630927,0.00021025170658630683
nwspol,5.6493595251385755e-05,5.649359525138431e-05
netusoft,0.0015378001363227213,0.0015378001363227183
netustm,6.841711737723622e-05,6.841711737724015e-05
ppltrst,0.00010834569306167468,0.00010834569306167449
pplhlp,0.00021107999252888344,0.0002110799925288817
polintr,0.00017260192511947854,0.0001726019251194757
psppsgva,0.00042425315845135027,0.000424253158451356
psppipla,2.3137433788740113e-05,2.3137433788738615e-05
trstplt,1.7706494987991374e-05,1.7706494987990706e-05
trstprl,2.0143488221695927e-05,2.0143488221696147e-05
contplt,2.221686240457543e-05,2.2216862404578152e-05
pbldmn,6.579322845593727e-05,6.579322845593821e-05
bctprd,1.69881371299771e-05,1.6988137129976378e-05
stfdem,2.2052800468773725e-05,2.2052800468773004e-05
gincdif,2.185831276802447e-05,2.18583127680263e-05
mnrgtjb,2.188970698908804e-05,2.1889706989090928e-05
freehms,1.5884188771312867e-05,1.588418877131231e-05
imsmetn,1.842381869404222e-05,1.842381869404225e-05
imdfetn,2.5399936899171026e-05,2.539993689917247e-05
happy,2.4918019972190176e-05,2.491801997219084e-05
rlgblg,1.5010829087858502e-05,1.5010829087857447e-05
rlgblge,0.00012728501303119495,0.00012728501303119983
rlgatnd,2.7279426987147192e-05,2.7279426987147416e-05
dscrgrp,2.0999350028753805e-05,2.099935002875458e-05
dscrrlg,1.7201358251159983e-05,1.720135825116137e-05
dscrage,2.1510184934423416e-05,2.1510184934424747e-05
dscrgnd,2.2927967668772696e-05,2.2927967668772696e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.5536058743294058e-05,1.5536058743293502e-05
elgcoal,1.848009802692685e-05,1.8480098026927795e-05
elgwind,2.880791574297997e-05,2.880791574298028e-05
elgbio,2.462532313639107e-05,2.4625323136391318e-05
wrenexp,2.8077862319170116e-05,2.8077862319169144e-05
wrtcfl,1.8475332067289517e-05,1.8475332067288297e-05
clmchng,2.9559682626189325e-05,2.9559682626189464e-05
lkredcc,2.7869333190037647e-05,2.7869333190038314e-05
dfincac,1.3826858354271832e-05,1.3826858354271498e-05
sbprvpv,1.9062787802907543e-05,1.9062787802905378e-05
sbbsntx,2.105093580277878e-05,2.1050935802778502e-05
imsclbn,2.062156647050273e-05,2.0621566470501452e-05
uentrjb,1.691921035466945e-05,1.691921035467048e-05
bennent,2.0847852105723762e-05,2.084785210572321e-05
lknemny,2.4095199116348886e-05,2.4095199116346972e-05
gndr,1.800010182223849e-05,1.8000101822237657e-05
yrbrn2,0.474682845670832,0.4746828456708321
iccohbt,0.0006490253565888868,0.0006490253565888977
maritalb,1.4737898973992413e-05,1.4737898973991803e-05
uempla,2.6806739847261784e-05,2.680673984726159e-05
cmsrv,1.3375883963901492e-05,1.337588396390027e-05
hswrk,1.4797819812990776e-05,1.4797819812991164e-05
dngdk,0.0,0.0
dngna,0.00012708645278252517,0.00012708645278251935
icomdng,1.8274918272692343e-05,1.827491827269151e-05
mnactic,2.416638043640973e-05,2.416638043640712e-05
icpdwrk,0.0,0.0
wkdcorga,3.095560380232865e-05,3.095560380232607e-05
wkhtot,2.33512215634252e-05,2.3351221563426145e-05
uemplap,0.0009298127447229166,0.0009298127447228999
edulvlfb,1.7898381560420172e-05,1.7898381560420284e-05
occf14b,2.449730824078744e-05,2.4497308240787884e-05
imprich,1.9235881077898975e-05,1.9235881077902472e-05
ipeqopt,2.5234554487793215e-05,2.523455448779549e-05
ipshabt,1.718578866316495e-05,1.7185788663160896e-05
impdiff,2.3273124291925573e-05,2.327312429192302e-05
ipudrst,1.6256627847407224e-05,1.625662784740606e-05
inwmms,1.6016841164074867e-05,1.601684116407348e-05
inwyys,2.0701301183969733e-05,2.0701301183969956e-05
