,0,1
cntry,5.4731070962085046e-05,5.473107096205321e-05
pspwght,2.3911747445132147e-05,2.3911747445131987e-05
anweight,2.224973501935146e-05,2.2249735019333602e-05
nwspol,6.674714855156133e-05,6.674714855128362e-05
netustm,3.24140769257552e-05,3.241407692574598e-05
ppltrst,3.421854633717969e-05,3.4218546337178334e-05
pplhlp,0.0001273352422675025,0.00012733524226758836
psppsgva,2.081016239732988e-05,2.081016239733566e-05
psppipla,6.037715526690493e-05,6.037715526690672e-05
trstplc,1.0288773928938863e-06,1.0288773928937933e-06
trstprl,0.0002640246388371878,0.0002640246388372106
bctprd,4.436235071842831e-06,4.4362350718419286e-06
stfdem,7.130234944789472e-05,7.130234944789352e-05
stfhlth,0.0059431829819549965,0.005943182981955004
gincdif,1.5134244723833688e-05,1.5134244723833491e-05
mnrgtjb,1.1213726378102648e-05,1.1213726378103041e-05
imsmetn,0.0,0.0
imdfetn,0.0,0.0
happy,0.00010847046452502783,0.0001084704645250281
hlthhmp,2.7014381273890266e-06,2.701438127389353e-06
rlgblg,3.411620421321273e-07,3.411620421320647e-07
rlgblge,2.0830587567123508e-07,2.0830587566849832e-07
dscrgrp,0.0,0.0
dscrage,9.702748149165364e-06,9.7027481491655e-06
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,4.046638205857193e-06,4.046638205859967e-06
elgcoal,0.00015724438431697008,0.00015724438431697068
elgnuc,4.574975141676245e-05,4.574975141676291e-05
elgwind,4.065186977209499e-05,4.065186977211802e-05
elgbio,0.001714109454861114,0.0017141094548611135
wrenexp,0.0003768503964142077,0.00037685039641420764
wrtcfl,1.144367918030483e-05,1.1443679180304738e-05
clmchng,0.000185553792800985,0.0001855537928009855
lkredcc,7.232264088403505e-06,7.232264088403849e-06
slvpens,0.0007007768940946995,0.0007007768940946987
sbbsntx,7.992131708944123e-06,7.992131708944995e-06
imsclbn,0.0011726812810050075,0.0011726812810050028
uentrjb,6.21189445186909e-05,6.211894451869303e-05
admub,4.98838861273235e-06,4.988388612731856e-06
lknemny,0.0026822181155959136,0.0026822181155959084
gndr,0.03162120427376733,0.03162120427376752
gndr3,0.0002203214722069235,0.00022032147220692462
yrbrn2,0.0016664721221429713,0.001666472122143009
yrbrn3,0.0,0.0
rshipa3,0.02132921100172274,0.02132921100172283
dvrcdeva,0.0023869226228178334,0.0023869226228185533
chldhm,0.0,0.0
edctn,4.316026251843089e-06,4.316026251843116e-06
rtrd,2.0614337885640602e-05,2.061433788564434e-05
cmsrv,0.0,0.0
hswrk,6.341031383270695e-07,6.341031383268609e-07
dngdk,0.0,0.0
dngna,0.00017752365309281048,0.00017752365309282132
icomdng,2.089184843755057e-06,2.089184843755202e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
icwhct,0.00034940662172357905,0.0003494066217233707
isco08,0.0009235170227659345,0.0009235170227659652
pdwrkp,0.01153938389575536,0.011539383895755435
edulvlfb,0.0008491600123955785,0.000849160012395586
occf14b,0.000128257035026152,0.00012825703502615353
imprich,3.832820264755745e-05,3.832820264755179e-05
ipeqopt,4.929486994071886e-07,4.929486994075064e-07
impsafe,2.6679608419458755e-05,2.6679608419463837e-05
ipfrule,2.826800640555339e-05,2.8268006405558437e-05
ipudrst,1.1825047802661653e-05,1.1825047802661346e-05
inwmms,0.00033335545467724125,0.00033335545467724726
inwyys,5.912173803819693e-06,5.912173803819698e-06
