,0,1
cntry,6.762712650704278e-05,6.762712650702223e-05
pspwght,2.380087650356364e-05,2.3800876503539924e-05
anweight,2.3683721394075115e-05,2.3683721394085537e-05
nwspol,5.3888461473624724e-05,5.388846147362097e-05
netustm,6.176612272274402e-06,6.176612272229326e-06
ppltrst,2.275885111625911e-05,2.2758851116288614e-05
pplhlp,0.00013978260327249787,0.00013978260327253539
psppsgva,0.0006237981237900914,0.0006237981237901409
psppipla,6.260357585604032e-06,6.260357585606387e-06
trstplc,0.0,0.0
trstprl,7.4204563234038395e-06,7.420456323399446e-06
pbldmn,3.8636953956217276e-06,3.8636953956217386e-06
bctprd,3.2060750755091816e-06,3.206075075509676e-06
stfdem,1.6024372598277086e-05,1.602437259827722e-05
stfhlth,0.003870951701125938,0.0038709517011259586
gincdif,2.3154493351630414e-06,2.3154493351637906e-06
mnrgtjb,3.3566354616280702e-06,3.356635461627837e-06
imsmetn,1.0887263943914975e-05,1.0887263943908619e-05
imdfetn,4.449808450671028e-06,4.449808450672014e-06
happy,6.978295953005708e-05,6.978295953005657e-05
hlthhmp,1.9363160990242853e-05,1.9363160990268226e-05
rlgblg,2.1380218469437226e-06,2.1380218469435896e-06
rlgdnm,0.00012365986412277507,0.0001236598641227338
rlgblge,1.4095069416208534e-06,1.4095069416203126e-06
rlgatnd,9.649697619077442e-06,9.649697619077511e-06
dscrgrp,1.329480123190575e-07,1.32948012319058e-07
dscrage,3.4768376376928026e-06,3.4768376376924507e-06
dscrgnd,0.0,0.0
lnghom1,2.2331673926692936e-06,2.2331673926695892e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,8.225226843651069e-07,8.225226843652041e-07
elgnuc,6.6787184734313385e-06,6.678718473437439e-06
elgbio,0.0007522664638062956,0.0007522664638063114
wrenexp,0.0003014751393848239,0.0003014751393848288
wrdpfos,4.9317533235775606e-05,4.9317533235774535e-05
wrtratc,1.2511910705286476e-06,1.2511910705286587e-06
ccnthum,5.88970888590072e-05,5.889708885900578e-05
lkredcc,6.348584701534776e-05,6.348584701534537e-05
dfincac,0.000287659391670641,0.0002876593916706458
slvpens,0.0006331172887748538,0.0006331172887748507
gvslvue,4.565079626305851e-05,4.565079626305273e-05
sbbsntx,1.7565846204354853e-05,1.7565846204347762e-05
imsclbn,0.0004992464644921522,0.0004992464644921532
uentrjb,0.00011882704663437763,0.00011882704663436531
admub,5.646079551760773e-05,5.646079551760455e-05
eusclbf,0.002856954387557969,0.0028569543875579632
vteurmmb,0.006555003794763315,0.006555003794763345
gndr,0.013601186778205106,0.013601186778204963
gndr3,0.00021300070266421132,0.000213000702664214
yrbrn3,4.899700282315523e-07,4.899700282315528e-07
rshpsts,0.0017185858989519343,0.0017185858989519644
dvrcdeva,0.0009447272125995348,0.00094472721259955
icpart2,0.017015198112336274,0.0170151981123363
chldhm,0.0,0.0
dsbld,1.9869117258790208e-05,1.986911725878693e-05
cmsrv,0.0,0.0
hswrk,1.2221876382077396e-05,1.222187638207336e-05
dngdk,0.0,0.0
dngna,4.346724796539459e-06,4.346724796539459e-06
icomdng,1.037261800287191e-06,1.0372618002872362e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00026675263703598916,0.000266752637035988
iorgact,0.0032114875348200423,0.003211487534820057
icwhct,0.0002074152109814273,0.00020741521098143118
isco08,0.00031343281603040925,0.0003134328160304043
edulvlfb,0.0003939920941218826,0.0003939920941218837
occf14b,6.0505845981712415e-05,6.050584598171345e-05
imprich,3.50796492654992e-05,3.507964926550011e-05
ipeqopt,8.447338220039732e-06,8.447338220039903e-06
ipshabt,3.0464448141846886e-05,3.0464448141866693e-05
impsafe,9.162237533324371e-06,9.162237533343251e-06
inwmms,4.72608122687906e-05,4.726081226880681e-05
inwyys,2.4444804769422555e-06,2.444480476944886e-06
