,0,1
cntry,1.0522104857518154e-05,1.052210485752035e-05
pspwght,1.1565322628446421e-05,1.1565322628438561e-05
anweight,0.0,0.0
nwspol,7.581076479005907e-06,7.581076479008623e-06
netustm,1.6558327624560395e-06,1.6558327624566633e-06
ppltrst,4.344595484243691e-07,4.3445954842435137e-07
pplhlp,4.845033397701217e-06,4.845033397703289e-06
psppsgva,2.897882569184081e-05,2.897882569184399e-05
psppipla,3.2441659327110828e-06,3.2441659327109968e-06
trstplc,1.3429819885479505e-06,1.3429819885483933e-06
trstprl,5.147933696690653e-06,5.147933696690361e-06
bctprd,0.0,0.0
stfdem,5.156722991797394e-05,5.1567229917974514e-05
stfhlth,0.0025063366236985425,0.002506336623698543
gincdif,0.0,0.0
mnrgtjb,0.0,0.0
imsmetn,8.779373364153158e-06,8.77937336415294e-06
imdfetn,0.0,0.0
happy,3.161982654111766e-05,3.161982654111702e-05
hlthhmp,7.173553850155395e-06,7.173553850154351e-06
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,1.7868927884820154e-06,1.786892788481753e-06
dscrage,0.0,0.0
dscrgnd,0.0,0.0
dscrna,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,6.410607576790946e-05,6.410607576790969e-05
elgbio,0.001245117011360354,0.0012451170113603504
wrenexp,0.0007930725452013857,0.000793072545201384
wrtcfl,6.30840880315752e-06,6.308408803158725e-06
clmchng,0.00017241897490948311,0.00017241897490948206
lklmten,0.005041881954285671,0.005041881954285668
banhhap,0.017398540667573615,0.017398540667573615
slvpens,0.0003701495073766751,0.00037014950737667676
sbstrec,0.0011493434258155783,0.0011493434258155744
sbbsntx,4.564488126142802e-06,4.5644881261440435e-06
imsclbn,0.00024935859189224646,0.00024935859189224505
uentrjb,0.00017111185515476752,0.00017111185515477002
wrkprbf,2.5599841157713453e-05,2.5599841157712836e-05
lkuemp,0.0009296113171360335,0.0009296113171360356
gndr,0.008282201700239888,0.008282201700239883
gndr3,9.127819209896665e-05,9.127819209896722e-05
yrbrn2,0.0,0.0
yrbrn3,0.0,0.0
rshpsts,0.0017506019698919936,0.0017506019698919919
icpart2,0.006445882054506369,0.006445882054506371
iccohbt,0.0,0.0
chldhm,0.0,0.0
dsbld,0.0,0.0
rtrd,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
icwhct,9.807713136585025e-05,9.807713136584885e-05
isco08,0.00040769668535502087,0.0004076966853550208
pdwrkp,0.005172790730786444,0.005172790730786447
edulvlfb,0.00024358856973488515,0.00024358856973488415
occf14b,6.586141549576609e-05,6.58614154957662e-05
imprich,3.354916718282608e-06,3.354916718283072e-06
ipeqopt,7.013504836643805e-06,7.01350483664317e-06
ipshabt,1.7929392504604724e-06,1.792939250459405e-06
impsafe,4.472698319404405e-06,4.472698319404378e-06
inwmms,2.0332555338850632e-07,2.0332555338848327e-07
inwyys,0.0,0.0
inwdde,0.0,0.0
