,0,1
cntry,0.00011243212023835265,0.00011243212023848503
pspwght,0.0011054832334098199,0.001105483233409837
anweight,0.0019394873902125697,0.0019394873902126174
nwspol,0.01354088890321711,0.013540888903217327
netustm,0.0012379930494175236,0.0012379930494175878
ppltrst,0.00023134800259429843,0.0002313480025942547
pplhlp,0.003180840548442641,0.0031808405484427924
polintr,5.1997420236561096e-05,5.199742023653104e-05
psppsgva,0.0007133670294950308,0.0007133670294945555
psppipla,3.070204869053664e-05,3.070204869051682e-05
trstplc,0.0002571918762601641,0.0002571918762601967
trstplt,1.1213678657630074e-05,1.1213678657628483e-05
trstprl,9.715686720069826e-06,9.715686720064329e-06
wrkprty,0.015246658189822626,0.015246658189822659
bctprd,1.7421513282442108e-05,1.742151328243931e-05
stfedu,0.2195217530534787,0.21952175305347713
stfhlth,0.00023768632168748806,0.00023768632168743014
gincdif,0.00014684048566187587,0.00014684048566183553
hmsacld,0.00010806375263035765,0.0001080637526303801
imsmetn,3.348196584533796e-05,3.348196584534658e-05
imdfetn,3.439604160841073e-05,3.439604160841441e-05
happy,8.276911858655244e-06,8.276911858656755e-06
hlthhmp,2.9354732390380734e-05,2.9354732390381845e-05
rlgblg,1.826696073609915e-05,1.826696073611015e-05
rlgdnm,6.364258155402037e-05,6.364258155405415e-05
rlgblge,0.0012570209834590258,0.0012570209834590076
rlgatnd,1.9137607660812046e-05,1.9137607660809698e-05
dscrgrp,6.90403503011965e-05,6.90403503011963e-05
dscrage,3.474312506588052e-06,3.4743125065871118e-06
dscrgnd,8.688551165214749e-07,8.688551165215335e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,6.639794647336419e-06,6.639794647328298e-06
elgngas,0.0023168086859112614,0.0023168086859112415
elgnuc,4.002481994778879e-05,4.0024819947791455e-05
elgwind,0.0004958168731488311,0.0004958168731488289
elgbio,0.0002951129578224364,0.00029511295782242195
wrenexp,1.6042564423080143e-05,1.604256442308756e-05
wrtcfl,7.023625528057002e-05,7.023625528056254e-05
clmthgt2,7.23113505177621e-06,7.231135051777898e-06
lkredcc,8.523082247248551e-05,8.523082247248433e-05
dfincac,0.00025005557918544413,0.0002500555791854797
slvpens,9.373387960697962e-06,9.373387960707618e-06
uentrjb,4.736329075347263e-05,4.7363290753428976e-05
bnlwinc,9.866253065021102e-07,9.86625306491973e-07
lkuemp,4.566129312585072e-05,4.5661293125859816e-05
gndr,0.12632305881303668,0.1263230588130359
yrbrn2,0.009469061241677842,0.00946906124167804
dvrcdeva,0.026521834951533728,0.02652183495153412
maritalb,0.017982605191985312,0.017982605191985763
edctn,5.373298638720898e-05,5.3732986387206736e-05
rtrd,0.0014271779985552766,0.0014271779985553048
cmsrv,0.0023764223301854046,0.0023764223301854384
hswrk,0.0004802604313235943,0.00048026043132360117
dngdk,3.35807538434274e-06,3.3580753843424962e-06
dngna,0.0061992982746822654,0.006199298274681809
icomdng,0.0001703259560430445,0.00017032595604304243
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.007978882210744083,0.007978882210744035
wkhtot,0.002972293382554122,0.002972293382554121
edulvlfb,0.003336120161475528,0.003336120161475696
imprich,2.5918958536234345e-05,2.591895853623377e-05
ipeqopt,8.491250885353533e-05,8.491250885353822e-05
ipshabt,1.9068754415969776e-05,1.9068754415961462e-05
ipfrule,9.228745870727454e-05,9.228745870726134e-05
inwmms,3.869998633220435e-05,3.869998633222657e-05
inwyys,2.5854564492362916e-06,2.5854564492418897e-06
inwdde,0.000251109890906316,0.00025110989090630246
