,0,1
cntry,0.016176284887564812,0.01617628488756473
pspwght,0.006018463416079749,0.0060184634160797825
anweight,0.0005104070749642601,0.0005104070749642536
nwspol,0.003180649911206474,0.003180649911206544
netustm,0.00021952447583796595,0.00021952447583796354
ppltrst,0.00020155028503534623,0.00020155028503534615
pplhlp,0.011602364900746539,0.011602364900746598
polintr,0.00012308207403165692,0.00012308207403166085
psppsgva,0.008994271348023915,0.008994271348023965
psppipla,4.6239034464526646e-05,4.623903446452573e-05
trstplc,0.0004977144210522002,0.0004977144210521971
trstplt,4.8446886102126864e-05,4.844688610212665e-05
trstprl,0.00023077438770776888,0.0002307743877077731
wrkprty,0.003483359012735914,0.0034833590127359357
bctprd,1.860658182350675e-05,1.8606581823507217e-05
stfedu,0.2492906205506442,0.24929062055064713
stfhlth,0.0045434036427758,0.0045434036427757975
gincdif,0.0011883775530940393,0.0011883775530940157
imdfetn,4.4803736593365354e-05,4.480373659336743e-05
imueclt,7.558836341560279e-06,7.558836341560774e-06
happy,7.683937483137991e-05,7.683937483137879e-05
sclact,0.000109533427652393,0.00010953342765239398
hlthhmp,0.0003829854668463971,0.00038298546684641815
atchctr,4.1836372165970036e-05,4.1836372165971256e-05
rlgblg,3.1016498275537432e-06,3.1016498275541333e-06
rlgdnm,5.5253004574903954e-05,5.5253004574899597e-05
rlgblge,2.6699261498694937e-05,2.6699261498692146e-05
rlgatnd,5.53460895587868e-05,5.5346089558783846e-05
dscrgrp,7.879117784741835e-05,7.879117784741572e-05
dscrage,4.941960260932859e-05,4.941960260932829e-05
dscrgnd,1.91353156037927e-06,1.9135315603792816e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.782581787178275e-07,7.78258178717826e-07
elgnuc,5.263379719933442e-05,5.263379719933752e-05
elgbio,0.0011386093369544137,0.0011386093369544208
wrpwrct,0.0005784044926639654,0.0005784044926639673
wrtcfl,4.6987996881091465e-05,4.698799688109611e-05
wrtratc,1.4381939698252778e-05,1.4381939698253055e-05
lkredcc,1.2329237199457208e-05,1.2329237199457536e-05
lklmten,4.104608416237541e-05,4.104608416237885e-05
slvpens,0.00013904207816851474,0.00013904207816851395
gvslvue,5.510490540859691e-05,5.5104905408596404e-05
sblazy,4.8910943620724206e-05,4.8910943620723386e-05
uentrjb,0.0003602114959974245,0.00036021149599743
admub,1.217950839157216e-05,1.2179508391575952e-05
lkuemp,0.0001215270532204529,0.00012152705322045188
gndr,0.09710514067441076,0.09710514067441012
icpart1,0.0068398430473889955,0.0068398430473890085
maritalb,0.041982115707466953,0.041982115707467314
edctn,8.384703614227315e-06,8.384703614226012e-06
dsbld,9.135900865294523e-05,9.13590086529261e-05
cmsrv,8.284144182327098e-05,8.284144182327137e-05
hswrk,7.137484293994668e-06,7.137484293994533e-06
dngdk,0.0,0.0
dngna,6.153801678824478e-05,6.15380167882425e-05
icomdng,7.77533289603616e-06,7.775332896035905e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0028019186580210626,0.0028019186580210582
wkhct,0.009342673700253875,0.009342673700253892
edulvlfb,0.005325475666850425,0.00532547566685033
imprich,6.140857543410443e-06,6.140857543410449e-06
ipeqopt,9.835711134650692e-05,9.835711134650788e-05
impdiff,0.0002556125724439391,0.0002556125724439398
ipsuces,5.346609746969774e-05,5.346609746969753e-05
inwmms,0.0002214780363902586,0.00022147803639025178
inwyys,0.00013775618951792902,0.00013775618951792596
