,0,1
cntry,1.7856907316511104e-05,1.78569073165321e-05
pspwght,0.00011308565171275343,0.00011308565171275423
anweight,7.914917839385181e-06,7.914917839381718e-06
nwspol,7.903778859049538e-06,7.903778859050983e-06
netustm,0.00012908797154717103,0.00012908797154717526
ppltrst,1.1109291008118583e-05,1.1109291008114141e-05
pplhlp,1.646304383029951e-05,1.6463043830297683e-05
polintr,6.902172410724186e-06,6.902172410729548e-06
psppsgva,6.405997245856734e-07,6.405997245808627e-07
psppipla,2.9233648175990685e-07,2.923364817598991e-07
trstplc,7.986406862865075e-07,7.986406862865096e-07
trstprl,9.562331886366646e-05,9.562331886367882e-05
wrkprty,0.0021358074548549254,0.00213580745485493
bctprd,0.0,0.0
stfdem,6.447402603621737e-06,6.44740260362223e-06
gincdif,8.433405539142663e-06,8.433405539141396e-06
hmsacld,6.779374139693227e-06,6.7793741396917965e-06
imsmetn,6.4299000220252055e-06,6.4299000220253825e-06
imdfetn,2.720593525885048e-06,2.72059352588501e-06
happy,2.5476838497741822e-05,2.5476838497741304e-05
hlthhmp,0.0,0.0
rlgblg,9.28798499751884e-06,9.287984997511596e-06
rlgblge,2.3521629336911283e-07,2.352162933691122e-07
dscrgrp,0.0,0.0
dscrage,1.973113113897812e-06,1.9731131138976426e-06
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,5.251845231459242e-07,5.251845231459221e-07
elgcoal,3.937192837504872e-05,3.937192837504849e-05
elgnuc,5.9310498023588094e-05,5.9310498023583215e-05
elgwind,2.2936284850780755e-06,2.2936284850788137e-06
wrpwrct,0.011233411936580116,0.01123341193658013
wrdpimp,0.0068647416569680856,0.006864741656968093
wrtcfl,1.9067940082454335e-06,1.906794008243929e-06
clmchng,0.0007426413792814524,0.0007426413792814517
lkredcc,2.265182025154276e-05,2.2651820251543158e-05
slvpens,0.0016026253562146852,0.001602625356214686
sbstrec,0.001612245801754463,0.0016122458017544632
sbbsntx,7.59041548513095e-07,7.590415485130789e-07
imsclbn,0.0010895911960121434,0.00108959119601214
uentrjb,4.673740062437117e-05,4.6737400624370304e-05
lkuemp,0.0007459170528263197,0.0007459170528263231
gndr,0.011112886101323752,0.011112886101323763
gndr3,3.127314942450509e-05,3.127314942450377e-05
yrbrn2,4.987930388110247e-06,4.987930388101385e-06
yrbrn3,0.0,0.0
rshipa3,0.013350314262060717,0.013350314262060719
rshpsts,0.004649885341085307,0.004649885341085317
maritalb,0.000619860936783237,0.0006198609367832393
eisced,0.00972520860768286,0.009725208607682865
edctn,3.112921834330208e-06,3.1129218343302383e-06
cmsrv,1.1569263962857605e-06,1.1569263962862755e-06
hswrk,2.188176684198254e-07,2.1881766841981926e-07
dngdk,0.0,0.0
dngna,7.2310226447453605e-06,7.231022644744921e-06
icomdng,1.9347363152213793e-06,1.9347363152211146e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0002706211600184987,0.00027062116001849853
icwhct,0.0004235662446268909,0.0004235662446268896
tporgwk,0.000435065689458611,0.0004350656894586111
isco08,0.0004265544537922647,0.00042655445379226835
edulvlfb,0.0007855047115765707,0.0007855047115765721
occf14b,2.8596023118578587e-05,2.859602311858212e-05
imprich,8.710260513128844e-06,8.710260513135644e-06
ipshabt,7.120219424754981e-06,7.120219424755275e-06
impsafe,0.00013617327375612008,0.00013617327375611924
impdiff,2.893671411252999e-05,2.893671411253325e-05
inwmms,1.2538047577060758e-06,1.2538047577060727e-06
inwyys,9.590236423250043e-06,9.590236423255615e-06
