,0,1
cntry,3.474596497572199e-05,3.474596497571981e-05
pspwght,3.78633032571096e-06,3.7863303257068704e-06
anweight,4.668964355634333e-07,4.668964355634404e-07
nwspol,7.465917739925898e-05,7.465917739925623e-05
netustm,7.2623697449463e-06,7.262369744946471e-06
ppltrst,2.7927331613225648e-05,2.7927331613232796e-05
pplhlp,2.0653902106957304e-05,2.0653902106951893e-05
polintr,1.574779009118777e-05,1.574779009118392e-05
psppsgva,4.244512483049265e-05,4.2445124830496096e-05
psppipla,2.4872722382382113e-06,2.4872722382379394e-06
trstplc,8.936381490524464e-07,8.936381490524148e-07
trstprl,2.2336552851832383e-05,2.2336552851833057e-05
wrkprty,0.0023855469743284206,0.00238554697432842
bctprd,1.125104691625183e-06,1.1251046916262392e-06
stfdem,1.384125979606747e-06,1.3841259796065814e-06
stfhlth,0.0028189731923033323,0.0028189731923033367
gincdif,0.0,0.0
hmsacld,3.000187741734894e-05,3.0001877417348917e-05
imsmetn,4.682555488637693e-06,4.6825554886381506e-06
imdfetn,1.7748227866370255e-06,1.7748227866369802e-06
happy,1.7200429766883635e-05,1.7200429766883025e-05
hlthhmp,1.6050538842220684e-05,1.6050538842218028e-05
rlgblg,1.1421479221428584e-07,1.1421479221429423e-07
rlgdnm,2.1500574154689003e-06,2.150057415471491e-06
rlgblge,8.984494027094751e-06,8.984494027094848e-06
dscrgrp,1.1424580630994754e-07,1.1424580630994763e-07
dscrage,3.373773698981286e-06,3.3737736989810347e-06
dscrgnd,8.807385131234012e-07,8.807385131234542e-07
lnghom1,2.051144100967467e-06,2.05114410096762e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,0.0010346135330163637,0.0010346135330163697
elgbio,2.4341810526752816e-06,2.4341810526749135e-06
wrpwrct,0.016698265309128008,0.016698265309127994
wrenexp,0.008035920057291106,0.008035920057291101
wrtcfl,2.900401566030838e-05,2.90040156603066e-05
clmchng,0.00018146138457790628,0.00018146138457790577
lkredcc,6.220566951454209e-05,6.22056695145417e-05
slvpens,0.0010675287646148381,0.0010675287646148381
sbstrec,0.0021071083656926622,0.0021071083656926553
sbbsntx,4.033405979440992e-06,4.0334059794373265e-06
imsclbn,0.001032482715740366,0.0010324827157403703
uentrjb,3.3561706252293206e-05,3.35617062522979e-05
wrkprbf,8.085029790841878e-06,8.08502979084189e-06
lkuemp,0.0006370392429165384,0.0006370392429165416
gndr,0.009727359387743002,0.009727359387742971
gndr3,5.1082341598932886e-05,5.1082341598933205e-05
yrbrn2,0.00012247710636347688,0.00012247710636348005
rshipa3,0.015075767660272873,0.015075767660272845
maritalb,0.0005637047401758423,0.0005637047401758457
eisced,0.008676749504642214,0.008676749504642213
cmsrv,9.481062584923658e-07,9.48106258492475e-07
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00027371901228040793,0.00027371901228040625
icwhct,0.0002209072665042731,0.00022090726650427308
tporgwk,0.00022012970501983584,0.00022012970501983375
isco08,0.0006312040103638518,0.0006312040103638557
edulvlfb,0.00038605277345010025,0.00038605277345010177
occf14b,3.022232206445715e-06,3.022232206444011e-06
imprich,0.0,0.0
ipeqopt,2.5661279598787537e-06,2.5661279598829376e-06
impdiff,0.0,0.0
ipfrule,4.230912493357442e-06,4.230912493355436e-06
inwmms,5.171259622732857e-06,5.171259622727998e-06
inwyys,1.1717680466084507e-06,1.1717680466096213e-06
