,0,1
cntry,2.37746244218476e-06,2.3774624421834525e-06
pspwght,2.127568173650075e-06,2.127568173650075e-06
anweight,3.9271765899425904e-07,3.9271765899424215e-07
nwspol,1.2982706531065248e-05,1.2982706531063646e-05
netustm,4.266330476907805e-06,4.266330476907839e-06
ppltrst,3.4573244236087563e-06,3.4573244236102314e-06
pplhlp,4.6916894704145824e-07,4.6916894704124437e-07
polintr,4.2429051804721353e-07,4.242905180473034e-07
psppsgva,2.1643179358101988e-05,2.164317935809969e-05
psppipla,2.082209499463952e-06,2.082209499465774e-06
trstplc,0.0,0.0
trstprl,2.2024040627160434e-05,2.202404062716515e-05
bctprd,0.0,0.0
stfdem,2.0147414514874697e-05,2.0147414514874382e-05
stfhlth,0.002658120704139914,0.0026581207041399186
gincdif,8.465430619088274e-07,8.46543061909608e-07
hmsacld,0.00016067445411117905,0.00016067445411117968
imsmetn,4.7188329738870326e-05,4.718832973887145e-05
imdfetn,2.9795743046754594e-06,2.979574304675552e-06
happy,6.34423853454046e-06,6.344238534540148e-06
sclmeet,0.00014914604613956562,0.0001491460461395664
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrrlg,0.0,0.0
dscrage,6.322779484221313e-06,6.322779484220556e-06
dscrgnd,8.252135752288558e-07,8.252135752287437e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,4.423088148804432e-07,4.4230881488033943e-07
gvrfgap,0.0,0.0
elgbio,2.2640369812948683e-06,2.2640369812948603e-06
wrpwrct,0.014329594588580295,0.014329594588580312
wrdpfos,0.005638282349962721,0.0056382823499627225
wrtcfl,9.183197734811026e-07,9.1831977348109e-07
clmchng,0.00037378392201419533,0.00037378392201419257
lkredcc,0.0004248081125128211,0.00042480811251281985
slvpens,0.002234518148533292,0.0022345181485332937
sbstrec,0.0007807413345291046,0.0007807413345291043
sbbsntx,0.0,0.0
imsclbn,0.00022921746124036698,0.00022921746124036896
uentrjb,0.00017008699379259358,0.000170086993792594
eusclbf,0.0006345326397678206,0.0006345326397678173
lkuemp,0.0008001702943340511,0.0008001702943340518
gndr,0.008290073507363136,0.008290073507363138
gndr3,4.2776383607444954e-05,4.2776383607448356e-05
yrbrn2,4.427396549180467e-06,4.427396549180906e-06
yrbrn3,0.0,0.0
rshipa3,0.006843784849811658,0.006843784849811669
maritalb,0.00010234092928957704,0.00010234092928957651
eisced,0.003840906458628531,0.0038409064586285295
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,6.283209157560675e-05,6.283209157560783e-05
icwhct,0.00022348501036349285,0.00022348501036349486
tporgwk,0.00011369876019775317,0.00011369876019775111
isco08,0.00044275456647622276,0.00044275456647622266
edulvlfb,0.0006342044377637239,0.0006342044377637223
occf14b,2.2589172296916e-06,2.2589172296918584e-06
imprich,7.200631486540215e-06,7.200631486539795e-06
ipeqopt,9.645398650728839e-06,9.645398650728517e-06
impdiff,0.0,0.0
ipfrule,8.140843477777509e-06,8.140843477777166e-06
inwmms,4.2911012756110855e-07,4.2911012756109733e-07
inwyys,0.0,0.0
