,0,1
cntry,1.4781161538648877e-06,1.4781161538641031e-06
pspwght,0.0,0.0
anweight,0.0,0.0
nwspol,0.0,0.0
netustm,1.8205798374996572e-05,1.8205798374997006e-05
ppltrst,0.0,0.0
pplhlp,0.0,0.0
polintr,6.088259270713732e-07,6.088259270713742e-07
psppsgva,3.377785233451668e-06,3.377785233451096e-06
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,2.845218400373697e-05,2.8452184003737416e-05
bctprd,0.0,0.0
stfdem,1.525650406359931e-06,1.5256504063597835e-06
stfhlth,0.0029105399694677086,0.002910539969467709
gincdif,6.999257779977401e-06,6.999257779976664e-06
mnrgtjb,6.505459653966905e-05,6.505459653966661e-05
imsmetn,3.0297564535769164e-06,3.029756453576285e-06
imdfetn,0.0,0.0
happy,0.00011323093552030383,0.00011323093552030533
sclmeet,7.847515004844071e-05,7.84751500484398e-05
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.42716275426168e-06,3.4271627542623983e-06
elgbio,3.233199939349187e-05,3.233199939349167e-05
wrpwrct,0.0074355016341660606,0.00743550163416606
wrdpimp,0.010916418217127716,0.010916418217127707
wrtcfl,0.0,0.0
clmchng,0.0004520831026471715,0.0004520831026471717
lkredcc,0.00046014708632504666,0.00046014708632504737
sbsrnen,0.0023742003548093086,0.0023742003548093073
slvpens,0.0018635003475843742,0.0018635003475843727
sbstrec,0.0010799148603742267,0.0010799148603742271
sbbsntx,0.0,0.0
imsclbn,0.0015506320074623338,0.0015506320074623334
uentrjb,0.00020742431034495224,0.00020742431034495286
wrkprbf,4.0795108267661165e-06,4.079510826765883e-06
lkuemp,0.0002552208878063224,0.00025522088780632315
gndr,0.007978909358046498,0.0079789093580465
gndr3,4.756635605466069e-05,4.7566356054661705e-05
yrbrn2,0.0,0.0
yrbrn3,6.706995694618207e-07,6.706995694618207e-07
rshipa3,0.014510420076301994,0.014510420076301999
maritalb,0.0002601576120905997,0.0002601576120906004
eisced,0.007478010312287153,0.007478010312287141
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00023825017585270747,0.00023825017585270768
icwhct,0.00041444966472790597,0.00041444966472791014
tporgwk,0.00029146835221283954,0.00029146835221283867
isco08,0.0007621770775760992,0.000762177077576098
edulvlfb,0.001478048125860967,0.001478048125860967
occf14b,1.9763666003487088e-05,1.9763666003486837e-05
imprich,3.055551472663218e-06,3.055551472663777e-06
ipeqopt,0.0,0.0
ipshabt,0.0,0.0
impdiff,0.0,0.0
ipfrule,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
