,0,1
cntry,0.00028324644729242946,0.0002832464472920406
pspwght,0.0004176432799036506,0.0004176432799036437
anweight,4.327785524522113e-05,4.3277855245217696e-05
nwspol,0.0001062832079983171,0.00010628320799831624
netustm,0.00034038393184507336,0.0003403839318449127
ppltrst,0.005507140420635462,0.005507140420635214
pplhlp,0.00023869490013519022,0.00023869490013524725
polintr,0.00020217082107169417,0.00020217082107171916
psppsgva,0.00084305105791246,0.0008430510579123962
actrolga,7.828402746796242e-05,7.82840274680435e-05
psppipla,2.123400103741127e-05,2.123400103744027e-05
trstplc,4.3935412852165004e-05,4.393541285224952e-05
trstprl,0.0001400764037900415,0.0001400764037900274
contplt,3.361339590144618e-05,3.3613395901441694e-05
wrkprty,0.0005410668591536742,0.0005410668591536824
bctprd,1.826076933379345e-06,1.8260769333760892e-06
stfdem,5.953008890151822e-05,5.953008890151542e-05
gincdif,3.662692183732678e-05,3.662692183733681e-05
hmsfmlsh,2.0063111586013718e-05,2.00631115860178e-05
hmsacld,1.808064679031492e-05,1.8080646790333273e-05
imsmetn,6.725704795143005e-06,6.7257047952148274e-06
imdfetn,6.989497024185633e-05,6.989497024183915e-05
imwbcnt,0.0020347087752476795,0.002034708775247686
happy,5.159278550113175e-05,5.159278550116111e-05
sclact,0.00026736600916274896,0.00026736600916277145
hlthhmp,1.8139617369579267e-05,1.8139617369579995e-05
rlgblg,2.9385870856234393e-06,2.9385870856267084e-06
rlgdnm,1.8331121179353868e-07,1.8331121179416858e-07
rlgblge,6.78804215008138e-05,6.788042150082431e-05
dscrgrp,0.004645924945307724,0.004645924945303848
dscrntn,0.043117957760209685,0.04311795776020936
dscrage,7.568386719713639e-06,7.568386719723496e-06
dscrgnd,1.187115629647447e-05,1.1871156296470915e-05
ctzcntr,6.23990251145536e-07,6.239902511456244e-07
lnghom1,0.0,0.0
blgetmg,1.0277924882545953e-05,1.0277924882553204e-05
mocntr,0.0,0.0
gvrfgap,4.0536550090247014e-05,4.053655009034437e-05
elgcoal,3.375959079496036e-05,3.375959079495186e-05
elgnuc,5.034119158221061e-05,5.0341191582212515e-05
elgbio,0.0008222503149910158,0.0008222503149910327
wrenexp,1.1708383914536198e-05,1.170838391453983e-05
wrdpfos,0.0005646991045085665,0.0005646991045088758
wrtcfl,8.545979478937843e-06,8.545979478946291e-06
wrtratc,2.2307127373791763e-05,2.2307127373820243e-05
lkredcc,2.5242112081014527e-05,2.524211208100483e-05
gvsrdcc,5.4032698394309114e-05,5.403269839426577e-05
banhhap,0.0009058943729935062,0.0009058943729934874
dfincac,0.00032569883333117877,0.0003256988333311439
slvpens,0.00018778667849071796,0.00018778667849072439
sbeqsoc,5.368650115951567e-05,5.368650115947692e-05
sbbsntx,1.683677076196939e-05,1.6836770761963893e-05
imsclbn,0.0007945258539977453,0.0007945258539977544
admub,3.1894500452437835e-05,3.1894500452446035e-05
wrkprbf,2.7608697140975813e-06,2.7608697142118562e-06
lkuemp,0.00037234226146458637,0.00037234226146456946
vteurmmb,0.0019823229506783007,0.001982322950678315
gndr3,0.0019448154781945344,0.001944815478194249
yrbrn2,4.190429650257074e-06,4.190429650183558e-06
icpart1,0.007281835092458906,0.007281835092458748
dvrcdeva,0.008560447880511439,0.0085604478805116
chldhm,1.1272824880490286e-06,1.1272824880490557e-06
cmsrv,1.4169490585390257e-05,1.4169490585348188e-05
hswrk,2.1946496367652282e-05,2.1946496367653668e-05
dngdk,4.14393641071254e-06,4.143936410713855e-06
dngna,0.0007143252444029404,0.0007143252444031841
icomdng,4.747527213985521e-06,4.747527214029788e-06
mnactic,1.1233353333506519e-05,1.1233353333506947e-05
icpdwrk,0.0,0.0
edulvlfb,0.00242214159489154,0.0024221415948916117
occf14b,0.00037005286060199743,0.00037005286060202335
imprich,6.953650643071108e-05,6.953650643078908e-05
ipeqopt,0.00014593699945859127,0.00014593699945859425
ipshabt,3.0223018801791408e-05,3.0223018801800593e-05
impdiff,2.6494110445825185e-05,2.6494110445805646e-05
ipfrule,2.810147403335885e-05,2.810147403336232e-05
ipudrst,4.201625778803802e-05,4.201625778805924e-05
inwmms,3.540416271317466e-05,3.540416271316263e-05
inwyys,9.935726730612604e-06,9.935726730609991e-06
