,0,1
cntry,2.5817575384728504e-05,2.5817575384728348e-05
pspwght,0.004740561545600818,0.004740561545600817
anweight,1.7614419904370993e-06,1.7614419904371008e-06
nwspol,3.3248306711726205e-07,3.3248306711782173e-07
netustm,2.3350367783208426e-07,2.33503677832167e-07
ppltrst,1.9026204673934576e-06,1.9026204673936112e-06
pplhlp,1.6185036183145888e-05,1.6185036183146508e-05
polintr,2.6493822026654474e-05,2.649382202665305e-05
psppsgva,0.23856030224735283,0.23856030224735233
actrolga,4.868286008222212e-06,4.868286008222232e-06
psppipla,1.6035805511535163e-06,1.603580551153538e-06
trstplc,2.6947311007145337e-06,2.694731100714822e-06
trstprl,9.655789649028025e-06,9.655789649028062e-06
vote,9.827052937193893e-07,9.827052937190708e-07
bctprd,6.129818576498943e-07,6.129818576498969e-07
stfedu,0.2461044128340694,0.24610441283406911
stfhlth,0.0016572057566505902,0.0016572057566505924
gincdif,4.515953262527877e-06,4.515953262527891e-06
imsmetn,1.0835539509077982e-05,1.0835539509078294e-05
imdfetn,6.675993407942473e-07,6.675993407942465e-07
impcntr,4.693113040756211e-06,4.693113040756363e-06
happy,6.562882776849253e-05,6.562882776849145e-05
sclact,9.466220089131986e-05,9.466220089132106e-05
hlthhmp,3.164543773782065e-06,3.1645437737820386e-06
rlgblg,0.00013948069922176706,0.00013948069922176703
rlgdnm,2.4358975385321325e-05,2.43589753853215e-05
dscrgrp,1.1676138724214344e-06,1.1676138724214368e-06
dscrage,0.0,0.0
dscrgnd,8.908702315049566e-07,8.908702315049693e-07
ctzcntr,2.5481443824349476e-07,2.5481443824351943e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgngas,0.001934598977844325,0.0019345989778443327
elgnuc,1.3031787013379666e-06,1.3031787013400935e-06
elgwind,5.612355807344931e-05,5.612355807344938e-05
elgbio,0.00012072204272809756,0.00012072204272810715
wrdpfos,2.4465222525567255e-05,2.4465222525567248e-05
wrtcfl,7.128035533744177e-07,7.12803553374371e-07
wrtratc,8.811108466636688e-08,8.81110846663627e-08
lkredcc,6.641871285908478e-08,6.641871285908117e-08
dfincac,0.0007551386462676987,0.0007551386462677017
sbprvpv,2.1211797463093882e-06,2.121179746309066e-06
imsclbn,1.8517939978519228e-05,1.8517939978521793e-05
uentrjb,9.752004036808466e-05,9.752004036808519e-05
lknemny,0.00046793622007173933,0.0004679362200717372
gndr3,7.764241450566432e-05,7.764241450566438e-05
yrbrn2,3.609326749745493e-06,3.6093267497457865e-06
rshipa2,0.0021042530026022885,0.0021042530026022938
icpart1,8.262084992568705e-06,8.262084992566472e-06
iccohbt,0.007108929624926296,0.007108929624926288
marsts,0.012099800138997054,0.012099800138997066
maritalb,0.2388780031029774,0.2388780031029771
dsbld,0.0,0.0
cmsrv,1.4718969317080598e-07,1.4718969317080428e-07
hswrk,0.0,0.0
dngdk,1.5956813927549953e-06,1.5956813927549904e-06
dngna,0.0,0.0
icomdng,2.2409346812712233e-06,2.240934681270929e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00014760935246539676,0.00014760935246539638
isco08,3.9629340904594534e-05,3.9629340904593606e-05
edulvlfb,1.1555932394712237e-05,1.1555932394712444e-05
occf14b,2.0633625554587426e-05,2.0633625554586596e-05
occm14b,2.5171162271180253e-06,2.5171162271168957e-06
imprich,1.909022332928271e-06,1.9090223329284074e-06
ipeqopt,1.696843956612456e-06,1.6968439566110805e-06
ipshabt,7.5374933341946245e-06,7.537493334193652e-06
impsafe,2.3798731546447967e-06,2.3798731546446066e-06
ipudrst,4.6866410773845685e-05,4.686641077384554e-05
inwmms,4.999912280022113e-06,4.999912280021403e-06
inwyys,8.06291236726751e-05,8.062912367267525e-05
inwdde,9.445524600692805e-07,9.445524600692752e-07
