,0,1
cntry,1.4149857886550128e-05,1.4149857886549074e-05
pspwght,6.523218171317985e-05,6.52321817131785e-05
anweight,7.057722372674944e-06,7.057722372678368e-06
nwspol,1.9687764755888395e-06,1.9687764755884253e-06
netustm,7.770752318943279e-06,7.770752318943843e-06
ppltrst,1.528932104737103e-06,1.5289321047370945e-06
pplhlp,4.990074664851946e-05,4.99007466485239e-05
polintr,1.329267810601541e-06,1.3292678106024704e-06
psppsgva,1.6823028790683587e-05,1.6823028790680707e-05
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,1.4853962231680621e-05,1.485396223168216e-05
bctprd,0.0,0.0
stfhlth,0.006268122493159815,0.006268122493159814
gincdif,1.096542396305313e-06,1.096542396305314e-06
hmsacld,0.0001369988222771508,0.0001369988222771477
imdfetn,1.0741408664087913e-06,1.074140866408572e-06
impcntr,5.032926807684451e-06,5.032926807684714e-06
happy,7.090699732589402e-05,7.090699732589399e-05
sclmeet,0.00011601245721336835,0.00011601245721336778
hlthhmp,4.970546958457026e-07,4.970546958456925e-07
rlgblg,3.7087778480172203e-06,3.70877784801722e-06
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrrlg,1.7908574919650896e-06,1.7908574919655482e-06
dscrage,1.6237670025292592e-06,1.6237670025299783e-06
dscrgnd,0.0,0.0
blgetmg,0.0,0.0
mocntr,1.0726283142689894e-06,1.0726283142690434e-06
gvrfgap,2.22110688303987e-06,2.2211068830433243e-06
elgngas,0.003557641915883214,0.0035576419158832146
elgnuc,1.9981637323615263e-06,1.998163732361569e-06
elgbio,0.00356180683814839,0.003561806838148395
wrdpfos,0.0004813400608690459,0.0004813400608690444
wrtcfl,0.0,0.0
clmchng,0.0005001723770939146,0.0005001723770939123
lkredcc,7.296352052745253e-05,7.296352052745309e-05
sbsrnen,0.0010631429829380218,0.001063142982938017
slvpens,0.0005750743669074915,0.000575074366907492
sbstrec,0.0012747269002904846,0.0012747269002904775
sbbsntx,3.5246396667481337e-07,3.524639666748089e-07
imsclbn,0.0006146070849228446,0.0006146070849228459
uentrjb,5.9930480092447815e-05,5.99304800924485e-05
lkuemp,0.00020096464470620252,0.00020096464470620466
gndr,0.022846780041611697,0.022846780041611687
gndr3,3.3051426716313156e-05,3.305142671631358e-05
yrbrn2,9.117491576101351e-05,9.117491576102049e-05
rshipa3,0.013947548025032511,0.013947548025032529
icpart1,7.4380132647758276e-06,7.43801326477514e-06
rshpsts,0.001225171334454336,0.0012251713344543353
marsts,0.009324634130038829,0.009324634130038806
eduyrs,0.0004374141709582376,0.0004374141709582415
cmsrv,1.0014296365158265e-06,1.0014296365158187e-06
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,7.233419735763914e-06,7.233419735763914e-06
icomdng,1.179138705909144e-07,1.1791387059119759e-07
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00017027165239148556,0.00017027165239148477
icwhct,0.0001731298999368885,0.0001731298999368885
tporgwk,0.00025991408385771627,0.00025991408385771535
isco08,0.0007203719102856375,0.0007203719102856314
pdwrkp,0.009749455150343226,0.00974945515034322
edulvlfb,0.0015449307354573616,0.0015449307354573605
occf14b,3.650493949935341e-05,3.650493949935417e-05
imprich,9.700593074886934e-06,9.700593074883981e-06
ipeqopt,6.557052086063966e-06,6.557052086063905e-06
impdiff,1.4387874722094316e-05,1.4387874722093938e-05
ipfrule,7.381344706750551e-06,7.381344706754673e-06
ipsuces,4.951286469855073e-07,4.951286469854988e-07
inwmms,0.0,0.0
inwyys,2.3213524717106687e-06,2.3213524717106704e-06
