,0,1
cntry,0.002311350949378288,0.0023113509493782793
pspwght,0.00020569608910266934,0.00020569608910268113
anweight,2.227335759925378e-05,2.2273357599266765e-05
nwspol,0.0006759479636618699,0.000675947963661873
netusoft,0.029420849996921884,0.029420849996921777
ppltrst,8.734621677146829e-05,8.734621677146043e-05
pplhlp,0.0013269069853198672,0.0013269069853199008
polintr,0.0001687073596837672,0.00016870735968376957
psppsgva,0.002163625652772058,0.002163625652772081
psppipla,2.9354841501654773e-05,2.9354841501653726e-05
trstplc,0.00010288312522699975,0.00010288312522699847
trstprl,4.9463380145431366e-05,4.946338014543111e-05
vote,1.9349280067359058e-05,1.9349280067357435e-05
contplt,8.196189869453089e-05,8.196189869453076e-05
bctprd,3.849396314226271e-05,3.8493963142259624e-05
stfdem,0.01929731426734663,0.01929731426734674
stfedu,0.2804151013058243,0.2804151013058241
gincdif,5.345624904241289e-05,5.3456249042410695e-05
mnrgtjb,3.3146113479843914e-05,3.3146113479845655e-05
euftf,4.7479798301424074e-05,4.747979830142542e-05
imsmetn,6.454434490833694e-05,6.454434490833731e-05
imdfetn,2.1877091553154995e-05,2.187709155315567e-05
happy,0.00015991738881858815,0.00015991738881858885
hlthhmp,7.244992563140431e-05,7.24499256314027e-05
rlgblg,7.308712209477636e-06,7.3087122094779135e-06
rlgdnm,1.9345559493000417e-05,1.9345559492999885e-05
rlgblge,0.00015826763120431093,0.00015826763120431204
rlgatnd,5.744583086127823e-05,5.7445830861276945e-05
dscrgrp,0.00023267801793974222,0.000232678017939743
dscrage,8.638786490646761e-06,8.63878649064693e-06
dscrgnd,2.6441134331174247e-06,2.6441134331175658e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,5.443272118560716e-07,5.443272118561508e-07
elgcoal,0.00010730361540961472,0.00010730361540961461
elgwind,0.00014525545822482284,0.0001452554582248233
wrpwrct,0.00022076308361179014,0.0002207630836117837
wrenexp,5.786504284899471e-05,5.7865042848991786e-05
wrtcfl,3.0041477319211404e-05,3.0041477319211746e-05
wrtratc,1.037952621953975e-05,1.0379526219540637e-05
ccnthum,7.765054519434184e-05,7.765054519434241e-05
lkredcc,3.380952783423294e-05,3.380952783423277e-05
dfincac,0.0002480452597297342,0.00024804525972973697
sbbsntx,6.327547121854377e-05,6.327547121854481e-05
imsclbn,0.00015513605350666397,0.00015513605350666346
uentrjb,4.469613339677878e-06,4.469613339678668e-06
bennent,0.00010782418654579077,0.0001078241865457863
lknemny,0.0006703359352836834,0.0006703359352836826
gndr,0.1343515294612104,0.1343515294612103
yrbrn,0.0008000414218344973,0.0008000414218344985
rshipa3,0.07064742962149699,0.07064742962149659
iccohbt,0.002246406024339309,0.0022464060243393164
maritalb,0.0602814032340371,0.060281403234037266
uempla,1.7741308411872387e-05,1.7741308411872086e-05
cmsrv,8.466764152624698e-06,8.466764152624161e-06
hswrk,1.4100423663427677e-08,1.4100423663186299e-08
dngdk,0.0,0.0
dngna,0.0002445610156180432,0.00024456101561804404
icomdng,1.0753930831694366e-05,1.0753930831694506e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0007166658753907335,0.0007166658753907249
wkhtot,0.00023229254986305487,0.0002322925498630568
edulvlfb,0.00011388701220354631,0.00011388701220354484
imprich,4.927113030072336e-05,4.9271130300722363e-05
ipeqopt,9.571656814185221e-05,9.57165681418502e-05
ipshabt,4.388505151217393e-05,4.388505151217384e-05
impdiff,1.8700342719296543e-05,1.8700342719298027e-05
ipudrst,9.517059405278556e-05,9.517059405278504e-05
inwmms,0.00022230286172156342,0.00022230286172155694
inwyys,0.00012971873057010647,0.0001297187305701037
