,0,1
cntry,0.0,0.0
pspwght,4.054091896370577e-06,4.054091896370581e-06
anweight,0.0,0.0
nwspol,9.930580127310488e-08,9.930580127310527e-08
netustm,0.0,0.0
ppltrst,3.4655490771483366e-07,3.4655490771483456e-07
pplhlp,4.674827155111729e-07,4.674827155106237e-07
polintr,0.0,0.0
psppsgva,0.0,0.0
psppipla,8.995160839801523e-06,8.995160839800603e-06
trstplc,0.0,0.0
trstprl,3.5266804377629064e-05,3.5266804377629545e-05
bctprd,1.2501329630066197e-06,1.2501329630066184e-06
stfdem,3.0790794719981797e-06,3.0790794719980895e-06
stfhlth,0.003686523878669019,0.0036865238786690222
gincdif,0.0,0.0
mnrgtjb,1.2760080061667858e-05,1.2760080061667782e-05
imsmetn,6.1616728101573e-05,6.161672810157366e-05
imdfetn,0.0,0.0
happy,4.572908744042169e-06,4.572908744041386e-06
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,2.926569600706068e-07,2.926569600706068e-07
dscrage,0.0,0.0
dscrgnd,2.2629808701840015e-07,2.262980870183986e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgngas,0.0025499472290566546,0.002549947229056652
elgnuc,1.1778507075828719e-05,1.1778507075828229e-05
elgbio,0.0026199276783417202,0.0026199276783417207
wrenexp,0.0002804544490442229,0.0002804544490442233
wrtcfl,0.0,0.0
clmchng,0.0008059393219098457,0.0008059393219098488
lkredcc,0.005160546959428764,0.005160546959428768
inctxff,0.011941159548809189,0.011941159548809177
slvpens,0.0010991299861858714,0.001099129986185875
sbstrec,0.0016165801499179394,0.0016165801499179362
sbbsntx,2.499722964235704e-07,2.49972296423644e-07
imsclbn,0.0008074475840120443,0.0008074475840120406
uentrjb,0.0002980660427501908,0.0002980660427501911
lkuemp,0.0004944579347552363,0.000494457934755234
gndr,0.008964969283855666,0.008964969283855652
gndr3,2.8973867594739278e-05,2.897386759473961e-05
yrbrn2,0.0,0.0
yrbrn3,0.0,0.0
rshipa3,0.00709823810857257,0.007098238108572563
lvgptnea,0.013484341953637725,0.01348434195363772
maritalb,0.0002077138463924732,0.00020771384639247314
eisced,0.009604720617998452,0.009604720617998452
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0006289041584303124,0.0006289041584303156
wkhct,0.0005826144411464183,0.0005826144411464165
icwhct,0.00019847022876011614,0.00019847022876011492
edulvlfb,0.00015868144599510013,0.00015868144599510048
occf14b,1.5364571973500574e-06,1.5364571973502916e-06
imprich,1.57194336708709e-05,1.5719433670871322e-05
ipeqopt,5.1204636109811045e-05,5.120463610981082e-05
ipshabt,4.9874085244218873e-05,4.9874085244219226e-05
impdiff,5.617085497483955e-06,5.617085497483685e-06
ipmodst,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
