,0,1
cntry,0.0,0.0
pspwght,1.002372969619189e-07,1.0023729696192035e-07
anweight,0.0,0.0
nwspol,0.0,0.0
netustm,0.0,0.0
ppltrst,0.0,0.0
pplhlp,0.0,0.0
polintr,0.0,0.0
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,0.0,0.0
wrkprty,2.746737662463472e-05,2.7467376624634637e-05
bctprd,0.0,0.0
stfdem,3.086067963141099e-06,3.0860679631412566e-06
stfhlth,0.004159828791616,0.004159828791615999
gincdif,0.0,0.0
hmsacld,2.2858487250432595e-05,2.2858487250432375e-05
imdfetn,0.0,0.0
happy,4.023400665030864e-06,4.023400665030915e-06
hlthhmp,0.0,0.0
atchctr,3.0586865856382554e-06,3.0586865856382423e-06
rlgblg,0.0,0.0
rlgblge,0.0,0.0
rlgatnd,0.0,0.0
dscrgrp,3.0412990303894538e-05,3.041299030389537e-05
dscrrce,0.04518384184771814,0.04518384184771816
dscrntn,0.08576795729752078,0.08576795729752086
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,0.0,0.0
elgbio,0.00033361077301448134,0.00033361077301448226
wrenexp,0.0,0.0
wrtcfl,0.0,0.0
wrtratc,0.0,0.0
lkredcc,1.9497874973521707e-06,1.9497874973522008e-06
sbsrnen,2.3748589936514695e-05,2.374858993651486e-05
slvuemp,0.0,0.0
gvslvue,0.0,0.0
sbbsntx,0.0,0.0
imsclbn,4.678903943320851e-06,4.678903943320733e-06
uentrjb,0.0,0.0
admub,0.0,0.0
lknemny,0.0006494869874274643,0.000649486987427463
gndr,0.010556213786504842,0.010556213786504835
gndr3,3.0501979521733487e-05,3.0501979521733555e-05
yrbrn2,0.0,0.0
dvrcdeva,0.0,0.0
chldhm,0.0,0.0
dsbld,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0011020505321195577,0.0011020505321195572
icwhct,0.0006665763558413976,0.0006665763558413973
pdwrkp,0.03145414504735468,0.03145414504735469
edulvlfb,0.0006074858195097805,0.0006074858195097807
occf14b,6.177635144862124e-05,6.177635144862157e-05
imprich,0.0,0.0
ipeqopt,0.0,0.0
ipshabt,0.0,0.0
impdiff,0.0,0.0
ipudrst,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
