,0,1
cntry,0.014141029095032806,0.014141029095032802
pspwght,0.004236315908814258,0.004236315908814207
anweight,0.0010325437677635703,0.001032543767763538
nwspol,0.0034387354710305853,0.0034387354710306082
netustm,0.00017595689880851121,0.00017595689880851279
ppltrst,0.0001676835512314385,0.00016768355123144164
pplhlp,0.01666836179795214,0.016668361797952263
polintr,8.48745662435669e-05,8.487456624357246e-05
psppsgva,0.006262749730557324,0.006262749730557283
actrolga,0.0002626037398584212,0.0002626037398584199
psppipla,8.268369736267784e-05,8.268369736267258e-05
trstplc,0.0006326259220710235,0.0006326259220710259
trstprl,0.0002687205659872306,0.0002687205659872289
wrkprty,0.00232087718987021,0.002320877189870194
bctprd,4.0054172182982546e-05,4.0054172182981306e-05
stfedu,0.26183464487972863,0.2618346448797294
stfhlth,0.002320514104789273,0.0023205141047892824
gincdif,0.0016156929840836544,0.0016156929840836533
imdfetn,5.8216846077338466e-05,5.821684607733409e-05
imueclt,2.561494783941717e-05,2.561494783940075e-05
happy,5.553675974608773e-05,5.553675974608647e-05
sclact,0.0001815758285423405,0.0001815758285423438
hlthhmp,0.0005429083670829632,0.000542908367082973
atchctr,5.817142420944484e-05,5.8171424209445955e-05
rlgblg,8.679605839655344e-06,8.679605839655566e-06
rlgdnm,5.1962376121078654e-05,5.1962376121081154e-05
rlgblge,3.321001071350325e-05,3.321001071351069e-05
rlgatnd,4.4180305945248235e-05,4.4180305945261266e-05
dscrgrp,6.155837943642509e-05,6.155837943642311e-05
dscrage,5.3874918411646795e-05,5.387491841164857e-05
dscrgnd,9.193150463478906e-07,9.193150463478976e-07
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.3967855360058597e-06,1.396785536005345e-06
elgnuc,6.022291102381792e-05,6.022291102382133e-05
elgbio,0.0008207781348088612,0.0008207781348088568
wrpwrct,0.00058888490879225,0.0005888849087922464
wrtcfl,0.00010387292673607645,0.00010387292673607733
wrtratc,1.8745111998120208e-05,1.8745111998144165e-05
lkredcc,1.4881756810422352e-05,1.4881756810417693e-05
lklmten,2.2139969275205094e-05,2.2139969275204006e-05
gvslvue,5.417843364319676e-05,5.41784336432012e-05
sblazy,8.919038338699574e-05,8.919038338699543e-05
admub,8.553459472387698e-06,8.553459472382658e-06
gndr,0.09942072298320238,0.09942072298320416
icpart1,0.006352094971692373,0.006352094971692351
chldhm,0.03654085859578011,0.036540858595779976
edctn,2.8033627172719565e-05,2.803362717270376e-05
dsbld,0.00022924307474989872,0.00022924307474989645
cmsrv,7.57148186764049e-05,7.57148186764069e-05
hswrk,6.239047510452664e-06,6.239047510452897e-06
dngdk,0.0,0.0
dngna,7.328019179402313e-05,7.328019179402775e-05
icomdng,5.6147247030031e-06,5.614724703003924e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0017891167322965904,0.0017891167322965902
wkhct,0.006487046689066367,0.006487046689066401
dngnap,0.0,0.0
edulvlfb,0.003878862304944573,0.003878862304944587
imprich,2.8632817316606494e-05,2.8632817316610014e-05
ipeqopt,0.00012724019035886898,0.000127240190358869
impdiff,0.00022307259468316444,0.00022307259468315807
ipmodst,7.440470677281351e-05,7.440470677280718e-05
inwmms,0.00014508195418292682,0.0001450819541829285
inwyys,8.309454641084054e-05,8.30945464108496e-05
